Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
32	ASHILL	SOMERSET	England	3321	1173					18					GC	Wed	1				1277	06-Feb	K Edw I		Maud de Multon and her heirs		"CChR, 1257-1300, p. 202"						"To be held at the manor. (CChR, 1257-1300, p. 202) Market granted by K Edw II to Thomas de Moleton and Margery his wife on 14 Mar 1317. (CChR, 1300-26, p. 335)"																																							Y	GC	vfm	Assumption	15-Aug	3				1277	06-Feb	K Edw I		Maud de Multon		"CChR, 1257-1300, p. 202"						To be held at the manor.	GC	vfm	Simon and Jude	28-Oct	3				1317	14-Mar	K Edw II		Thomas de Moleton and Margery his wife		"CChR, 1300-26, p. 335"						To be held at the manor.	GC	vfm	Annunciation	25-Mar	3				1317	14-Mar	K Edw II		Thomas de Moleton and Margery his wife		"CChR, 1300-26, p. 335"						To be held at the manor.		
33	AXBRIDGE	SOMERSET	England	3432	1546	Y	early tenth century	"Defence, p. 189"	c.979-1042	45	"Burh noted in the Burghal Hidage. Part of the royal estate of Cheddar. (Defence, p. 154) Borough in Domesday Book.  (Darby, p. 366)"	Y	"Everitt, p. 471"		PB PM		1	25 Apr 1204	mercatum	"H de Welles, archdeacon of Wells"							"RCh, 129b"						"Confirmed to him with the manors of Cheddar and Axbridge and the hundreds of Winterstock and Cheddar. (RCh, p. 129b)"																																							Y	GC	vf+2	Barnabas	11-Jun					1279	07-Jul	K Edw I		R[obert] bp of Bath and Wells		"CChR, 1257-1300, p. 213"						To be held at the borough.																																												
42	BABINGTON	SOMERSET	England	3705	1510					50																																																														Y	GC	vfm	Margaret the Virgin	20-Jul	3				1285	07-Oct	K Edw I		William de Botereus		"CChR, 1257-1300, p. 324"						To be held at the manor.																																												
28	BACKWELL	SOMERSET	England	3492	1684					75.47					GC	Thurs	1				1270	14-Aug	K Hen III		Ela la Sore		"CChR, 1257-1300, p. 151"						To be held at the manor.	GC	Mon	1				1318	10-Jun	K Edw II		Richard de Rodeneye		"CChR, 1300-26, p. 384"						To be held at the manor.																				Y	GC	vfm	Matthew	21-Sep	3				1270	14-Aug	K Hen III		Ela la Sore		"CChR, 1257-1300, p. 151"						To be held at the manor.																																												
88	BADGWORTH	SOMERSET	England	3395	1526	Y	1243	"BF, p. 154"		18					PB																		No further information for the market.																																																																																																								
58	BARTON STREET	SOMERSET	England	3747	1650						"Described as 'la Berton by Bath'. It is now a suburb of Bath, called Barton Street."																																																													Y	GC	vf	Lawrence the Martyr	10-Aug	2				1304	14-Oct	K Edw I		P and C of Bath		"CChR, 1300-26, p. 47"						"To be held at the manor. (CChR, 1300-26, p. 47) On 30 Jun 1335, the fair was extended to 5+vf+1 Lawrence. (CChR, 1327-41, p. 341)"																																												
1	BARWICK	SOMERSET	England	3558	1138					30					GC	Tues	1				1231	26-May	K Hen III		William de Cantilupe		"CChR, 1226-57, p. 132"																																													Y	GL	vfm	Mary Magdalene	22-Jul	3	feria			1228	12-Jun	K Hen III		William de Cantilup		"CR, 1227-31, p. 56"						"To be held at the manor. (CR, 1227-31, p. 56) On 26 May 1231, K Hen III granted William de Cantilupe a fair on vfm Mary Magdalen. (CChR, 1226-57, p. 132)"																																												
36	BATH	SOMERSET	England	3751	1648	Y	early tenth century	"Defence, pp. 190-1"	before 924-1154	133.33	"Roman spa town, city c.675, burh in Burghal Hidage and borough in Domesday Book. (Defence, pp. 190-1; BF, p. 154) Bishopric transferred in 1090 from Wells, Somerset (q.v.); shared in 1197-1202 with Glastonbury, Somerset (q.v.) and with Wells from 1244."	Y	"Everitt, p. 471"		PB PM		1	May 1156		"Robert, bp of Bath"							"'Calendar of the Manuscripts of the Dean and Chapter of Wells', 'Historical Manuscripts Commission xii, vol i, (1907), p. 440"						"In May 1156, Pope Adrian IV confirmed to Robert, bp of Bath the possessions of the abbey of St Peter, Bath, granted by K Wil II and K Hen I, including the market. ('Calendar of the Manuscripts of the Dean and Chapter of Wells', 'Historical Manuscripts Commission xii, vol i, (1907), p. 440) On 20 Jun 1371, K Edw III granted the petition of Bp J. that as his predecessors had always held two markets each week on Wed and Sat during the period between between 14 Oct and Palm Sunday, he and his sucessors could continue to hold them for the sale of woollen cloth and all other merchandisable and saleable things. (CChR, 1341-1417, p. 218)"																																							Y	GO	f	Peter		1				1102		K Hen I		St Peter of Bath and Bp John		"Regesta, ii, no. 573"						"Feast either 22 Feb or 1 Aug. In May 1156, Pope Adrian IV confirmed to Robert, bp of Bath the possessions of the abbey of St Peter, Bath, granted by K Wil II and K Hen I, including fairs on both feasts of St Peter. In 1178, Pope Alexander II confirmed to Rainauld, bp of Bath and the ch of Bath all its possessions, including fairs on the feasts of St Peter. ('Calendar of the Manuscripts of the Dean and Chapter of Wells', 'Historical Manuscripts Commission xii, vol i, (1907), pp. 438, 440)"	P		Peter				May 1156	"Robert, bp of Bath"							"'Calendar of the Manuscripts of the Dean and Chapter of Wells', 'Historical Manuscripts Commission xii, vol i, (1907), p. 440"						See Notes for Fair 1.	GC	vfm+7	Peter and Paul	29-Jun	10				1284	01-Sep	K Edw I		"Robert, bp of Bath and Wells"		"CChR, 1257-1300, p. 276"						To be held at the manor.	"2 Feb (Harrison, p. 392)"	"A fair held by the bp of Bath is recorded in 1170, 1171 and 1173-4; two fairs are recorded in 1172. (PR, 16 Hen II, p. 64, PR, 17 Hen II, p. 23; PR, 18 Hen II, p. 128, PR, 19 Hen II, p. 105, PR, 20 Hen II, p. 35) "
66	BECKINGTON	SOMERSET	England	3802	1516					10.5					GC		1				1318	13-Nov	K Edw II		John de Erlegh		"CChR, 1300-26, p. 395"						Day of market not given. To be held at the manor.																																							Y	GC	vfm	George	23-Apr	3				1318	13-Nov	K Edw II		John de Erlegh		"CChR, 1300-26, p. 395"						To be held at the manor.																																												
121	BEER CROWCOMBE	SOMERSET	England	3326	1204					16.75					GC	Mon	1				1231	31-Dec	K Hen III		Godfrey de Craucumbe		"CChR, 1226-57, p. 144"						"To be held at the manor. (CChR, 1226-57, p. 144) Mandate to the sh of Somerset to proclaim the market and cause it to be held, 2 Jan 1232. (CR, 1231-4, p. 15) Mandate to the sh of Somerset that the day of Godfrey de Craucumb's market was to be changed from Mon to Wed, 12 Feb 1236. (CChR, 1226-57, p. 217; CR, 1234-7, pp. 240-1)"																																							Y	GC	vfm	Nativity of Mary	08-Sep	3				1231	31-Dec	K Hen III		Godfrey de Craucumbe		"CChR, 1226-57, p. 144"						"To be held at the manor. (CChR, 1226-57, p. 144) Mandate to the sh of Somerset to proclaim the fair and cause it to be held, 2 Jan 1232. (CR, 1231-4, p. 15) Fair granted again to Godfrey de Craucumbe on 12 Feb 1236. (CChR, 1226-57, p. 217)"																																												
