Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
1	ABBOTS BROMLEY 	STAFFORDSHIRE	England	4079	3245	Y	1222	"BF, p. 160"		80.75		Y	"Everitt, p. 471"		GL	Tues	1		mercatum		1221		K Hen III		A of Burton upon Trent		C 60/14 m. 4						"To be held until the king came of age. The A of Burton owed two palfreys for having the market. (C 60/14 m. 4; PR, 5 Hen III, p. 141) On 12 May 1227, K Hen III granted St Mary's, Burton and the A and M there a Tues market. (CChR, 1226-57, p. 42) On 13 May 1227, sh of Staffordshire was ordered to publicise the market and cause it to be held. (RLC, ii, p. 186)"																																							Y	GL	vf	Bartholomew	24-Aug		feria			1221		K Hen III		A of Burton upon Trent		C 60/14 m. 4						"In 1221, the A of Burton owed two palfreys for having the fair at the manor of Bromley, to be held until the king came of age. (C 60/14 m. 4; PR, 5 Hen III, p. 141) On 12 May 1227, K Hen III granted St Mary's, Burton and the A and M a fair on vfm Bartholomew. (CChR, 1226-57, p. 42) On 13 May 1227, sh of Staffordshire was ordered to publicise the fair and cause it to be held. (RLC, ii, p. 186)"																																												
20	ALREWAS	STAFFORDSHIRE	England	4167	3153	Y	1328	"BF, p. 193"		35					GC	Tues	1				1290	09-Feb	K Edw I		Robert de Somervill		"CChR, 1257-1300, p. 342"																																													Y	GC	vfm	Margaret	20-Jul	3				1290	09-Feb	K Edw I		Robert de Somervill		"CChR, 1257-1300, p. 342"																																																		
35	ALTON	STAFFORDSHIRE	England	4073	3423	Y	1239	"BF, p. 160"		67.75					PB																		No further information for the market.																																																																																																								
43	ASHLEY	STAFFORDSHIRE	England	3763	3364					39.5					GO	Wed	1		mercatum		1220	May	K Hen III		Philip de Burewardeslegh		C 60/12 m.5						"The date of the grant is not given in full. (C 60/12 m.5) Nova Oblata: Philip de Burewardeleg owed one palfrey, for having the market at the manor. (PR, 4 Hen III, p. 173)"																																																																																																								
2	BETLEY	STAFFORDSHIRE	England	3756	3484	Y	1299	"BF, p. 160"		21		Y	"Everitt, p. 471"		GL	Thurs	1		mercatum		1220	16-Apr	K Hen III		Henry de Audley		"RLC, i, p. 415"						"To be held at the manor. (RLC, i, p. 415) On 2 May 1227, K Hen III granted a Thurs market to Henry de Audley. (CChR, 1226-57, p. 35) On 7 May 1227, sh of Staffordshire was ordered to publicise the market throughout his bailiwick and cause it to be held. (RLC, ii, p. 185b) "																																							Y	GL	vfm	Margaret	20-Jul	3	feria			1220	16-Apr	K Hen III		Henry de Audley		"RLC, i, p. 415"						"To be held at the manor. (RLC, i, p. 415) On 2 May 1227, K Hen III granted a fair on vfm Margaret to Henry de Audley. (CChR, 1226-57, p. 35) On 7 May 1227, sh of Staffordshire was ordered to publicise the fair throughout his bailiwick and cause it to be held. (RLC, ii, p. 185b)"																																												
16	BREWOOD	STAFFORDSHIRE	England	3883	3086	Y	c.1280	"BF, p. 161"		115.25		Y	"Everitt, p. 471"	"VCH Staffordshire, v, p. 25"	GL	Fri	1		mercatum		1221	28-Jul	K Hen III		W bp of Coventry		"RLC, i, p. 466b"						To be held until the king came of age. Notice to the sh of Staffordshire.	GC	Mon	1		mercatum		1259	02-Jun	K Hen III		"Roger, bp of Coventry and Lichfield, the king's cousin"		"CChR, 1257-1300, p. 19"						"Mon market held by the bp of Coventry and Lichfield was recorded in 1297. In 1382, the burgesses of Stafford, Staffordshire (q.v.) alleged that the market had been held for twenty years without royal licence. K Ric II confirmed the bp of Coventry and Lichfield's right to the market in 1387x90. Market had fallen into disuse by 1680. (VCH Staffordshire, v, p. 25) "																				Y	GC	vfm	Nativity of the Virgin	08-Sep	3				1259	02-Jun	K Hen III		"Roger, bp of Coventry and Lichfield, the king's cousin"		"CChR, 1257-1300, p. 19"						"Fair held by the bp of Coventry and Lichfield was recorded in 1297. K Ric II confirmed the bp of Coventry and Lichfield's right to the fair in 1387x90. Fair continued until the calendar change in the eighteenth century. (VCH Staffordshire, v, p. 25) "																																												
36	BURTON ON TRENT 	STAFFORDSHIRE	England	4248	3230	Y	1187x97	"BF, p. 161"		60	A monastic site from the beginning of the eleventh century.	Y	"Everitt, p. 471"		GC	Thurs	1				1200	12-Apr	K John		A and M of Burton		"RCh, p. 49"						"On 12 May 1227, K Hen III granted a Thurs market to the A and M of Burton. (Monasticon, iii, p. 43, no. xv) On 7 Jul 1468, K Edw IV confirmed the charter of K Hen III to William Bronston, the A and the C of St Mary and St Modwenna, Burton. (CPR, 1467-77, p. 95) The Thurs market continued in 1999. (VCH Staffordshire, forthcoming)"	PB	Sun	1	28 Nov 1384									"CPR, 1381-5, p. 506"						"It was stated that an unlicensed Sun market had lately been set up at Burton on Trent by men of Derbyshire and Staffordshire, which was damaging the market at Stafford, Staffordshire (q.v.). (CPR, 1381-5, p. 506) This unofficial Sun market may date from as early as 1309. It was subseqently abandoned. (VCH Staffordshire, forthcoming)"																				Y	GC	vfm	Modwenna	05-Jul	3				1200	02-Apr	K John		A and M of Burton		"RCh, p. 49"						"Fair continued until at least 1805. (VCH Staffordshire, forthcoming)"	P	f	Ascension		1		1255								"VCH Staffordshire, forthcoming"						"Fair continued until 1891, but had fallen into disuse by the early twentieth century."	GP	vfm	Luke the Evangelist	18-Oct	3				1468	07-Jul	K Edw IV		"William Bronston, A and C of the ch of St Mary and St Modwenna, Burton"		"CPR, 1467-77, p. 95"						"Fair continued untill 1924. (VCH Staffordshire, forthcoming.)"	"17 Oct (Harrison, p. 396)"	
17	CANNOCK	STAFFORDSHIRE	England	3981	3101					70.25		Y	"Everitt, p. 471"	"VCH Staffordshire, v, pp. 61-2 "	GC	Tues	1				1259	02-Jun	K Hen III		"Roger, bp of Coventry and Lichfield, the king's cousin"		"CChR, 1257-1300, p. 19"						"To be held at the manor. (CChR, 1257-1300, p. 19) The bp of Coventry and Lichfield was holding the market in 1293. (QW, pp. 710-11) K Ric II confirmed the bp of Coventry and Lichfield's right to the market in 1387x90. Market had fallen into disuse by 1747. (VCH Staffordshire, v, p. 62)"																																							Y	GC	vfm	Michael in Monte Tumba	16-Oct	3				1259	02-Jun	K Hen III		"Roger, bp of Coventry and Lichfield, the king's cousin"		"CChR, 1257-1300, p. 19"						"To be held at the manor. (CChR, 1257-1300, p. 19) The bp of Coventry and Litchfield was holding the fair in 1293. (QW, pp. 710-11) K Ric II confirmed the bp of Coventry and Lichfield's right to the fair in 1387x90. (VCH Staffordshire, v, p. 62)"																																												
45	CHARTLEY	STAFFORDSHIRE	England	4007	3284					80					GL	Thurs	1		mercatum		1221	26-Sep	K Hen III		R[anulph] earl of Chester and Lincoln		"RLC, i, p. 470"						To be held at the manor until the king came of age.																																							Y	GL	fm	Pentecost		2	feria			1221	26-Sep	K Hen III		R[anulph] earl of Chester and Lincoln		"RLC, i, p. 470"						To be held at the manor until the king came of age.																																												
41	CHEADLE	STAFFORDSHIRE	England	4008	3432	Y	1383	"BF, supplement, p. 63"		70		Y	"Everitt, p. 471"		PB																		No further information for the market.																																																																																																								
