Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
80	ASPALL	SUFFOLK	England	6168	2650					30.75																																																														Y	P						1086								"VCH Suffolk, i, p. 554"						"Domesday Book states that in the vill there was a third part of a fair. (VCH Suffolk, i, p. 554)"																																												
91	BARKING	SUFFOLK	England	6072	2531					87.25	"Scarfe identifies Barking with Needham Market. (N. Scarfe, 'Markets and fairs in medieval Suffolk: a provisional list', Suffolk Review, 3, (1965) p. 7 ) Needham Market is two and a half miles north east of Barking; its grid references are 6087 2552."				GL	Mon	1		mercatum		1226	07-May	K Hen III		G. bp of Ely		"RLC, ii, p. 109"						"To be held at the manor until the king came of age. (RLC, ii, p. 109) Letter close to sh of Suffolk regarding the grant to the bp of Ely of a Mon market dated 1 May 1227. (RLC, ii, p. 183b)"																																							Y	GL	vf+2	John the Baptist	24-Jun	4	feria			1226	19-Oct	K Hen III		G. bp of Ely		"RLC, ii, p. 413"						To be held at the manor until the king came of age.																																												
32	BARROW	SUFFOLK	England	5761	2646					60					GC	Sat	1				1267	09-Feb	K Hen III		Maud Passelewe		"CChR, 1257-1300, p. 71"						"To be held at the manor. (CChR, 1257-1300, p. 71) In 1270 the abbot of Bury complained that this market, which was a bout 4 leagues from Bury, attracted trade from his Monday market at Bury since traders from a distance sold their goods at Barrow on the Saturday; a jury agreed that the market at Barrow was too close, but Maud Passelew produced her royal charter and the king ordered precise measurements of the distance to be made (L.F. Salzman, 'The legal status of markets', The Cambridge Historical Journal 2.3 (1928), 205-12, esp. 211-12). On 12 Jan 1291, K Edw I inspected and confirmed a charter whereby Maud Passelewe, daughter and one of the heirs of Sir Thomas de Barwe iuxta Sanctum Edmundum, in her widowhood, gave to Sir William Giffard, son of Sir Hugh Giffard, and Katherine his wife, daughter of the said Maud, and her heirs, the manor of Barrow with the market. (CChR, 1257-1300, p. 382)"																																							Y	GC	vfm	Nativity of John the Baptist	24-Jun	3				1267	09-Feb	K Hen III		Maud Passelewe		"CChR, 1257-1300, p. 71"						"To be held at the manor. (CChR, 1257-1300, p. 71) On 12 Jan 1291, K Edw I inspected and confirmed a charter whereby Maud Passelewe, daughter and one of the heirs of Sir Thomas de Barwe iuxta Sanctum Edmundum, in her widowhood, gave to Sir William Giffard, son of Sir Hugh Giffard, and Katherine his wife, daughter of the said Maud, and her heirs, the manor of Barrow with the fair. (CChR, 1257-1300, p. 382)"																																												
48	BAWDSEY	SUFFOLK	England	6346	2401					105.75					GC	Fri	1				1283	28-Aug	K Edw I		Robert de Ufford		"CChR, 1257-1300, p. 268"						To be held at the manor.																																							Y	GC	vfm	Mary in September	08-Sep	3		gr 1135x54		9		K Steph		J. P of Ely and the M		"CChR, 1341-1417, p. 362"							GC	vfm+5	Nativity of Mary	08-Sep	8				1283	28-Aug	K Edw I		Robert de Ufford		"CChR, 1257-1300, p. 268"						To be held at the manor.																							
42	BEALINGS	SUFFOLK	England	6231	2489						"In the 1334 Lay Subsidy, Great and Little Bealings were assessed jointly at £64.50. (Glasscock, p. 296) "				GC	Tues	1				1271	26-May	K Hen III		Hugh Peche		"CChR, 1257-1300, p. 168"						To be held at the manor.																																							Y	GC	vfm	Luke	18-Oct	3				1271	26-May	K Hen III		Hugh Peche		"CChR, 1257-1300, p. 168"						To be held at the manor.																																												
28	BECCLES	SUFFOLK	England	6422	2905	Y	1086	"BF, p. 165; Darby, p. 367"		213.19		Y	"Everitt, p. 475"		PB		1	1086	mercatum	the king (one quarter); the abbey of Bury St Edmunds (three quarters)							"Darby, p. 370"																																													Y	GC	v+7	Peter and Paul	29-Jun	8				1205	11-Jun	K John		A and C of St Edmunds		"RCh, p. 156b"							GC	vfm	Matthew the Apostle	21-Sep	3				1260	28-Jul	K Hen III		A and C of St Edmunds		"CChR, 1257-1300, p. 27"																													
38	BELTON	SUFFOLK	England	6486	3029					55.7					GC	Mon	1				1270	04-Mar	K Hen III		Henry de Caldicote		"CChR, 1257-1300, p. 138"						"To be held at the manor. (CChR, 1257-1300, p. 138) In 1274-5, Henry de Caldecotes was holding a Mon market. (RH, ii, p. 169b)"																																							Y	GC	vfm	Ascension		3				1270	04-Mar	K Hen III		Henry de Caldicote		"CChR, 1257-1300, p. 138"						To be held at the manor.																																												
52	BENHALL	SUFFOLK	England	6372	2618						"In the 1334 Lay Subsidy, Benhall, Saxmundham, Suffolk (q.v.) and Farnham were assessed together at £70.81. (Glasscock, p. 294)"																																																													Y	GC	vf+2	Peter ad vincula	01-Aug	4				1292	15-Jun	K Edw I		Guy Ferre		"CChR, 1257-1300, p. 422"						To be held at the manor.																																												
97	BILDESTON	SUFFOLK	England	5985	2492					43.5		Y	"Everitt, p. 475"		P			c.1348									"N. Scarfe, 'Markets and fairs in medieval Suffolk: a provisional list', Suffolk Review, 3, (1965), p. 5 "																																																																																																														
70	BLYTHBURGH	SUFFOLK	England	6451	2753					101.13	"An important royal and household centre where there was an exchanger in 1066. As a commercial centre, Blythburgh quickly lost ground to Dunwich, Suffolk (q.v.) (VCH Suffolk, i, pp. 451-2)"	Y	"Everitt, p. 475"		P		1	1086	mercatum								"Darby, p. 370"							GC	Mon	1				1324	29-Mar	K Edw II		John de Claveryng		"CChR, 1300-26, p. 463"						"To be held at the manor. (CChR, 1300-26, p. 463) Mon market granted to Ralph de Nevill on 22 Apr 1340 by K Edw III. (CChR, 1327-41, p. 467)"																				Y	GC	vf	Annunciation	25-Mar	2				1324	29-Mar	K Edw II		John de Claveryng		"CChR, 1300-26, p. 463"						"To be held at the manor. (CChR, 1300-26, p. 463) Fair on vfm Annunciation granted to Ralph de Nevill on 22 Apr 1340 by K Edw III. (CChR, 1327-41, p. 467)"	GC	vf	Nativity of Mary	08-Sep	2				1324	29-Mar	K Edw II		John de Claveryng		"CChR, 1300-26, p. 463"						"To be held at the manor. (CChR, 1300-26, p. 463) Fair on vfm Nativity of Mary granted on 22 Apr 1340. (CChR, 1327- 41, p. 467)"																							"On 8 Dec 1330, K Edw III granted Ralph de Neville that if John de Claveryng died without an heir, he would inherit the market and fair. (CChR, 1327-41, p. 196)"
107	BOTESDALE	SUFFOLK	England	6048	2758							Y	"Everitt, p. 475"		P		1	1274-5	mercatum	A of [Bury] St Edmunds							"RH, ii, p. 194"																																																																																																														
40	BRAMFIELD	SUFFOLK	England	6399	2738					74.92					GC	Thurs	1				1270	03-Aug	K Hen III		John de Vallibus son of Alexander de Vallibus		"CChR, 1257-1300, p. 150"						To be held at the manor.																																							Y	GC	vfm	Margaret	20-Jul	3				1270	03-Aug	K Hen III		John de Vallibus son of Alexander de Vallibus		"CChR, 1257-1300, p. 150"						To be held at the manor.																																												
41	BRAMPTON	SUFFOLK	England	6435	2815					60					GC	Mon	1				1271	06-Jan	K Hen III		Alan de Wymundhale		"CChR, 1257-1300, p. 161"						To be held at the manor.																																							Y	GC	f	Peter ad Vincula	01-Aug	1				1271	06-Jan	K Hen III		Alan de Wymundhale		"CChR, 1257-1300, p. 161"						To be held at the manor.																																												
66	BRANDON	SUFFOLK	England	5777	2862					88		Y	"Everitt, p. 475"		GC	Thurs	1				1319	23-Oct	K Edw II		"John de Hotham, bp of Ely"		"CChR, 1300-26, p. 415"						To be held at the manor.																																							Y	GC	vf+2	Peter and Paul	29-Jun	4				1319	23-Oct	K Edw II		"John de Hothum, bp of Ely"		"CChR, 1300-26, p. 415"						To be held at the manor.																																												
29	BRENT ELEIGH	SUFFOLK	England	5942	2483					42.94					GC	Thurs	1				1260	12-Aug	K Hen III		Henry de Shelton		"CChR, 1257-1300, p. 28"						To be held at the manor.																																							Y	GC	vfm	Ascension		3				1260	12-Aug	K Hen III		Henry de Shelton		"CChR, 1257-1300, p. 28"						To be held at the manor.																																												
50	BRIGHTWELL	SUFFOLK	England	6249	2435						"In the 1334 Lay Subsidy, Brightwell and Playford were assessed together at £42.75. (Glasscock, p. 296)"																																																													Y	GC	vfm	Nativity of John the Baptist	24-Jun	3				1285	15-May	K Edw I		Hugh de Gosebek		"CChR, 1257-1300, p. 289"						To be held at the manor.																																												
1	BUNGAY	SUFFOLK	England	6336	2898	Y	1228	"BF, p. 165"		94.88		Y	"Everitt, p. 475"		PB		1	22 Apr 1228		"Roger le Bigod, son of earl Hugh le Bigod"							"CChR, 1226-57, p. 73"						"On 2 Jan 1307, a Sat market was held by Roger le Bigod, earl of Norfolk and Marshall of England, lately deceased. (CIPM, iv, no. 434)"	GC	Thurs	1				1384	06-May	K Ric II		"Margaret Mareschall, countess of Norfolk, the king's cousin"		"CChR, 1341-1417, p. 293"						To be held at the manor.																				Y	P					feria	1199	Hugh le Bigot							"T. D. Hardy ed., 'Rotuli de Oblatis et Finibus in Turri Londinensi asservati tempore Regis Johannis', (1835), p. 70"						"Hugh gave the king 40m. for extending his fair at Bungay. (T. D. Hardy ed., 'Rotuli de Oblatis et Finibus in Turri Londinensi asservati tempore Regis Johannis', (1835), p. 70) 1200, Nova Oblata: Hugh Bigot owed 40m. for extending his fair by two days. (PR, 2 John, p. 147) He still owed this in 1203. (PR, 3 John, p. 138; PR, 4 John, p. 111; PR, 5 John, p. 240) On 2 Jan 1307, a yearly fair on each feast of the Holy Cross was held by Roger le Bigod, earl of Norfolk and Marshall of England, lately deceased. (CIPM, iv, no. 434) This was perhaps the same fair as that recorded in the early thirteenth century. The feast of the fair may have been the Invention of Holy Cross (3 May) or the Exaltation of Holy Cross (14 Sept)."																																												
43	BURES	SUFFOLK	England	5907	2340					48					GC	Thurs	1				1271	14-Jun	K Hen III		Robert Aguillon		"CChR, 1257-1300, p. 169"						To be held at the manor.																																							Y	GC	vfm	Michael	29-Sep	3				1271	14-Jun	K Hen III		Robert Aguillon		"CChR, 1257-1300, p. 169"						To be held at the manor.																																												
45	BURGATE	SUFFOLK	England	6082	2756					41.88					GC	Mon	1				1272	13-Jun	K Hen III		Peter de Burgate		"CChR, 1257-1300, p. 182"						"To be held at the manor. (CChR, 1257-1300, p. 182) Peter de Burgate was holding the market in 1274-5. (RH, ii, p. 194b) Robert de Burgate, son of the grantee, was holding the market on 1 Nov 1286. (QW, p. 726b)"																																							Y	GC	vfm	Barnabas	11-Jun	3				1272	13-Jun	K Hen III		Peter de Burgate		"CChR, 1257-1300, p. 182"						To be held at the manor.																																												
