Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
55	ALFRISTON	SUSSEX	England	5521	1030						"Part of the duchy of Lancaster. The market and fairs were to be held by the king and his heirs as dukes of Lancaster. In the 1334 Lay Subsidy, Alfriston was valued with part of Blatchington at £39. "				GC	Tues	1				1406	24-May	K Hen IV				"CChR, 1341-1417, p. 431"						To be held at the king's town. 																																							Y	GC	vf	Andrew the Apostle	30-Nov	2				1406	24-May	K Hen IV				"CChR, 1341-1417, p. 431"						To be held at the king's town. 	GC	vf	Philip and James	01-May	2				1406	24-May	K Hen IV				"CChR, 1341-1417, p. 431"						To be held at the king's town. 																							
24	ARUNDEL	SUSSEX	England	5016	1072	Y	1086	"BF, p. 169; Darby, p. 367"		63.69	"On the opposite bank of the river and downstream from the Anglo-Saxon burh of Burpham, Sussex (q.v.), which it may have replaced. (Beresford, p. 492)"	Y	"Everitt, p. 475"	"VCH Sussex, v, part i, pp. 61-2"	PB			1086															"The market evidently existed by 1086, when the earl's sheriff took toll. By 1288, markets were held on Mon and Thurs, the former later moving to Sat. By the early fifteenth century, the corporation leased tolls from the earl, so that by 1586 the Thurs and Sat markets were claimed as the property of the town. The Thurs market was the most important by the seventeenth century; before 1805 it was transferred to Wed. In 1766 the Sat market was said to have been long disused, although it was held in 1788. The latest evidence for the Sat market dates from 1855. (VCH Sussex, v, part i, p. 61)."																																							Y	GC	vfm	Invention of the Cross	03-May	3				1285	01-Aug	K Edw I		Richard le fitz Aleyn		"CChR, 1257-1300, p. 320"						"To be held at the manor. (CChR, 1257-1300, p. 320) Fair recorded in 1586 (when it lasted one day). It was recorded in 1784, although the date had altered as a result of the calendar change.It was recorded in 1831 and 1888, but fell into disuse after 1907. (VCH Sussex, v, part i, p. 62)"	GC		Nicholas	06-Dec	3				1285	01-Aug	K Edw I		Richard le fitz Aleyn		"VCH Sussex, v, part i, p. 62"						"This fair is not recorded in the 'Calendar of Charter Rolls'. Fair recorded in 1586 (when it lasted more than one day). It was recorded in 1784, although the date had altered as a result of the calendar change. It was last recorded in 1831."	P		Exaltation of the Cross	14-Sep			1288								"VCH Sussex, v, part i, p. 62"						"Fair recorded in 1586 (when it lasted one day). It was recorded in 1784, although the date had altered as a result of the calendar change. It was recorded in 1831 and 1888, but fell into disuse after 1907."	"6 Dec (Harrison, p. 397)"	"A fair on 10 Aug was recorded in 1586. It was recorded in 1784, although the date had altered as a result of the calendar change. It fell into disuse soon afterwards. (VCH Sussex, v, part i, p. 62)"
57	BATTLE	SUSSEX	England	5750	1162	Y	c.1180	"BF, p. 169"		94.13	"Abbey founded 1066-7. The value for Battle in the 1334 Lay Subsidy has been calculated by adding together the values for Middleborough, Sandlake and Mountjoy, the ancient divisions of the borough."	Y	"Everitt, p. 475"	"E. Searle, 'Lordship and Community: Battle Abbey and its Banlieu, 1066-1538', (Toronto, 1974), pp. 80-1, 206, 352-3, 365-6"	PB		1	"1066x87, possibly 1066x70"	mercatum	M of the ch of St Martin of Battle							"Regesta, 1066-87, no. 13"						"This writ may not be entirely reliable, but it is almost identical to a writ of K Hen I, dated 1103x06, which confirmed to the M their customs within and without the market, as granted by K Wil I. (Regesta, 1066-87, no. 13; Regesta, ii, no. 752) In 1114x22, K Hen I confirmed to the ch of Battle the Sun market granted by K Wil I. (Regesta, ii, no. 1348) A spurious charter of K Wil I, ostensibly from 1070-1, grants the ch of St Martin of Battle a Sun market. (Regesta, i, no. 61) The medieval market was held on Sun. (E. Searle, 'Lordship and Community: Battle Abbey and its Banlieu, 1066- 1538, (Toronto, 1974), pp. 80-1)"																																							Y	GO		Martin in the Summer	04-Jul	3		gr 1114x22		9		K Hen I		ch of Battle		"Regesta, ii, no. 1348"						"Searle (pp. 80-1, 392) mentions a fair on the feast of St Martin in the Winter (11 Nov), but this may be a confusion with the summer fair."																																												
56	BIDLINGTON	SUSSEX	England	5178	1103					52.81				"VCH Sussex, vi, part i, p. 210"																																																										Y	P	f	Mary Magdalen	22-Jul	1		1399								"VCH Sussex, vi, part i, p. 210"						Fair recorded in 1498.																																												
17	BIRLING	SUSSEX	England	5557	970										GC	Tues	1				1267	28-Mar	K Hen III		William Bardolf the younger		"CChR, 1257-1300, p. 74"						To be held at the manor.																																							Y	GC	vfm	Simon and Jude	28-Oct	3				1267	28-Mar	K Hen III		William Bardolf the younger		"CChR, 1257-1300, p. 74"						To be held at the manor.																																												
52	BODIAM	SUSSEX	England	5781	1258						Dalingridge was the builder of Bodiam castle.				GC	Sat	1				1383	25-Feb	K Ric II		"Edward Dalyngregg [Dalingridge], kn and Elizabeth his wife"		"CChR, 1341-1417, p. 281"						To be held at the manor.																																							Y	GC	vf	Augustine in May	26-May	2				1383	25-Feb	K Ric II		"Edward Dalyngregg [Dalingridge], kn and Elizabeth his wife"		"CChR, 1341-1417, p. 281"						To be held at the manor.																																												
73	BOSHAM	SUSSEX	England	4803	1039					38.27					GL	Thurs	1		mercatum		1218	14-Sep	K Hen III		William Earl Marshal		"RLC, i, p. 370"						To be held at the manor.																																																																																																								
1	BOXGROVE	SUSSEX	England	4907	1075					20.06																																																														Y	GC	vfm	Blaise the martyr	03-Feb	3				1235	08-Aug	K Hen III		P of Boxgrove		"CChR, 1226-57, p. 211"						"Mandate to sh of Sussex to proclaim the fair and cause it to be held, 16 Aug 1235. (CR, 1234-7, p. 129) P of Boxgrove was holding the fair in 1279. (QW, p. 757)"																																												
32	BRAMBER	SUSSEX	England	5186	1106	Y	1248	"BF, p. 170"	1135-54	15	"Downstream from Steyning, Sussex (q.v.)."			"VCH Sussex, vi, part i, pp. 209-10"	PB PM			1086		William de Braose							"Regesta 1066-87, no. 146"						"In 1086, in a plea between William de Braose and the abbey of Fécamp, it was judged that toll throughout the week should belong to the abbey, except for half of that on Saturdays which should go to William, and that ships going to the harbour (portus) at St Cuthman’s [Steyning] should only pay 2d. for each ascent and descent, 'unless they make another market at William’s castle' i.e. at Bramber. (Regesta 1066-87, no. 146)"	GC	"Mon, Thurs"	2				1316	05-Aug	K Edw II		William de Braose and John de Mowbray and Alina his wife and the heirs of the bodies of John and Alina		"CChR, 1300-26, p. 315"						"Mandate to the sh of Sussex to proclaim that markets will be held at the king's town on Mon and Thurs, 18 Sept 1324. (CCR, 1323-7, p. 222) On 13 Apr 1332, K Edw III confirmed the market to John de Moubray, son and heir of John [de Mowbray] and Alina. (CChR, 1327-41, p. 269) Thurs market granted to Thomas de Mowbray, earl of Nottingham by K Ric II in 1383. Market at Bramber may have fallen into disuse in the late fourteenth and fifteenth centuries, when no profits from toll are recorded. It had definitely lapsed by 1595. (VCH Sussex, vi, part i, p. 210)"																				Y	P						1288								"VCH Sussex, vi, part i, p. 209"							GC	vfm	Augustine	26-May	3				1316	05-Aug	K Edw II		William de Braose and John de Mowbray and Alina his wife and the heirs of the bodies of John and Alina		"CChR, 1300-26, p. 315"						"To be held at the manor. The date of the fair was probably 26 May, i.e. the feast of Archbishop Augustine. (CChR, 1300- 26, p. 315) On 13 Apr 1332, K Edw III confirmed the fair to John de Moubray, son and heir of John [de Mowbray] and Alina. (CChR, 1327-41, p. 269)"	GC	vfm	Denis	09-Oct	3				1316	05-Aug	K Edw II		William de Braose and John de Mowbray and Alina his wife and the heirs of the bodies of John and Alina		"CChR, 1300-26, p. 315"						"To be held at the manor. (CChR, 1300-26, p. 315) On 13 Apr 1332, K Edw III confirmed the fair to John de Moubray, son and heir of John [de Mowbray] and Alina. (CChR, 1327-41, p. 269)"		"Fair 4: GL gr by K Edw II on 18 Sept 1324, fair on vfm Edward the King and Confessor (13 Oct), to be held at the king's town. Mandate to the sh of Sussex to proclaim the fair. (CCR, 1323-7, p. 222)\r\nFair 5: GL gr by K Edw II on 18 Sept 1324, fair on vfm John before the latin gate (6 May), to be held at the king's town. Mandate to the sh of Sussex to proclaim the fair. (CCR, 1323-7, p. 222)\r\nFair 6: GC In 1383, K Ric II granted Thomas Mowbray, earl of Nottingham a three day fair on the feast of the Assumption. (15 Aug). (VCH Sussex, vi, part i, p. 210)\r\nA fair is recorded in 1445 and 1498; VCH provides no later evidence. (VCH Sussex, vi, part i, p. 210)"
44	BRIGHTON	SUSSEX	England	5307	1045					102.5		Y	"Everitt, p. 475"		GC	Thurs	1				1312	24-Jul	K Edw II		"John de Warenna, earl of Surrey"		"CChR, 1300-26, p. 194"						To be held at the manor.																																							Y	GC	vfm	Bartholomew	24-Aug	3				1312	24-Jul	K Edw II		"John de Warenna, earl of Surrey"		"CChR, 1300-26, p. 194"						To be held at the manor.																																												
