Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
72	ABERAVON / ABERAFAN		Wales	2758	1900	Y	1283x1314	"Soulsby, p. 64"			"Borough probably grew up next to the Norman motte and bailey castle. It was formally incorporated between 1283 and 1314. Nothing remains of the early borough, which was destroyed by the development of Port Talbot. It was also being overcome by the sea and sand by 1491-2. (Soulsby, p. 64; R.A. Griffiths, 'The medieval boroughs of Glamorgan and medieval Swansea', in T.B. Pugh ed., 'Glamorgan County History', iii, (Cardiff, 1971), p. 359)"				PB																		No further information for the market.																																							Y	P			Jun	2		20 Apr 1373								"R.A. Griffiths, 'The medieval boroughs of Glamorgan and medieval Swansea', in T.B. Pugh ed., 'Glamorgan County History', iii, (Cardiff, 1971), p. 359"						"On 20 Apr 1373, the fair, which was held for two days in Jun, was formally recognised by Edward, lord Despenser, in a grant of privileges to the burgesses; the tolls were reserved to lord Despenser."	P			Nov	2		20 Apr 1373								"R.A. Griffiths, 'The medieval boroughs of Glamorgan and medieval Swansea', in T.B. Pugh ed., 'Glamorgan County History', iii, (Cardiff, 1971), p. 359"						"On 20 Apr 1373, the fair, which was held for two days in Nov, was formally recognised by Edward, lord Despenser, in a grant of privileges to the burgesses; the tolls were reserved to lord Despenser."																							
58	ABERFFRAW 	ANGLESEY	Wales	2353	3690										GC	Thurs	1				1342	08-Jun	K Edw III		"Master Roger de Heyton, king's surgeon"		"CChR, 1341-1417, p. 11"						"To be held for life at the manor. (CChR, 1341-1417, p. 11) A market was recorded in 1346. (M. Richards, 'Atlas of Anglesey', (Anglesey, 1972), p. 67)"																																							Y	GC	f+2	"Edward, king and confessor"	13-Oct	3				1342	08-Jun	K Edw III		"Master Roger de Heyton, king's surgeon"		"CChR, 1341-1417, p. 11"						To be held for life at the manor. The date is assumed to be that of the translation of Edward the Confessor.	GC	f+2	Corpus Christi		3				1342	08-Jun	K Edw III		"Master Roger de Heyton, king's surgeon"		"CChR, 1341-1417, p. 11"						To be held for life at the manor.																							
73	ABERGAVENNY / Y FENNI		Wales	3302	2140	Y	1256-9	"Soulsby, p. 67"			"Roman fort. Castle and town were set out in c.1090. A military and administrative centre after the Norman conquest of south Wales. Borough almost destroyed by Owain Glyndwr in 1404; it was not fully restored until the early sixteenth century. (Soulsby, pp. 64-67)"	Y	"Everitt, p. 471"		PB			1255									"Beresford, p. 558"						"In 1368, an unspecified number of markets were recorded, which were greatly reduced in value."																																							Y	P						1255								"Beresford, p. 558"						"In 1368, an unspecified number of fairs were recorded, which were greatly reduced in value."																																												
74	ABERGELE		Wales	2945	3777	Y	1311	"Soulsby, p. 68"			"In the ninth century, the ch was regarded as the clas (mother ch) of the district. The location of this site is unclear and it is possible that the area has been eroded by the sea. (Soulsby, p. 68)"				PB			1311									"Soulsby, p. 68"																																													Y	P						1311								"Soulsby, p. 68"																																																		
43	ABERGWILI	CARMARTHEN	Wales	2440	2209	Y	1326	"Soulsby, pp. 68-9"			"A small town in the medieval period, which was probably established after the bp of St David’s built a collegiate ch in 1287. (Soulsby, pp. 68-9) "				GC	Wed	1				1313	29-Apr	K Edw II		"David, bp of St David's"		"CChR, 1300-26, p. 216"						"To be held at the manor. (CChR, 1300-26, p. 216) A weekly market held by the bp of St David's, according to the king's charter, was recorded in 1326. However, this was said to be on Fri. All comers to the market were free from toll. (Willis- Bund, p. 243)"																																							Y	GC	vf+3	Maurice	22-Sep	5				1290	20-May	K Edw I		"Thomas, bp of St David's"		"CChR, 1257-1300, p. 343"						"Fair granted again by K Edw I to Thomas, bp of St David's on 20 Sept 1291. (CChR, 1257-1300, p. 405) In 1326, the bp of St David's was holding a fair on the feast of Maurice which lasted seven days. The tolls were worth 6d. per annum. (Willis-Bund, p. 243)"																																												
117	ABERGWYNGREGYN	CARNARVON	Wales	2654	3726						Also known as Aber.				GC	Tues	1				1339	13-Mar	K Edw III		Walter de Mauny		"CChR, 1327-41, p. 461"						To be held at the manor.																																							Y	GC	vfm	Holy Trinity		3				1339	13-Mar	K Edw III		Walter de Mauny		"CChR, 1327-41, p. 461"						To be held at the manor.	GC	vf	Nicholas	06-Dec	2				1339	13-Mar	K Edw III		Walter de Mauny		"CChR, 1327-41, p. 461"						To be held at the manor.	GC	vfm	Denis	09-Oct	3				1339	13-Mar	K Edw III		Walter de Mauny		"CChR, 1327-41, p. 461"						To be held at the manor.		
7	ABERYSTWYTH	CARDIGAN	Wales	2584	2820	Y	28 Dec 1277	"CChR, 1257-1300, p. 206"			"The original settlement in this area was at Llanbadarn Fawr, site of an important Welsh monastery. A Benedictine priory was founded here by the Normans in c.1111. At least two Norman castles were constructed in the vicinity. In 1277, Edmund, earl of Lancaster planned a new town two miles away on the coast. It retained the name of Llanbadarn Fawr until the early fifteenth century, when it became known officially as Aberystwyth. Some burgage plots remained untenanted in the early fourteenth century and the town had experienced a period of contraction by the sixteenth century. (Griffiths, pp. 19-45; Soulsby, pp. 69-72)"	Y	"Everitt, p. 472"	"Griffiths, pp. 19-45"	GC	Mon	1				1277	28-Dec	K Edw I		burgesses of Aberystwith		"CChR, 1257-1300, p. 206"						"Market recorded in 1303-05. (M. Rhys, 'Ministers' Accounts for West Wales, 1277 to 1306', Honourable Society of Cymmrodorion, (London, 1936), i, pp. 294, 362) On 4 Aug 1305, Edw, prince of Wales, earl of Chester, ordained that the market at Aberystwith should be held and proclaimed as granted to the burgesses. (CChR, 1341-1417, p. 263) Leland recorded the market. (Griffiths, p. 44)"																																							Y	GC	vf+2	Whitsuntide		4				1277	28-Dec	K Edw I		burgesses of Aberystwith		"CChR, 1257-1300, p. 206"						"A fair at Pentecost was recorded in 1298-1300 and 1303-05. (M. Rhys, 'Ministers' Accounts for West Wales, 1277 to 1306', Honourable Society of Cymmrodorion, (London, 1936), i, pp. 94, 294, 362)"	GC	vf+6	Michaelmas	29-Sep	8				1277	28-Dec	K Edw I		burgesses of Aberystwith		"CChR, 1257-1300, p. 206"						"A fair on the feast of Michael was recorded in 1298-1300 and 1303-05. (M. Rhys, 'Ministers' Accounts for West Wales, 1277 to 1306', Honourable Society of Cymmrodorion, (London, 1936), i, pp. 75, 94, 294, 362)"																							"Unspecified fair(s) recorded in 1300-01. (M. Rhys, 'Ministers' Accounts for West Wales, 1277 to 1306', Honourable Society of Cymmrodorion, (London, 1936), i, p. 199)"
75	ADPAR		Wales	2306	2413	Y	1326	"Soulsby, pp. 73-4"			"First recorded as a borough in 1326, when it was controlled by the bps of St David’s. The bps may have re-organised a Welsh settlement to an English model. No details of the castle are known. Situated on the opposite bank of the river Teifi from Newcastle Emlyn, Wales (q.v.), by which it has now been absorbed. (Soulsby, pp. 73-4)"				PB	Sat	1	1326	mercatum	bp of St David's							"Willis-Bund, p. 219"																																													Y	P		Trans of Thomas the Martyr	07-Jul	3	nundinae	1326	bp of St David's							"Willis-Bund, p. 219"																																																		
76	BALA / Y BALA		Wales	2928	3362	Y	1310	"Soulsby, pp. 74-6"			"Founded by Roger Mortimer c.1310 to act as an adminstrative centre. Formal privileges were granted in 1324. It remained small during the medieval period and was described by John Leland as ‘a little poore market’. (Soulsby, pp. 74-6)"	Y	"Everitt, p. 472"		PB			c.1310									"Beresford, p. 557; Soulsby, pp. 74-6"						"The market was moved here from Llanfor, Wales (q.v.)."																																							Y	P						c.1310								"Beresford, p. 557; Soulsby, pp. 74-6"						"At least one fair was moved here from Llanfor, Wales (q.v.)."																																												
77	BANGOR		Wales	2581	3721						"Probably grew up around the monastery of St Deiniol, founded in the sixth century, which became the main ecclesiastical centre in North Wales. Episcopal see, to which the first Norman bp was appointed in 1092. Motte constructed in late eleventh century. Site may have seen more development during the twelfth century, prompted by the building of a new cathedral ch. Described as a ‘town’ in 1211, when it was burnt by K John. K Edw I is said to have refortified the town in 1284. During the fourteenth century, the right of the burgesses of Bangor to trade in other towns of the principality was repeatedly conceded by the Crown. Bangor was attacked by Owain Glyndwr in 1402. (Soulsby, pp. 76-8; W. Rees, ed., 'Calendar of Ancient Petitions Relating to Wales', (Cardiff, 1975), pp. 459-60; T. Jones ed., 'Brut y Tywysogyon or The Chronicle of the Princes, Peniarth MS. 20 Version', (Cardiff, 1952), p. 85) "	Y	"Everitt, p. 472"		PB																		No further information for the market. 																																							Y	GC	vf+2	Luke	18-Oct	4				1330	10-Aug	K Edw III		"Matthew, bp of Bangor"		"CChR, 1327-41, p. 187"						"To be held at the manor. (CChR, 1327-41, p. 187) Charter confirmed by K Ric II on 18 Dec 1378. (CPR, 1377-81, p. 291)"	GP		Trillo	15-Jun	4				1351	08-Oct	"Edw, prince of Wales"		"Matthew, bp of Bangor"		"CPR, 1377-81, p. 291"						"This was a confirmation of an agreement between the justices-in-eyre in North Wales and the bp. It was confirmed by K Ric II on 18 Dec 1378. (CPR, 1377-81, p. 291) The feast of Trillo was celebrated elsewhere on 15 Jun. (D.H. Farmer, 'The Oxford Dictionary of Saints', (Oxford, 1979), p. 383)"																							
