Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
28	ALCESTER	WARWICKSHIRE	England	4091	2574	Y	1207	"BF, p. 173"		93.63	"Roman town. In mid thirteenth century, it was said to have been a borough since the time of K Hen II. (BF, p. 173)"	Y	"Everitt, p. 475"	"VCH Warwickshire, iii, p. 13"	PB			1238	mercatum								"CRR, xvi, no. 149C"						"Day of the market not specified. (CRR, xvi, no. 149C) Market recorded in 1271, day not specified. (CR, 1268-72, p. 343) In c.1274, Walter de Beauchamp granted his free burgesses and tenants [of Alcester] the right to hold a Tues market, as in ancient time. Market held by John de Beauchamp in 1359. (VCH Warwickshire, iii, p. 13) On 18 Nov 1446, the Tues market was held by John Beauchamp of Poywyk, kn. (CChR, 1427-1516, pp. 88-9) Right to the market confirmed in 1617. Market fell into disuse in the late nineteenth century. (VCH Warwickshire, iii, p. 13)"	GC	Thurs	1				1274		Walter de Beauchamp		burgesses and tenants [of Alcester]		"VCH Warwickshire, iii, p. 13"						"Grant made c.1274. There is no further evidence for the market.(VCH Warwickshire, iii, p. 13)"																				Y	GC	vf+6	Giles	01-Sep	8				1292	18-Jul	K Edw I		Walter de Bello Campo		CChR 1257-1300 p. 430						"To be held at the manor. (CChR 1257-1300 p. 430) On 18 Jul 1302, K Edw I granted Walter de Bello Campo a fair at his manor on vfm+5 of Faith (6 Oct) in lieu. (CChR, 1300-26, p. 27) On 18 Nov 1446, it was said that John Beauchamp of Poywyk, kn, and his ancestors had had a fair on the Sun after Faith from time immemorial. (CChR, 1427-1516, pp. 88-89) Right to the fair confirmed in 1617. (VCH Warwickshire, iii, p. 13)"	GC	vf+6	Barnabas	11-Jun	8				1320	10-May	K Edw II		Walter de Bello Campo		"CChR, 1300-26, p. 426"						"To be held at the manor. (CChR, 1300-26, p. 426) This fair was not mentioned amongst the liberties of John Beauchamp of Poywyk, kn, and the town of Alcester on 18 Nov 1446. (CChR, 1427-1516, pp. 88-89)"	GC	v+2	Dunstan	19-May	3				1446	18-Nov	K Hen VI		"John Beauchamp of Poywyk, kn"		"CChR, 1427-1516, pp. 89-90 "						"To be held in the town. (CChR, 1427-1516, pp. 89-90) Right to the fair confirmed in 1617. (VCH Warwickshire, iii, p. 13)"		
32	ALSPATH	WARWICKSHIRE	England	4266	2825					42.44					GC	Tues	1				1318	08-Nov	K Edw II		"John de Seagrave, the elder"		"CChR, 1300-26, p. 392"						To be held at the manor.																																							Y	GC	vf+6	Laurence	10-Aug	8				1318	08-Nov	K Edw II		"John de Seagrave, the elder"		"CChR, 1300-26, p. 392"						To be held at the manor.																																												
41	ASTON CANTLOW	WARWICKSHIRE	England	4138	2598					78.87					GP		1				1227	18-Aug	K Hen III		William de Cantelupe		"W. Thomas ed., ' The Antiquities of Warwickshire Illustrated' by Sir William Dugdale, 2nd edition (London, 1730) p. 834"						"On 18 Aug 1227, K Hen III by a letter patent confirmed a market to William de Cantelupe."																																							Y	GP								1227	18-Aug	K Hen III		William de Cantelupe		"W. Thomas ed., ' The Antiquities of Warwickshire Illustrated' by Sir William Dugdale, 2nd edition (London, 1730) p. 834"						"On 18 Aug 1227, K Hen III by a letter patent confirmed a fair to William de Cantelupe."																																												William de Cantelupe gave the king a fine of 25m. for the market and the fair.
1	ATHERSTONE	WARWICKSHIRE	England	4308	2980	Y	mid thirteenth century	"BF, p. 173"		39		Y	"Everitt, p. 475"	"VCH Warwickshire, iv, pp. 126-8"	GC	Tues	1				1246	28-Oct	K Hen III		A and M of Bec Herlouin		"CChR, 1226-57, p. 307"																																													Y	GC	vfm	Nativity of the Virgin	08-Sep	3				1246	28-Oct	K Hen III		A and M of Bec Herlouin		"CChR, 1226-57, p. 307"																																																		
2	BEAUDESERT	WARWICKSHIRE	England	4154	2661						"The manors of Beaudesert and Henley in Arden, Warwickshire (q.v.) were held by the Montfort family in the twelfth, thirteenth and into the fourteenth centuries. In the late fourteenth century, the manors passed to the Beauchamp family. In 1410, part of the manor of Beaudesert was joined with the borough of Henley in Arden to form one manor which passed to the Boteler family. The vill of Henley in Arden appears to have developed as the trading centre for Beaudesert; Henley in Arden is less than one mile west of Beaudesert. (VCH Warwickshire, iii, p. 208) "			"VCH Warwickshire, iii, p. 45 "	GC	Sun	1		mercatum		1141		Empress Matilda		Turstin de Mont[fort]		"Regesta, iii, no. 597"						To be held at his castle of Beaudesert.	GC	Mon	1				1227	10-Feb	K Hen III		Peter de Montfort		"CChR, 1226-57, p. 5"						"To be held at the manor. (CChR, 1226-57, p. 5) Sh of Warwickshire ordered to proclaim the market and cause it to be established, 14 Feb 1227. (RLC, ii, p. 170b) In 1227, William de Cantilupe gave 15m. for having a Mon market at the manor of Peter de Montfort called Beaudesert, amongst other grants. (C 60/25 m.9) This market apparently succeeded one at Henley in Arden, Warwickshire (q.v.), but seems to have migrated back there by 1232."																				Y	GC	vfm	Giles	01-Sep	3				1227	10-Feb	K Hen III		Peter de Montfort		"CChR, 1226-57, p. 5"						"To be held at the manor. (CChR, 1226-57, p. 5) Sh of Warwickshire ordered to proclaim the fair and cause it to be established, 14 Feb 1227. (RLC, ii, p. 170b) In 1227, William de Cantilupe gave 15m. for having a fair on vfm Giles at the manor of Peter de Montfort called Beaudesert, amongst other grants. (C 60/25 m.9) This fair apparently succeeded one at Henley in Arden, Warwickshire (q.v.)."																																												
27	BIDFORD	WARWICKSHIRE	England	4101	2519					77	"In 1280, the manor passed from the heirs of Llewellyn Prince of Wales to Robert Burnell. (VCH Warwickshire, iii, p. 52)"	Y	"Everitt, p. 475"	"VCH Warwickshire, iii, p. 52"	GL	Tues	1		mercatum		1220	08-May	K Hen III		Llewellyn Prince of Wales		"RLC, i, p. 417b"						"To be held at the manor. (RLC, i, p. 417b) On 27 May 1220, the day of the market was changed from Tues to Fri. (RLC, i, p. 419b)"	GO	Sat	1	1280xSept 1291			9		K Edw I		"Robert [Burnell], bp of Bath and Wells"		"CChR, 1257-1300, p. 260"						"On 16 Sept 1291, K Edw I granted Robert, bp of Bath and Wells, the chancellor, a weekly market on Fri at his manor, in lieu of a weekly market there on Sat previously granted to him. (CChR, 1257-1300, p. 404) Robert first acquired land here in 1280. (W. Thomas ed., ' The Antiquities of Warwickshire Illustrated' by Sir William Dugdale, 2nd edition (London, 1730) p. 724) "																																																																																					
3	BIRMINGHAM	WARWICKSHIRE	England	4069	2862	Y	c.1250	"BF, p. 173"		141		Y	"Everitt, p. 475"	"VCH Warwickshire, vii, pp. 251-2"	GO	Thurs	1	ante 1166	mercatum		9		Gervase Paganell		"Peter fitz William, steward of Dudley"		"G.P. Mander, 'An Appendix to the same: charters of Gervase Paganel', 'Collections for a History of Staffordshire' ed. The Staffordshire Record Society, (Kendal, 1942), p. 48"						"This grant was probably made c.1153x66. It was granted by Gervase Paganell in the presence of of the King. The market was to be held at Peter's castle of Birmingham. This was confirmed to Peter fitz William by K Hen II in March 1166. (G.P. Mander, 'An Appendix to the same: charters of Gervase Paganel', 'Collections for a History of Staffordshire' ed. The Staffordshire Record Society (Kendal, 1942), pp. 47-8) The market was confirmed to Peter the steward by K Ric I in 1189x99. (W. Barrow, 'Birmingham Markets and Fairs, 'Transactions of the Birmingham Archaeological Society' xxxviii (1912), pp. 8-9, 24) In 1285, William de Birmingham's claim that the market had been held since time immemorial was accepted. (QW, pp. 781-2) Market noted on 22 Aug 1401. (CPR, 1399-1401, p. 552) Thurs market held by William de Birmingham in 1403. Market continued into the twentieth century. (VCH Warwickshire, vii, p. 251)"																																							Y	GL	vfm	John the Baptist	24-Jun	3	feria			1250	06-Nov	K Hen III				"CR, 1247-51, p. 374"						"To be held at the royal manor. Mandate to the sh of Worcester [sic] to proclaim the fair and cause it to be established. (CR, 1247-51, p. 374) VCH suggests that the location of this fair was mistranscribed in the close roll and that the order actually relates to a royal manor in Worcestershire. (VCH Warwickshire, vii, p. 252)"	GC	vf+2	Ascension		4				1250	15-Dec	K Hen III		William de Burmingeham		"CChR, 1226-57, p. 350"						"To be held at the manor. (CChR, 1226-57, p. 350) William de Birmingham's claim to the Ascension fair in 1285 was accepted. (QW, pp. 781-2) Fair recorded in the sixteenth and eighteenth centuries. (VCH Warwickshire, vii, p. 252)"	P		Michaelmas	29-Sep			1400								"VCH Warwickshire, vii, p. 252"						"Fair recorded from sixteenth century through to the twentieth century. (VCH Warwickshire, vii, p. 252)"	"Ascension (Harrison, p. 393)"	"Fair 4: P Invention of the Cross (3 May) recorded 1400. (VCH Warwickshire, vii, p. 252)"
22	BISHOPS ITCHINGTON	WARWICKSHIRE	England	4388	2577					83.37				"VCH Warwickshire, vi, p. 122"	GC	Wed	1				1259	02-Jun	K Hen III		"Roger, bp of Coventry and Lichfield, the king's cousin"		"CChR, 1257-1300, p. 19"						"To be held at the manor. (CChR, 1257-1300, p. 19) VCH provides no further evidence for the market."																																							Y	GC	vfm	Peter and Paul	29-Jun	3				1259	02-Jun	K Hen III		"Roger, bp of Coventry and Lichfield, the king's cousin"		"CChR, 1257-1300, p. 19"						"To be held at the manor. (CChR, 1257-1300, p. 19) VCH provides no further evidence for the fair."																																												
4	BRAILES	WARWICKSHIRE	England	4315	2393	Y	1268	"BF, supplement, p. 64"		142.75				"VCH Warwickshire, v, p. 18"	GC	Mon	1				1248	16-Aug	K Hen III		"John de Plessis, earl of Warwick and Margery, his wife"		"CChR, 1226-57, p. 333"						"To be held at the manor. (CChR, 1226-57, p. 333) Market recorded in 1275. (VCH Warwickshire, v, p. 18)"																																							Y	GC	vfm	George	23-Apr	3				1248	16-Aug	K Hen III		"John de Plessis, earl of Warwick and Margery, his wife"		"CChR, 1226-57, p. 333"						To be held at the manor.																																												
5	BRETFORD	WARWICKSHIRE	England	4429	2771	Y	1279	"BF, p. 173"		31.13					GC	Tues	1				1227	02-Sep	K Hen III		Nicholas de Verdun		"CChR, 1226-57, p. 58"						"Order to sh of Warwickshire regarding the market, 1 Sept 1227. (RLC, ii, p. 199) In 1279, Theobold de Verdon was holding a market here. (Beresford, p. 499)"																																							Y	P						1279	Theobold de Verdon							"Beresford, p. 499"																																																		
