Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
7	APPLEBY	WESTMORLAND	England	3683	5204	Y	1179	"BF, p. 176"		28.55	"Norman castle. Borough founded by the baron of Westmorland. (A.J.L. Winchester, Landscape and Society in Medieval Cumbria, (Edinburgh, 1987), p. 126) The fair recorded by Harrison was apparently not medieval."	Y	"Everitt, p. 468"		PB																		No further information for the market.																																																																																																							"Mon in Whit week (Harrison, p. 394)"	
4	BEETHAM	WESTMORLAND	England	3496	4795					18.75					GC	Wed	1				1310	28-Oct	K Edw II		Thomas de Bethum		"CChR, 1300-26, p. 167"						To be held at the manor.																																							Y	GC	vfm	Nativity of John the Baptist	24-Jun	3				1310	28-Oct	K Edw II		Thomas de Bethum		"CChR, 1300-26, p. 167"						To be held at the manor.																																												
8	BROUGH	WESTMORLAND	England	3794	5146	Y	1196	"BF, p. 176"		60	"Previously known as Brough under Stainmoor and Market Brough. Roman fort. The medieval market may have developed at Church Brough, when K Wil II built a castle there in 1092. By the late twelfth century, a new settlement is evident half a mile away, where a borough was established and a market and fair granted. Although it is often difficult to distinguish between the two settlements, it appears that the new developed at the expense of the old. (Guide, ii, p. 461; A.H. Smith, 'The Place-Names of Westmorland', (London, 1967), ii, pp. 63-5; Beresford, p. 503)"	Y	"Everitt, p. 468"		GO	Sun	1		mercatum		1201		K John		men of 'Burgo' 		"PR, 3 John, p. 257"						"Nova Oblata: they paid 20m. plus 5m. for a palfrey, for having the market and the fair (see below)."	GC	Thurs	1				1330	02-Aug	K Edw III		Roger de Clifford		"CChR, 1327-41, p. 186"						"To be held at Burgh under Staynmore, co. Westmorland."																				Y	GO	vf	John the Baptist	24-Jun	2	feria			1201		K John		men of 'Burgo'		"PR, 3 John, p. 257"						"Nova Oblata: they paid 20m. plus 5m. for a palfrey, for having the fair and the market (see above)."	GC	2+f+1	Matthew the Apostle	21-Sep	4				1330	02-Aug	K Edw III		Roger de Clifford		"CChR, 1327-41, p. 186"						"To be held at Burgh under Staynmore, co. Westmorland."																							
12	BURTON-IN-KENDAL	WESTMORLAND	England	3531	4769							Y	"Everitt, p. 468"		P	1		1398		inhabitants of the town of Burton in Kendal							"W.H. Bliss and J.A. Twemlow eds, 'Calendar of Papal Registers', v, (London, 1904), p. 89"						"Robert Pell, rector of Burton in Kendal ('Byriton') claimed that the inhabitants of the town seized against his will a certain place within the walls of the cemetary, to use for a public market. The place belonged to the vicar and to the ch."																																																																																																								
10	HEVERSHAM	WESTMORLAND	England	3497	4834					30					GC	Wed	1				1334	05-Aug	K Edw III		"Alexander de Wyndesore, lord of two parts of the town of Heversham and his heirs and the king's clerk, John de Wodehouse, parson of the ch there and lord of the third part of the same"		"CChR, 1327-41, p. 312"																																													Y	GC	vf	Peter and Paul the Apostles	29-Jun	2				1334	05-Aug	K Edw III		"Alexander de Wyndesore, lord of two parts of the town of Heversham and his heirs and the king's clerk, John de Wodehouse, parson of the ch there and lord of the third part of the same"		"CChR, 1327-41, p. 312"																																																		
2	KENDAL	WESTMORLAND	England	3520	4930	Y	1222x46	"BF, p. 176"		35.88	"Also known as Kirkby in Kendal, or Kirkby Kendal, until the eighteenth century. (A.H. Smith, 'The Place-Names of Westmorland', (Cambridge, 1967), p. 115) Peter de Brus was succeeded by his daughter, Margaret. By 1292, she had married Robert de Ros. (QW, p. 788) Margaret died by 1307, by which time she had enfeoffed part of Kendal to William de Ros, her son and to Marmaduke de Thweng. (CIPM, iv, no. 427)"	Y	"Everitt, p. 468"		GC	Sat	1				1189		K Ric I				"R.H. Britnell, 'Boroughs, markets and trade in northern England, 1000-1216' in R.H. Britnell, R.H; Hatcher eds., Progress and Problems in Medieval England (Cambridge, 1996), p. 65"						"Britnell cites an antiquarian source which states that K Ric I granted a Sat market by charter in 1189. (R.H. Britnell, 'Boroughs, markets and trade in northern England, 1000-1216' in R.H. Britnell, R.H. Hatcher eds., Progress and Problems in Medieval England (Cambridge, 1996), p. 65) On 28 Aug 1309, K Edw II granted a Sat market to Marmaduke de Tweng and William de Ros of Kendale, to be held at the manor. (CChR, 1300-26, p. 130)"																																							Y	GC	vfm	Holy Trinity		3				1268	21-Sep	K Hen III		Peter de Brus		"CChR, 1257-1300, p. 112"						"To be held at the manor. (CChR, 1257-1300, p. 112) On 28 Aug 1309, K Edw II granted the fair to Marmaduke de Tweng and William de Ros, heirs of Peter de Brus. (CChR, 1300-26, p. 130)"	GC	vfm	Luke the Evangelist	18-Oct	3				1333	28-Jan	K Edw III		"Cristiana, late the wife of Ingelram de Gynes and her heirs"		"CChR, 1327-41, p. 298"						"To be held at the manor of Kyrkeby in Kendale, Westmorland."																						"Mon before Lady day in Lent, Trinity Sun (Harrison, pp. 393-4)"	
1	KIRKBY LONSDALE	WESTMORLAND	England	3611	4788	Y		"Beresford, unpublished list"		30		Y	"Everitt, p. 468"		GC	Thurs	1				1227	20-Sep	K Hen III		"John de Kereby, parson of the ch of Kirkby Londsdale"		"CChR, 1226-57, p. 60"						"Order to the sh of Westmorland to cause him to have the market, 20 Sept 1227. (RLC, ii, p. 201)"																																							Y	GC	vfm	Nativity of Mary	08-Sep	3				1227	20-Sep	K Hen III		"John de Kereby, parson of the ch of Kirkby Londsdale"		"CChR, 1226-57, p. 60"						"To be held on the land of the ch. (CChR, 1226-57, p. 60) Order to the sh of Westmorland to cause him to have the fair, 20 Sept 1227. (RLC, ii, p. 201)"																																												
5	KIRKBY STEPHEN	WESTMORLAND	England	3775	5088	Y		"Beresford, unpublished list"		50		Y	"Everitt, p. 468"		GC	Fri	1				1353	16-Oct	K Edw III		Roger de Clifford		"CChR, 1341-1417, p. 139"						To be held at the town. 																																							Y	GC	2+f	Mark the Evangelist	25-Apr	3				1353	16-Oct	K Edw III		Roger de Clifford		"CChR, 1341-1417, p. 139"						To be held at the town. 	GC	2+f	Luke the Evangelist	18-Oct	3				1353	16-Oct	K Edw III		Roger de Clifford		"CChR, 1341-1417, p. 139"						To be held at the town. 																							
6	MORLAND	WESTMORLAND	England	3598	5225					30					GC	Sat	1				1362	15-May	K Edw III		William de Wyndesore		"CChR, 1341-1417, p. 170"						To be held at the manor.																																							Y	GC	vfm	Peter's Chains	01-Aug	3				1362	15-May	K Edw III		William de Wyndesore		"CChR, 1341-1417, p. 170"						To be held at the manor.																																												
3	ORTON	WESTMORLAND	England	3622	5083					85		Y	"Everitt, p. 468"		GC	Wed	1				1278	14-Jan	K Edw I		Ranulph de Dacre and his heirs and Thomas de Musegrave and his heirs		"CChR, 1257-1300, p. 206"						To be held at the manor.																																							Y	GC	vfm	Simon and Jude	28-Oct	3				1278	14-Jan	K Edw I		Ranulph de Dacre and his heirs and Thomas de Musegrave and his heirs		"CChR, 1257-1300, p. 206"						To be held at the manor.																																												
