Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
71	ALDBOURNE	WILTSHIRE	England	4263	1759					155		Y	"Everitt, p. 471"	"VCH Wiltshire, xii, p. 81"	P	Thurs	1	1311									"VCH Wiltshire, xii, p. 81"						"Market was worth £1 6s. 8d. in 1311. Market recorded in the late fourteenth century and in the mid sixteenth century, when it was held on Tues. It lapsed in 1571."																																																																																																								
1	AMESBURY	WILTSHIRE	England	4153	1415	Y	1314	"BF, p. 176"		145	"Royal estate centre from at least as early as the ninth century, with an important abbey from the tenth. (J. Haslam ed., 'Anglo-Saxon Towns in Southern England', (Chichester, 1984), pp. 129-32)"	Y	"Everitt, p. 471"	"VCH Wiltshire, xv, p. 46"	GL	Thurs	1		mercatum		1219	18-Jun	K Hen III		W[illiam] [Longspee] earl of Salisbury		"RLC, i, p. 392b"						"To be held at the manor. (RLC, i, p. 392b) On 20 Dec 1252, K Hen III granted a Thurs market to William Lungspee, grandson of the grantee. (CChR, 1226-57, p. 413)"	GC	Sat	1				1317	11-Apr	K Edw II		Ps and N of Amesbury		"CChR, 1300-26, p. 333"						"To be held at the manor. (CChR, 1300-26, p. 333) From at least 1635 the market was held on Fri. It fell into disuse in the early nineteenth century. (VCH Wiltshire, xv, p. 46)"																				Y	GC	vfm	Melor	01-Oct	3				1252	20-Dec	K Hen III		William Lungspee		"CChR, 1226-57, p. 413"						"To be held at the manor. (CChR, 1226-57, p. 413) Amesbury abbey was the centre for the cult of St Melor. (VCH Wiltshire, iii, p. 242)"	GC	1+vf	Melor the martyr	01-Oct	3				1317	11-Apr	K Edw II		Ps and N of Amesbury		"CChR, 1300-26, p. 333"						"To be held at the manor. (CChR, 1300-26, p. 333) VCH states that this grant may indicate that the 1252 grant was ineffectual, or that the fair was to be transferred to the priory precinct, where it was later held. Although St Melor's day was 1 Oct, there was another feast associated with the saint around 6 May, which was also the feast of John before the Latin Gate. At the Dissolution, the priory was holding a fair on St John's day within its precinct. This fair continued into the eighteenth century. After the calendar change it was held on 17 May; it fell into disuse in the nineteenth century. (VCH Wiltshire, xv, p. 46)"																							
72	BERWICK ST LEONARD	WILTSHIRE	England	3923	1332					25				"VCH Wiltshire, xiii, p. 103"																																																										Y	P		Leonard	06-Nov			1276								"R.B. Pugh, ed., 'Wiltshire Gaol Delivery and Trailbaston Trials, 1275-1306', Wiltshire Record Society, xxxiii, (Devizes, 1978), no. 45"						"Fair, the feast of which was not given, recorded in the late thirteenth century. In the late sixteenth century, a fair was held on f Leonard. Fair recorded in the early seventeenth century. It was last recorded in 1848 and had fallen into disuse by 1867. (VCH Wiltshire, xiii, p. 103)"																																												
2	BRADENSTOKE	WILTSHIRE	England	4001	1793									"VCH Wiltshire, iii, p. 278, ix, p. 99"	GC	Fri	1				1361	13-Feb	K Edw III		P and C of Bradenstoke		"CChR, 1341-1417, p. 169"						"To be held at the town. (CChR, 1341-1417, p. 169) There is no further evidence for the market. (VCH Wiltshire, ix, p. 99)"																																							Y	GC	vfm+2	Nativity of Mary	08-Sep	5				1232	21-Jun	K Hen III		"Simeon, P of Bradenstoke"		"CChR, 1226-57, p. 159"						"Mandate to sh of Wiltshire to proclaim the fair and cause it to be held, 26 Jun 1232. (CR, 1231-4, p. 80)"	GC	vf+2	George	23-Apr	4				1361	13-Feb	K Edw III		P and C of Bradenstoke		"CChR, 1341-1417, p. 169"						To be held at the town.																							
47	BRADFORD UPON AVON	WILTSHIRE	England	3824	1609	Y	1086	"BF, p. 177; Darby, p. 368"		72.5	"Site of a monastery in 705. (VCH Wiltshire, vii, p. 13)"	Y	"Everitt, p. 471"	"VCH Wiltshire, vii, pp. 46-7 "	PB		1	1086	mercatum								"Darby, p. 370"						"Market rendered 45s.; it was appertenant to the manor of the As of Shaftesbury. (Darby, p. 370) Day of market was Mon in 1792. Market descended with the manor until 1882. It was held in 1903, but had fallen into disuse in 1911. (VCH Wiltshire, vii, p. 46)"																																							Y	P	vf	Holy Trinity		2		1280-1	As of Shaftesbury							"VCH Wiltshire, vii, p. 46"						"In 1792, the fair was held on Mon after the Trinity. Fair fell into disuse before 1907."																																												
32	BRIDMORE	WILTSHIRE	England	3960	1220						"In the 1334 Lay Subsidy, Bridmore and Berwick St John were assessed together at £52.50. (Glasscock, p. 343)"				GC	Mon	1				1303	21-Sep	K Edw I		John Huse		"CChR, 1300-26, p. 37"						To be held at the manor.																																																																																																								
58	BRITFORD	WILTSHIRE	England	4163	1284					95					GO	Wed	1		mercatum		1220		K Hen III		Gilbert de Lascy		"PR, 4 Hen III, p. 182; C 60/12 m.9"						Nova Oblata: he owed 100s. for the market and the fair (see below). To be held at the manor.																																							Y	GO	vfm	Peter ad Vincula	01-Aug	3	feria			1220		K Hen III		Gilbert de Lascy		"PR, 4 Hen III, p. 182; C 60/12 m.9"						Nova Oblata: he owed 100s. for the fair and the market (see above). To be held at the manor.																																												
31	CALNE	WILTSHIRE	England	3998	1710	Y	1086	"BF, p. 177; Darby, p. 368"		55	"A royal estate and residence by the tenth century. (J. Haslam, 'Anglo-Saxon Towns in Southern England', (Chichester, 1984), p. 103)"	Y	"Everitt, p. 471"		GC	Sat	1				1303	08-Mar	K Edw I		"Lewis de Bello Monte, prebendary of the prebend of Calne in the ch of St Mary, New Salisbury"		"CChR, 1300-26, p. 34"						To be held at the manor.																																							Y	GC	vfm	Mary Magdalen	22-Jul	3				1303	08-Mar	K Edw I		"Lewis de Bello Monte, prebendary of the prebend of Calne in the ch of St Mary, New Salisbury"		"CChR, 1300-26, p. 34"						To be held at the manor.																																												
35	CASTLE COOMBE	WILTSHIRE	England	3842	1772					45		Y	"Everitt, p. 471"		GC	Mon	1				1315	12-Aug	K Edw II		Bartholomew de Baddlesmere		"CChR, 1300-26, p. 283"						To be held at the manor.																																							Y	GC	vfm	George the Martyr	23-Apr	3				1315	12-Aug	K Edw II		Bartholomew de Baddlesmere		"CChR, 1300-26, p. 283"						To be held at the manor.																																												
22	CHIPPENHAM	WILTSHIRE	England	3919	1739	Y	1154x89	"BF, p. 177"			"Royal estate and residence from the ninth century. (J. Haslam, 'Anglo-Saxon Towns in Southern England', (Chichester, 1984), p. 132) In the 1334 Lay Subsidy, Chippenham and Rowden were valued together at £173.33. (Glasscock, p. 333)"	Y	"Everitt, p. 471"		GC	Wed	1		mercatum		1205	11-Apr	K John		Roger de Toroldvill		"RCh, p. 147"							GC	Sat	1				1314	19-Jul	K Edw II		Edmund Gacelyn		"CChR, 1300-26, p. 239"						"To be held at the manor. (CChR, 1300-26, p. 239) Market granted by K Edw II to Edmund Gascelyn and Eleanor his wife and his heirs on 9 Jun 1320. (CChR, 1300-26, p. 427)"	GC	Wed	1				1320	09-Jun	K Edw II		Edmund Gascelyn and Eleanor his wife and his heirs		"CChR, 1300-26, p. 427"							Y	GC	vf	Luke the Evangelist	18-Oct	2	feria			1205	11-Apr	K John		Roger de Toroldvill		"RCh, p. 147"							GC	vfm	Barnabas	11-Jun	3				1267	10-Sep	K Hen III		Geoffrey Gacelin		"CChR, 1257-1300, p. 80"						"To be held at the manor. (CChR, 1257-1300, p. 80) Granted by K Edw II to Edmund Gascelyn, grandson of the grantee, and Eleanor his wife and his heirs on 9 Jun 1320. (CChR, 1300-26, p. 427) "	GC	vf	John before the Latin Gate	06-May	2				1310	28-Oct	K Edw II		Edmund Gacelyn		"CChR, 1300-26, p. 166"						"To be held at the manor. (CChR, 1300-26, p. 166) On 3 Apr 1313, K Edw II granted Edmund Gacelyn a fair on vfm John before the Latin Gate. (CChR, 1300-26, p. 213) On 9 Jun 1320, K Edw II granted Edmund Gascelyn and Eleanor his wife and his heirs a fair on vfm John before the Latin Gate. (CChR, 1300-26, p. 427) "		"Fair 4: GC vfm Andrew (30 Nov); gr 9 Jun 1320, by K Edw II to Edmund Gascelyn and Eleanor his wife and his heirs. (CChR, 1300-26, p. 427)\r\nFair 5: GC vfm Luke (18 Oct); gr 9 Jun 1320, by K Edw II to Edmund Gascelyn and Eleanor his wife and his heirs.  (CChR, 1300-26, p. 427)\r\nOn 9 Jan 1376, Elizabeth Gasselyn, lady of Chippenham, complained that the collection of customs had caused the annulment of her fair and market, enjoyed from old time. (CCR, 1374-77, p. 185) It is not clear which one of these markets or fairs this relates to."
