Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
1	ALVECHURCH	WORCESTERSHIRE	England	4026	2723	Y	c.1290	"BF, supplement, p. 64"		65.19				"VCH Worcestershire, iii, p. 253"	GO	Wed	1		mercatum		1224	20-Oct	K Hen III		bp of Worcester		C 60/20 m.1						To be held until the king came of age.	GC	Wed	1				1239	23-Dec	K Hen III		"Walter, bp of Worcester"		"CChR, 1226-57, p. 248"							GC	Sat	1				1270	07-May	K Hen III		"Godfrey, bp of Worcester"		"CChR, 1257-1300, p. 139"						"To be held at the manor. (CChR, 1257-1300, p. 139) VCH states that this grant was intended to change the day of the market from Wed to Sat. Market fell into disuse, probably before the mid seventeenth century. (VCH Worcestershire, iii, p. 253)"	Y	GC	vfm	Lawrence	10-Aug	3				1239	23-Dec	K Hen III		"Walter, bp of Worcester"		"CChR, 1226-57, p. 248"						"On 7 May 1270, K Hen III granted the fair to Godfrey, bp of Worcester, to be held at the manor. (CChR, 1257- 1300, p. 139) Fair recorded at the end of the eighteenth century, but had fallen into disuse by 1850. (VCH Worcestershire, iii, p. 253)"																																												
2	BEWDLEY	WORCESTERSHIRE	England	3785	2754	Y	1367	"BF, p. 182"			"Phillippa, widow of Edmund Mortimer, held Bewdley until her death in 1382. The manor remained in the Mortimer family until 1433, when it passed to Richard, duke of York. (VCH Worcestershire, iv, p. 309)"	Y	"Everitt, p. 472"	"VCH Worcestershire, iv, pp. 301-3"	GC	Wed	1				1375	02-Jun	K Edw III		"Philippa de Mortuo Mari, countess of March for her life and then to Edmund, the king's son [sic] and his heirs"		"CChR, 1341-1417, p. 229"						"To be held at the town, which Philippa held in dower of the inheritance of the king's son [sic] Edmund, earl of March. (CChR, 1341-1417, p. 229) Granted by K Hen VI to Richard, duke of York on 9 Dec 1446. (CChR, 1427- 1516, p. 72) Market appears to have been held in 1612, but had fallen into disuse by 1792. (VCH Worcestershire, iv, p. 303)"	GP	Sat	1				1507	02-Jun	K Hen VII		bailiffs and burgesses of the town of Beaudeley [Bewdley]		"CPR, 1494-1509, p. 525"						"Market continued into the twentieth century. (VCH Worcestershire, iv, p. 303)"																				Y	GC	vfm	Trans of Thomas the Martyr	07-Jul	3				1375	02-Jun	K Edw III		"Philippa de Mortuo Mari, countess of March for her life and then to Edmund, the king's son [sic] and his heirs"		"CChR, 1341-1417, p. 229"						"To be held at the town, which Philippa held in dower of the inheritance of the king's son [sic] Edmund, earl of March. (CChR, 1341-1417, p. 229) There is no further evidence for the fair. (VCH Worcestershire, iv, p. 302)"	GC	vfm	Leonard the A	06-Nov	3				1375	02-Jun	K Edw III		"Philippa de Mortuo Mari, countess of March for her life and then to Edmund, the king's son [sic] and his heirs"		"CChR, 1341-1417, p. 229"						"To be held at the town, which Philippa held in dower of the inheritance of the king's son [sic] Edmund, earl of March. (CChR, 1341-1417, p. 229) There is no further evidence for the fair. (VCH Worcestershire, iv, p. 302)"	GC	f	Agatha the virgin	05-Feb	1				1446	09-Dec	K Hen VI		"Richard, duke of York"		"CChR, 1427-1516, p. 72"						"To be held at the town. (CChR, 1427-1516, p. 72) Fair may have continued until 1612, but had been discontinued by 1792. (VCH Worcestershire, iv, p. 303)"	"30 Nov (Harrison, p. 397)"	"Fair 4: GP f George the martyr (23 Apr) gr 2 Jun 1507 by K Hen VII to bailiffs and burgesses of the town of Beaudeley [Bewdley]. (CPR, 1494-1509, p. 525) Fair continued into the twentieth century. (VCH Worcestershire, iv, p. 303)\r\nFair 5: GP f Andrew the apostle (30 Nov) gr 2 Jun 1507 by K Hen VII to bailiffs and burgesses of the town of Beaudeley [Bewdley]. (CPR, 1494-1509, p. 525) Fair recorded in 1612 and 1792. (VCH Worcestershire, iv, p. 303)\r\nFair 6: GP f Anne (26 Jul) gr 2 Jun 1507 by K Hen VII to bailiffs and burgesses of the town of Beaudeley [Bewdley]. (CPR, 1494-1509, p. 525) Fair recorded in 1612 and 1792, but had fallen into disuse by 1810. (VCH Worcestershire, iv, p. 303)"
4	BROADWAY	WORCESTERSHIRE	England	4095	2373	Y	1388	"BF, p. 182"		64.5				"VCH Worcestershire, iv, pp. 37-8"	GO	Wed	1		forum		1196		K Ric I		A of Pershore		"Chancellor's Roll, 8 Ric I, p. 15"							GC	Tues	1				1251	08-Aug	K Hen III		"brother Elerius, A of Persor and the C"		"CChR, 1226-57, p. 365"						"VCH states that the market fell into disuse before the seventeenth century. (VCH Worcestershire, iv, p. 38)"																				Y	GC	vfm	John the Baptist	24-Jun	3				1251	08-Aug	K Hen III		"brother Elerius, A of Persor and the C"		"CChR, 1226-57, p. 365"						"Feast given as John the Baptist in 'Calendar of Charter Rolls'; VCH states that it was held on the Nativity of John the Baptist. (VCH Worcestershire, iv, pp. 37-8)"																																												
5	BROMSGROVE	WORCESTERSHIRE	England	3960	2705	Y	1295	"BF, supplement, p. 64"		101.25		Y	"Everitt, p. 472"	"VCH Worcestershire, iii, p. 21"	GC	Wed	1		mercatum		1200	27-Apr	K John		Hugh Bard' [Bardolf]		RCh p. 55							GL	Tues	1		mercatum		1250	30-Jan	K Hen III				"CR, 1247-51, p. 260"						To be held at the manor. Mandate to the sh of Worcester to proclaim the market and cause it to be held.	GC	Tues	1				1317	30-Sep	K Edw II		"John de Mortuo Mari, king's yeoman"		"CChR, 1300-26, pp. 366-7"						To be held at the manor. 	Y	GC	vfm	Decollation of John the Baptist	29-Aug	3				1317	30-Sep	K Edw II		"John de Mortuo Mari, king's yeoman"		"CChR, 1300-26, pp. 366-7"						"To be held at the manor. (CChR, 1300-26, pp. 366-7) VCH provides no further evidence for this fair. (VCH Worcestershire, iii, p. 21)"																																												"Market 4: PB Thurs; recorded 1468. (VCH Worcestershire, iii, p. 21)\r\nIn 1232, a day was given to the men of Bromsgrove and the men of Thomas of Warwick and William de Cantilup' to hear judgement on their plea of toll and the raising of a market. A judgement was not given in this legal case, as it was being discussed with the king. (CRR, xiv, no. 2153) The location of the market was not specified."
6	CLENT	WORCESTERSHIRE	England	3919	2797					25.38	"In Worcestershire in 1086, but transferred to Staffordshire soon after. Transferred back to Worcestershire in 1844. (Guide, ii, p. 475)"			"VCH Worcestershire, iii, p. 51"																																																										Y	GC	vf+2	Kenelm	17-Jul	4	feria			1253	03-Nov	K Hen III		Roger de Somery		"Roles Gascons, 1242-54, no. 2192; CPR, 1247-58, p. 253"						"To be held at the manor. (Roles Gascons, 1242-54, no. 2192; CPR, 1247-58, p. 253) Fair continued until the nineteenth century. (VCH Worcestershire, iii, p. 51)"																																												
7	CLIFTON ON TEME	WORCESTERSHIRE	England	3715	2616	Y	11 May 1270	"CChR, 1257-1300, p. 140"		22				"VCH Worcestershire, iv, p. 31"	GC	Thurs	1				1270	11-May	K Hen III		Roger son of Roger de Mortuo Mari		"CChR, 1257-1300, p. 140"						"There is no further evidence for the market. (VCH Worcestershire, iv, p. 248)"																																							Y	GC	vf+2	Margaret	20-Jul	4				1270	11-May	K Hen III		Roger son of Roger de Mortuo Mari		"CChR, 1257-1300, p. 140"						"There is no further evidence for the fair. (VCH Worcestershire, iv, p. 248)"																																												
8	DROITWICH	WORCESTERSHIRE	England	3900	2633	Y	1086	"BF, p. 182"	1042-66	106.67	"Roman 'Salinae'; center of commercial salt production from the eighth century. Borough in Domesday Book. (Darby, p. 368)"	Y	"Everitt, p. 472"	"VCH Worcestershire, iii, p. 78"	PB PM																		"No further information for the medieval market. VCH provides no information for the market, except that a charter of K James I changed the day from Mon to Fri. (VCH Worcestershire, iii, p. 79)"																																							Y	GC	f+7	Trans of Andrew and Nicholas	09-May	8	feria			1215	01-Aug	K John		burgesses of Wich		"RCh, p. 216b"						"To be held in the town. (RCh, p. 216b) Mandate to the sh of Worcester to let the burgesses have the fair, 2 Aug 1215. (RLC, i, p. 224) On 19 Dec 1330, the burgesses were granted two fairs in lieu, one on the vfm Trans of Thomas the Martyr (7 Jul). (CChR, 1327-41, p. 195)"	GC	vf+3	Simon and Jude	28-Oct	5				1330	19-Dec	K Edw III		burgesses of Droitwich		"CChR, 1327-41, p. 195"						"One of two fairs granted in lieu of the fair on Trans Andrew and Nicholas. (CChR, 1327-41, p. 195) A fair on v+2 Simon and Jude was granted by Qu Mary. (VCH Worcestershire, iii, pp. 78-9)"																							
10	EARL'S CROOME	WORCESTERSHIRE	England	3871	2420									"VCH Worcestershire, iii, p. 318"																																																										Y	P		Lawrence	10-Aug			fifteenth century								"VCH Worcestershire, iii, p. 318"						Held at 'Herdwell' in Earl's Croome. VCH does not provide any further evidence for the fair.																																												
11	ELMLEY CASTLE	WORCESTERSHIRE	England	3982	2410					47				"VCH Worcestershire, iii, p. 341"	GC	Wed	1		mercatum		1254	18-Feb	K Hen III		William de Beauchamp of Elmley		"Roles Gascons, 1242-54, no. 2393; CPR, 1247-54, p. 272"						"To be held at the manor. (Roles Gascons, 1242-54, no. 2393; CPR, 1247-54, p. 272) Market recorded in 1274-5, but thereafter there is no further evidence for it. (VCH Worcestershire, iii, p. 341)"																																							Y	GC	vfm	Leonard in the summer	not known	3	feria			1254	18-Feb	K Hen III		William de Beauchamp of Elmley		"Roles Gascons, 1242-54, no. 2393; CPR, 1247-54, p. 272"						"To be held at the manor. (Roles Gascons, 1242-54, no. 2393; CPR, 1247-54, p. 272) There is no further evidence for the fair. (VCH Worcestershire, iii, p. 341)"																																												
12	EVESHAM	WORCESTERSHIRE	England	4037	2437	Y	late twelfth century	"BF, p. 183; BF, supplement, p. 64"		124.13	"On 2 Oct 1546, it was stated that after the Dissolution Sir Philip Hoby had been granted the three fairs held by Evesham abbey. (Letters and Papers Foreign and Domestic Henry VIII, 21 pt 2, no. 332 (8))"	Y	"Everitt, p. 472"	"VCH Worcestershire, ii, pp. 371-81"	PB		1	1214	forum	Evesham abbey							"W.D. Macray ed., 'Chronicon Abbatiµ de Evesham', (London, 1863), p. 75"						"A spurious writ of K Wil I, confected in the twelfth or thirteenth century, confirms K Edw the Confessor's supposed grant to Evesham abbey for the 'port et mercatio' at Evesham, a grant attributed to 1055 by the thirteenth century abbey chronicle. (Regesta 1066-87, no. 133; W.D. Macray ed., 'Chronicon Abbatiµ de Evesham', (London, 1863), p. 216) On 2 Oct 1546, the weekly market formerly held by Evesham abbey was granted to Sir Philip Hoby. (Letters and Papers Foreign and Domestic Henry VIII, 21 pt 2, no. 332 (8)) The market may have been held on Mon. (VCH Worcestershire, ii, pp. 380-1)"																																																																																																							"Mon after Easter(?) (Harrison, p. 393)"	
