Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
1	ABERFORD	YORKSHIRE	England	4432	4372					9.75					GC	Wed	1				1251	07-Mar	K Hen III		Richard de Grammayr		"CChR, 1226-57, p. 354"						"To be held at the manor. (CChR, 1226-57, p. 354) On 22 Feb 1307, the Wed market was granted to Hugh Despenser, to be held at the manor. (CChR, 1300-26, p. 81) On 18 Sept 1335, the Wed market was granted to William de Gramary, to be held at the manor. (CChR, 1327-41, p. 345)"																																							Y	GC	vfm	Richerius [Riquier]	09-Oct	3				1251	07-Mar	K Hen III		Richard de Grammayr		"CChR, 1226-57, p. 354"						"To be held at the manor. (CChR, 1226-57, p. 354) On 22 Feb 1307, a fair on vfm Denis (9 Oct) was granted to Hugh Despenser, to be held at the manor. (CChR, 1300-26, p. 81) On 18 Sept 1335, a fair on vfm Ricarius in the winter (9 Oct) was granted to William de Gramary, to be held at the manor. (CChR, 1327-41, p. 345)"																																												Presumably the manor was forfeited by and subsequently returned to the Gramary family
43	ADLINGFLEET	YORKSHIRE	England	4843	4210					45					GO	Mon	1		mercatum		1220	30-May	K Hen III		John Daivill		C 60/12 m.5						"1221, Nova Oblata: John Daivill owed one palfrey. (PR, 5 Hen III, p. 135)"	GC	Fri	1				1260	02-Aug	K Hen III		John de Eyvill		"CChR, 1257-1300, p. 27"						To be held at the manor.																				Y	GC	vf+6	Exaltation of Holy Cross	14-Sep	8				1260	02-Aug	K Hen III		John de Eyvill		"CChR, 1257-1300, p. 27"						To be held at the manor.																																												
155	ALDBOROUGH	YORKSHIRE	England	4406	4664					16.67		Y	"Everitt, p. 469"		GC	Tues	1				1332	10-Dec	K Edw III		James de Ros		"CChR, 1327-41, p. 288"						To be held at the manor.																																							Y	GC	vf	Bartholomew	24-Aug	2				1332	10-Dec	K Edw III		James de Ros		"CChR, 1327-41, p. 288"						To be held at the manor.																																												
106	ALDBROUGH	YORKSHIRE	England	4202	5113					22.5				"VCH Yorkshire (North Riding), i, p. 130"	GC	Tues	1				1281	28-Oct	K Edw I		"John de Brittania, earl of Richmond"		"CChR, 1257-1300, p. 256"						"To be held at the manor. (CChR, 1257-1300, p. 256) There is no further information for the market. (VCH Yorkshire (North Riding), i, p. 130)"																																							Y	GC	vfm	Michael	29-Sep	3				1281	28-Oct	K Edw I		"John de Brittania, earl of Richmond"		"CChR, 1257-1300, p. 256"						"To be held at the manor. (CChR, 1257-1300, p. 256) There is no further information for the fair. (VCH Yorkshire (North Riding), i, p. 130)"																																												
66	ALMONDBURY	YORKSHIRE	England	4168	4151	Y	1322	"West Riding Boroughs, p. 95"		12					GC	Mon	1				1294	06-Jun	K Edw I		"Henry de Lacy, earl of Lincoln"		"CChR, 1257-1300, p. 436"						To be held at the manor.																																							Y	GC	vfm	Ascension		3				1294	06-Jun	K Edw I		"Henry de Lacy, earl of Lincoln"		"CChR, 1257-1300, p. 436"						To be held at the manor.																																												
96	APPLETREEWICK	YORKSHIRE	England	4054	4601					17.25																																																														Y	GC	2+fm	Luke	18-Oct	4				1310	09-Sep	K Edw II		P and C of Bolton in Cravene		"CChR, 1300-26, p. 166"						"To be held at the manor. (CChR, 1300-26, p. 166) On 23 Feb 1328, K Edw III granted the P and C of Bolton in Craven the fair, which had hitherto not been used. (CChR, 1327-41, p. 69)"																																												
4	BARNSLEY	YORKSHIRE	England	4345	4064					23.25		Y	"Everitt, p. 469"		GC	Wed	1				1249	06-Feb	K Hen III		P and C of Pontefract		"CChR, 1226-57, p. 339"						"To be held in the town. (CChR, 1226-57, p. 339) In 1281, the P of Pontefract claimed a market at 'Wermesley'. (QW, p. 434)"																																							Y	GC	vf+2	Michael	29-Sep	4				1249	06-Feb	K Hen III		P and C of Pontefract		"CChR, 1226-57, p. 339"						"To be held at the town. (CChR, 1226-57, p. 339) In 1281, the P of Pontefract claimed a fair at 'Wermesley'. (QW, p. 434)"	GC	f+2	Conversion of Paul	25-Jan	3				1514	03-Jul	K Hen VIII		"Richard, P of the monastery of St John the Apostle and Evangelist of Pontefract and the C"		"CChR, 1427-1516, p. 281"						To be held in the town.																						"14 Sept (Harrison, p. 395)"	
5	BARTON LE STREET	YORKSHIRE	England	4721	4742					7.5				"VCH Yorkshire (North Riding), i, p. 473"	GC	Wed	1				1246	17-Jan	K Hen III		Richard de Gray		"CChR, 1226-57, p. 290"						"To be held at the manor. Mandate in pursuance to the sh of Yorkshire. (CChR, 1226-57, p. 290) There is no further evidence for the market. (VCH Yorkshire (North Riding), i, p. 473 n. 36)"																																							Y	GC	vfm	Lawrence	10-Aug	3				1246	17-Jan	K Hen III		Richard de Gray		"CChR, 1226-57, p. 290"						"To be held at the manor. Mandate in pursuance to the sh of Yorkshire. (CChR, 1226-57, p. 290) There is no further evidence for the fair. (VCH Yorkshire (North Riding), i, p. 473 n. 36)"																																												
62	BAWTRY	YORKSHIRE	England	4653	3930	Y	1213x15	"West Riding Boroughs, p. 95"		45	"Roman fort. Borough created by Robert de Vipont; charter confirmed by his widow in 1223x38. (West Riding Boroughs, p. 95; BF, p. 189)"	Y	"Everitt, p. 469"		GO	Wed	1	gr 1199x1216			9		K John		Robert de Veteri Ponte		"CChR, 1257-1300, p. 433"						"In 1293, Idonia de Lexburne was holding a Wed market. She successfully claimed that her father, Robert de Veteri Ponti, was holding the market when he died. (QW, p. 214) On 5 Dec 1293, K Edw I granted to Idonia de Leyburne, one of the heirs of Robert de Veteri Ponti, the tenant of the manor, that the market would in future be held on Fri. (CChR, 1257-1300, p. 433)"																																							Y	GO	four days in Pentecost week	Pentecost		4	feria			1213		K John		Robert de Veteri Ponte		"Rot de Obl et Fin, p. 495"						"In 1293, Idonia de Lexburne was holding a fair on Thurs in Pentecost week. She successfully claimed that her father, Robert de Veteri Ponti, was holding the fair when he died. (QW, p. 214) "																																												
6	BEDALE	YORKSHIRE	England	4266	4884					20		Y	"Everitt, p. 469"	"VCH Yorkshire (North Riding), i, p. 295"	GC	Tues	1				1251	27-May	K Hen III		Alan son of Brian		"CChR, 1226-57, p. 361"						To be held at the manor.																																							Y	GC	vfm	Ascension		3				1251	27-May	K Hen III		Alan son of Brian		"CChR, 1226-57, p. 361"						"To be held at the manor. (CChR, 1226-57, p. 361) On 7 Aug 1328, K Edw III granted Thomas de Shelfeld and Agnes his wife, who held one half of the manor and John de Grey, who held the other half, two fairs in lieu of the Ascension fair, one on vfm Michael (29 Sept). (CChR, 1327-41, p. 89)"	GC	vfm	John the Baptist	24-Jun	3				1328	07-Aug	K Edw III		Thomas de Shelfeld and Agnes his wife and John de Grey		"CChR, 1327-41, p. 89"						Thomas de Shelfeld and Agnes his wife held one half of the manor; John de Grey held the other half. This was one of two fairs granted in lieu of the Ascension fair.																						"24 Jun (Harrison, p. 394)"	"On 16 Jul 1440, it was alleged that markets and fairs set up at several places in Yorkshire, including Bedale, were detrimental to the burgesses at Richmond, Yorkshire (q.v.). (CPR, 1436-41, p. 452)"
