"FlagID","PersonID","Flags"
5001,54845,"illegitimate"
5002,54849,"illegitimate"
5003,54853,"illegitimate"
5004,54865,"illegitimate"
5005,54868,"twin"
5006,54894,"illegitimate"
5007,54901,"illegitimate"
5008,54929,"twin"
5009,54940,"twin"
5010,55025,"twin"
5011,55026,"twin"
5012,55041,"twin"
5013,55042,"illegitimate"
5014,55190,"illegitimate"
5015,55193,"twin"
5016,55196,"twin"
5017,55197,"twin"
5018,55222,"twin"
5019,55265,"illegitimate"
5020,55288,"twin"
5021,55289,"twin"
5022,55313,"illegitimate"
5023,55348,"twin"
5024,55349,"twin"
5025,55352,"illegitimate"
5026,55370,"illegitimate"
5027,55389,"illegitimate"
5028,55460,"posthumous twins"
5029,55461,"posthumous twins"
5030,55479,"twin"
5031,55480,"twin"
5032,55528,"stillborn"
5033,55556,"illegitimate"
5034,55612,"posthumous"
5035,55639,"FOUNDLING"
5036,55645,"twin"
5037,55649,"illegitimate"
5038,55664,"twin"
5039,55685,"illegitimate"
5040,55720,"twin"
5041,55721,"twin"
5042,55725,"posthumous"
5043,55727,"illegitimate"
5044,55733,"twin"
5045,55744,"twin"
5046,55752,"twin"
5047,55763,"illegitimate"
5048,55770,"twin"
5049,55887,"illegitimate"
5050,55890,"illegitimate twins"
5051,55898,"illegitimate twins"
5052,55965,"twin"
5053,55966,"twin"
5054,55975,"illegitimate"
5055,56007,"illegitimate"
5056,56031,"twin"
5057,56032,"twin"
5058,56044,"illegitimate"
5059,56056,"illegitimate"
5060,56130,"twin"
5061,56131,"twin"
5062,56133,"illegitimate"
5063,56143,"illegitimate"
5064,56218,"illegitimate twins"
5065,56219,"illegitimate twins"
5066,56231,"illegitimate"
5067,56252,"twin"
5068,56253,"twin"
5069,56260,"twin"
5070,56277,"illegitimate"
5071,56279,"twin"
5072,56294,"twin"
5073,56305,"twin"
5074,56326,"twin"
5075,56328,"illegitimate stillborn"
5076,56342,"stillborn"
5077,56349,"twin"
5078,56369,"twin"
5079,56382,"illegitimate"
5080,56388,"twin"
5081,56476,"illegitimate"
5082,56518,"illegitimate"
5083,56536,"twin"
5084,56537,"twin"
5085,56542,"twin"
5086,56550,"twin"
5087,56572,"posthumous"
5088,56633,"twin"
5089,56634,"twin"
5090,56641,"twin"
5091,56642,"twin"
5092,56643,"posthumous"
5093,56696,"posthumous"
5094,56737,"twin"
5095,56738,"twin"
5096,56826,"twin"
5097,56827,"twin"
5098,56867,"FOUNDLING"
5099,56910,"twin"
5100,56911,"twin"
5101,56919,"twin"
5102,56920,"twin"
5103,56961,"twin"
5104,56965,"twin"
5105,56966,"twin"
5106,56984,"posthumous"
5107,57031,"posthumous twins"
5108,57072,"twin"
5109,57073,"twin"
5110,57105,"twin"
5111,57135,"illegitimate"
5112,57234,"posthumous"
5113,57241,"twin"
5114,57252,"twin"
5115,57277,"twin"
5116,57278,"twin"
5117,57279,"illegitimate"
5118,57291,"posthumous"
5119,57361,"twin"
5120,57368,"illegitimate"
5121,57383,"posthumous"
5122,57388,"twin"
5123,57415,"illegitimate"
5124,57431,"twin"
5125,57432,"twin"
5126,57433,"illegitimate"
5127,57436,"posthumous"
5128,57499,"illegitimate"
5129,57554,"twin"
5130,57563,"twin"
5131,57637,"twin"
5132,57639,"twin"
5133,57640,"twin"
5134,57645,"twin"
5135,57691,"twin"
5136,57692,"posthumous twins"
5137,57700,"twin"
5138,57799,"twin"
5139,57826,"twin"
5140,57830,"illegitimate"
5141,57865,"twin"
5142,57890,"twin"
5143,57895,"FOUNDLING"
5144,57912,"FOUNDLING"
5145,57936,"twin"
5146,57938,"twin"
5147,57951,"twin"
5148,57952,"twin"
5149,58012,"FOUNDLING"
5150,58057,"FOUNDLING"
5151,58069,"twin"
5152,58070,"twin"
5153,58085,"FOUNDLING"
5154,58213,"twin"
5155,58214,"twin"
5156,58276,"twin"
5157,58349,"twin"
5158,58367,"twin"
5159,58375,"twin"
5160,58379,"twin"
5161,58380,"twin"
5162,58419,"twin"
5163,58609,"twin"
5164,58610,"twin"
5165,58649,"twin"
5166,58658,"twin"
5167,58678,"twin"
5168,58718,"FOUNDLING"
5169,58787,"twin"
5170,58857,"twin"
5171,58886,"posthumous"
5172,58904,"illegitimate"
5173,58913,"illegitimate"
5174,58952,"illegitimate"
5175,58963,"illegitimate"
5176,58986,"illegitimate"
5177,59008,"twin"
5178,59009,"twin"
5179,59013,"twin"
5180,59015,"twin"
5181,59018,"twin"
5182,59019,"twin"
5183,59039,"illegitimate"
5184,59147,"twin"
5185,59148,"twin"
5186,59308,"illegitimate"
5187,59340,"twin"
5188,59351,"twin"
5189,59361,"twin"
5190,59380,"twin"
5191,59400,"FOUNDLING"
5192,59402,"posthumous"
5193,59440,"twin"
5194,59441,"twin"
5195,59445,"twin"
5196,59446,"twin"
5197,59486,"twin"
5198,59491,"twin"
5199,59492,"twin"
5200,59497,"twin"
5201,59509,"twin"
5202,59510,"twin"
5203,59533,"illegitimate"
5204,59648,"twin"
5205,59649,"twin"
5206,59692,"illegitimate"
5207,59720,"illegitimate"
5208,59860,"twin"
5209,59861,"twin"
5210,60005,"twin"
5211,60006,"twin"
5212,60012,"twin"
5213,60013,"twin"
5214,60031,"FOUNDLING"
5215,60051,"illegitimate"
5216,60066,"twin"
5217,60070,"illegitimate"
5218,60099,"FOUNDLING"
5219,60112,"FOUNDLING"
5220,60164,"twin"
5221,60173,"twin"
5222,60193,"twin"
5223,60197,"twin"
5224,60198,"twin"
5225,60201,"twin"
5226,60212,"twin"
5227,60242,"twin"
5228,60243,"twin"
5229,60258,"illegitimate"
5230,60291,"illegitimate"
5231,60364,"illegitimate"
5232,60430,"illegitimate"
5233,60433,"twin"
5234,60434,"twin"
5235,60455,"illegitimate"
5236,60495,"illegitimate"
5237,60503,"triplet"
5238,60511,"triplet"
5239,60520,"triplet"
5240,60588,"twin"
5241,60589,"twin"
5242,60595,"illegitimate"
5243,60648,"posthumous"
