"FlagID","RPersonID","Flags"
200001,240321,"widowed"
200002,240322,"widowed"
200003,240323,"widowed"
200004,240324,"widowed"
200005,240325,"widowed"
200006,240326,"widowed"
200007,240327,"single"
200008,240328,"single"
200009,240330,"widowed"
200010,240331,"widowed"
200011,240332,"widowed"
200012,240336,"single"
200013,240337,"single"
200014,240339,"single"
200015,240340,"single"
200016,240343,"widowed"
200017,240344,"single"
200018,240347,"single"
200019,240350,"single"
200020,240460,"widowed"
200021,240463,"widowed"
200022,240850,"widowed"
200023,241225,"widowed"
200024,241365,"widowed"
200025,241468,"widowed"
200026,241469,"widowed"
200027,242176,"widowed"
200028,242234,"widowed"
200029,243269,"widowed"
200030,244177,"widowed"
200031,244557,"widowed"
200032,244604,"widowed"
200033,245970,"single"
200034,245994,"widowed"
200035,246070,"widowed"
200036,246071,"widowed"
200037,246116,"widowed"
200038,246273,"widowed"
200039,246346,"widowed"
200040,246403,"widowed"
200041,247580,"widowed"
200042,247745,"widowed"
200043,248270,"widowed"
200044,248332,"widowed"
200045,248633,"widowed"
200046,248732,"widowed"
200047,248775,"widowed"
200048,248968,"widowed"
200049,249193,"widowed"
200050,249232,"widowed"
200051,249234,"widowed"
200052,249407,"widowed"
200053,249708,"widowed"
200054,249843,"widowed"
200055,250060,"widowed"
200056,250242,"widowed"
200057,250654,"widowed"
200058,250837,"widowed"
200059,250945,"widowed"
200060,252665,"widowed"
200061,252793,"widowed"
200062,253072,"deceased"
200063,253126,"single"
200064,253216,"single"
200065,254712,"widowed"
200066,255077,"widowed"
200067,255281,"widowed"
200068,255765,"widowed"
200069,258736,"single"
200070,259063,"single"
200071,260217,"single"
200072,262587,"widowed"
200073,263361,"widowed"
200074,264615,"single"
200075,268985,"widowed"
200076,270838,"deceased"
200077,272016,"deceased"
200078,206346,"deceased"
200079,206496,"deceased"
200080,206497,"deceased"
200081,207689,"deceased"
200082,209884,"deceased"
200083,210096,"deceased"
200084,210408,"deceased"
200085,210454,"deceased"
200086,211520,"deceased"
200087,211577,"deceased"
200088,211713,"deceased"
200089,211930,"deceased"
200090,212010,"deceased"
200091,212011,"deceased"
200092,212056,"deceased"
200093,212216,"deceased"
200094,212290,"deceased"
200095,212352,"deceased"
200096,219338,"widowed"
200097,221679,"deceased"
200098,223341,"deceased"
200099,223417,"deceased"
200100,224546,"deceased"
200101,224913,"deceased"
200102,229601,"deceased"
200103,229622,"the younger"
200104,234654,"nonconformist"
200501,275161,"widowed"
200502,275178,"deceased"
200503,275293,"deceased"
200504,275755,"widowed"
200505,275780,"widowed"
200506,275806,"widowed"
200507,275855,"widowed"
200508,275890,"widowed"
200509,276053,"widowed"
200510,276064,"widowed"
200511,276124,"widowed"
200512,276137,"widowed"
200513,276182,"widowed"
200514,276184,"widowed"
200515,276228,"widowed"
200516,276313,"widowed"
200517,276337,"widowed"
200518,276358,"widowed"
200519,276550,"widowed"
200520,276692,"widowed"
200521,277007,"widowed"
200522,277341,"widowed"
200523,277415,"widowed"
200524,277416,"widowed"
200525,277584,"deceased"
200526,277594,"widowed"
200527,277630,"widowed"
200528,278267,"widowed"
200529,278272,"deceased"
200530,278424,"widowed"
200531,278898,"widowed"
200532,278944,"widowed"
200533,278972,"deceased"
200534,279117,"deceased"
200535,279169,"deceased"
200536,279188,"deceased"
200537,279212,"deceased"
200538,279233,"widowed"
200539,279346,"widowed"
200540,279357,"widowed"
200541,279367,"deceased"
200542,279615,"widowed"
200543,280565,"deceased"
200544,280575,"deceased"
200545,280583,"deceased"
200546,280648,"widowed"
200547,280817,"widowed"
200548,281119,"deceased"
200549,281479,"widowed"
200550,281576,"widowed"
200551,281771,"married"
200552,281954,"widowed"
200553,281955,"widowed"
200554,282150,"deceased"
200555,282379,"deceased"
200556,282437,"widowed"
200557,282446,"deceased"
200558,282550,"deceased"
200559,283018,"deceased"
200560,283403,"widowed"
200561,283412,"widowed"
200562,283629,"widowed"
200563,283643,"deceased"
200564,283655,"deceased"
200565,283837,"widowed"
200566,284059,"widowed"
200567,284086,"deceased"
200568,284298,"widowed"
200569,284409,"widowed"
200570,284499,"deceased"
200571,284632,"deceased"
200572,284633,"deceased"
200573,284653,"deceased"
200574,284675,"deceased"
200575,284677,"deceased"
200576,284705,"deceased"
200577,284787,"widowed"
200578,284788,"deceased"
200579,284816,"deceased"
200580,284826,"deceased"
200581,284919,"deceased"
200582,284945,"deceased"
200583,284947,"deceased"
200584,285002,"deceased"
200585,285040,"deceased"
200586,285108,"deceased"
200587,285151,"deceased"
200588,285155,"deceased"
200589,285170,"deceased"
200590,285194,"widowed"
200591,285196,"widowed"
200592,285232,"widowed"
200593,285240,"widowed"
200594,285386,"married"
200595,285447,"widowed"
200596,285472,"deceased"
200597,285513,"deceased"
200598,285566,"deceased"
200599,285650,"deceased"
200600,285876,"single"
200601,285985,"single"
200602,286047,"single"
200603,286055,"deceased"
200604,286087,"widowed"
200605,286096,"deceased"
200606,286123,"deceased"
200607,286127,"deceased"
200608,286139,"deceased"
200609,286143,"deceased"
200610,286158,"deceased"
200611,286176,"widowed"
200612,286227,"deceased"
200613,286250,"deceased"
200614,286258,"deceased"
200615,286285,"deceased"
200616,286286,"deceased"
200617,286288,"deceased"
200618,286317,"widowed"
200619,286326,"deceased"
200620,286341,"deceased"
200621,286344,"deceased"
200622,286352,"deceased"
200623,286442,"deceased"
200624,286477,"deceased"
200625,286531,"deceased"
200626,286533,"deceased"
200627,286592,"deceased"
200628,286607,"deceased"
200629,286667,"deceased"
200630,286757,"deceased"
200631,286758,"deceased"
200632,286819,"deceased"
200633,286824,"deceased"
200634,286834,"deceased"
200635,286929,"deceased"
200636,286931,"deceased"
200637,286994,"deceased"
200638,287036,"deceased"
200639,287049,"widowed"
200640,287072,"deceased"
200641,287132,"deceased"
200642,287139,"deceased"
200643,287140,"deceased"
200644,287149,"deceased"
200645,287153,"deceased"
200646,287154,"deceased"
200647,287167,"married"
200648,287190,"married"
200649,287353,"widowed"
200650,287414,"nonconformist"
200651,287464,"widowed"
200652,288079,"widowed"
200653,288125,"widowed"
200654,288401,"widowed"
200655,288491,"widowed"
200656,288494,"widowed"
200657,288570,"widowed"
200658,288586,"widowed"
200659,288608,"widowed"
200660,288731,"widowed"
200661,288852,"widowed"
200662,288882,"widowed"
200663,288935,"widowed"
200664,289012,"widowed"
200665,289097,"widowed"
200666,289111,"widowed"
200667,289124,"widowed"
200668,289140,"widowed"
200669,289162,"widowed"
200670,289182,"widowed"
200671,289338,"widowed"
200672,289356,"widowed"
200673,289433,"widowed"
200674,289502,"widowed"
200675,289557,"widowed"
200676,289576,"widowed"
200677,289577,"widowed"
200678,289625,"widowed"
200679,289637,"widowed"
200680,289651,"widowed"
200681,289652,"widowed"
200682,289714,"widowed"
200683,289719,"deceased"
200684,289720,"deceased"
200685,289774,"widowed"
200686,289796,"widowed"
200687,289857,"widowed"
200688,289898,"widowed"
200689,290012,"widowed"
200690,290091,"widowed"
200691,290118,"widowed"
200692,290149,"widowed"
200693,290151,"widowed"
200694,290210,"widowed"
200695,290234,"widowed"
200696,290243,"widowed"
200697,290937,"widowed"
200698,291059,"widowed"
200699,291090,"widowed"
200700,291101,"elder/senior"
200701,291366,"the younger"
200702,291371,"widowed"
200703,291372,"widowed"
200704,291634,"single"
200705,291653,"widowed"
200706,291676,"widowed"
200707,291957,"widowed"
200708,292206,"single"
200709,292546,"widowed"
200710,292868,"single"
200711,292938,"widowed"
200712,293346,"the younger"
200713,293604,"widowed"
200714,293834,"widowed"
200715,293902,"widowed"
200716,293903,"single"
200717,293933,"widowed"
200718,294062,"single"
200719,294079,"single"
200720,294187,"widowed"
200721,294233,"widowed"
200722,294248,"widowed"
200723,294399,"married"
200724,294473,"married"
200725,294474,"married"
200726,294545,"married"
200727,294613,"widowed"
200728,294619,"deceased"
200729,295106,"widowed"
200730,295269,"widowed"
200731,295302,"deceased"
200732,295303,"deceased"
200733,295427,"widowed"
200734,295508,"married"
200735,296148,"deceased"
200736,296149,"deceased"
200737,296158,"deceased"
200738,296227,"deceased"
200739,296228,"deceased"
200740,296231,"deceased"
200741,296232,"deceased"
200742,296246,"deceased"
200743,296248,"deceased"
200744,296275,"deceased"
200745,296327,"deceased"
200746,296347,"deceased"
200747,296353,"deceased"
200748,296366,"deceased"
200749,296371,"deceased"
200750,296384,"deceased"
200751,296405,"deceased"
200752,296408,"deceased"
200753,296418,"deceased"
200754,296438,"deceased"
200755,296445,"deceased"
200756,296567,"deceased"
200757,296669,"deceased"
200758,296672,"deceased"
200800,300049,"deceased"
200801,300094,"deceased"
200802,300095,"deceased"
200803,300096,"deceased"
200804,300100,"deceased"
200805,300104,"widowed"
