bequest_id	bequestdescription
1	"all goods divided into 2 equal parts: 1 part to wife, 1 part to children equally between them when 21yrs or married (if one dies, others inherit)"
2	master and wardens of fellowship of leathersellers of City London: my black nutte with a cover
3	6s 8d to yeomanry of company of leathersellers
4	40s to pid5
5	40s to poor
6	"20s in bread to poor prisoners in the 2 Compters, Ludgate and Newgate"
7	40s towards the marriages of the children of pid9
8	40s to repair ch at Kenyngton
9	to the marriages of poor maidens: including pid11 who is to have £4 of the sum
10	20 rings to be made and given to friends by exec
11	"40s to ea apprentice, who are to serve out their years with exec"
12	40s to maid pid12
13	for 6yrs after death exec to provide 1 load of charcoal in winter to poor householders in AHHL
14	"resid to be equally divided into 3: 1 part to pid2, 2 other parts to children"
15	40s to pid14 for pains
16	debts to be paid
17	"pid20 gets messuage with apps where test dwells, with the adjoining messuage in the parish of St Lawrence in the Old Jury in the City for life; after death to go to pid21, pid22 and pid23 and their heirs (presumably equally, tho' not explicit)"
18	"all goods in City and country to be divided into 3: 1 part to pid20, 1 part to children, 1 part to fulfill will"
19	£4 to pid24 for a repast on day of burial
20	40s ea to pid25 and pid26
21	all debts to be paid
22	all goods divided into 3: 1 part to go t ochildren
23	40s to children in Christ's hospital
24	resid to pid31
25	all goods divided into 3 according to custom of the City: 1 part to wife pid35; 2 part to children; 3rd part to paying for will and debts
26	£5 to be paid within 1 yr
27	£5 to be paid within 1 yr
28	£5 to be paid within 1 yr
29	£5 to be paid within 1 yr
30	debts to be paid
31	residue of the 3rd part of all goods to be divided: half to pid35 and half to children
32	40s to poor in parish of St Vedast
33	debts to be paid
34	20s to poor to be distributed by pid44
35	half goods to pid45
36	"other half goods to go equally to brothers and sisters, except that pid46 is to have £5 more than others for his pains with the will"
37	all goods to pid48
38	pid50 owes test £15 by a bill of his hand and odd money: is to be forgiven £6 13s 4d
39	"3s 4d to high altar AHHL where test was a parishioner, for tithes forgotten"
40	"after debts and funeral, all goods divided into 3 equal parts: 1 part to pid68; 2 part to children pid69, pid70, pid71, pid 72, pid73; 3 part presumably for will. Children to get their part when 21yrs or married. If any child dies before then, the others get equal share of the dead child's. If all children die, then wife gets half their share, and the other half goes to poor kinsfolk; if all chlidren and wife die, then all goes to poor kinsfolk"
41	cousin pid76 gets £20 at marriage
42	black gown to pid74 and pid75 (here called Dorothy)
43	£3 6s 8d to ea other child of pid74 and pid75 (here called Margaret)
44	£3 6s 8d to ea child of pid77
45	black gown ea to  pid78 and pid79
46	£3 6s 8d to ea child of pid78 and pid79
47	£5 to pid80
48	40s ea other apprentice
49	black gown to pid81
50	black gown to pid82
51	pid68 gets lease and term of years in messuage or tenement where test lives in the parish of AHHL for life; after death to be sold and the money to go to the use of the children (pid69-73) at the discretion of the execs
52	pid83 gets a black gown
53	pid68 is to enjoy quietly the dyhous with garden and apps in Whitecross st in the parish of St Giles w/out Cripplegateas long as she stays a widow or if she only marries a freeman of the fellowship of Clothmakers of the City of London; she's to pay all relevant rents etc @@@@ f.70: if she marries someone else then the lease of the dyhouse etc is to be sold by pid84 and the money to be used for test's children (pid69-73)
54	20s to repair hall of pid85
55	53s 4d to poor householders and poor people at the discretion of execs
56	resid to pid68-73 equally
57	£5 to pid84
58	black gown to pid84
59	black gown to pid68
60	[blank] amount of cash and black gown ea to pid86 and pid87
61	black gown ea to pid88 and pid89
62	wants debts paid
63	£25 to pid95
64	40s to pid96
65	my damask cloak and 3 yrds of black satin
66	2 angel nobles to pid98
67	£10 to mother (unnamed)
68	40s to ea of brethren and sustren living in the county where test was born
69	£40 to pid99
70	2 angel nobles to pid100
71	£8 to pid101
72	2 angel nobles to pid102
73	pid103 gets 3 angel nobles
74	40s to pid104
75	14s to pid104 which is owed to her by test
76	4 marks to pid104 for wages: ie a servant or employee?
77	40s to ea apprentice so long as they do as they've already been instructed
78	pid105 gets my new shirt
79	3s 4d to ea poor woman which has kept test in his sickness
80	20s to poor to the most needy
81	£10 to pid106
82	execs to dispose resid among kinsfolk
83	"pid111 gets lease of house with all interests and all hh stuff, all plate, and all wares in the shop"
84	£60 ea to pid112-114 when they reach lawful age or married; ea to be others' heirs
85	"£10 to pid116, and she to be at the setting forth of pid117; if she dies before lawful age/marriage then cash to go to test's children (pid112-114)"
86	"if all test's children die, then pid111 to have £40; children of pid118 to have £40; and children of pid119 get £20; resid of the cash goes to poor"
87	£40 to pid111
88	£5 to pid120 if living; if dead to go to her children
89	30s to pid121
90	20s to ea apprentice in the house at test's death: they shall do good service to pid111-114; to receive cash at the end of their apprenticeships
91	13s 4d to pid122
92	resid given equally to pid112-114
93	£6 13s 4d ea to pid123-124
94	£5 to pid125
95	"30s to wardens and brothers of pid126 to bearing of their charges, and 6s 8d that is due to test in the chamber for wheat money"
96	20s to pid126 for a banquet
97	10s to 127 for writing the will
98	pid129 gets my house or tenement at Bishop Stortford in the county of Hertford commonly known by the name or sign of the Bull and now in the possession of pid 130 for life; after death to go to pid131 and heirs
99	pid129 gets meade commonly called by the name of Wayte meade situated in Bishop Stortford in Herts currently in possession of pid130 for life; after death to go to pid131 and heirs
100	pid129 gets my house in Bishops Stortford now in the possession of pid132 for life; after death to go to pid133 and heirs
101	pid129 gets all goods and hh stuff
102	"funeral - not to cost more than £100, of which a reasonable part is to go to the poor"
103	"pid137 gets during her widowhood all the houses test has in Grubstreet and their rents and profits; isn't allowed to let any lease of any of them without the written consent of pid138; not to claim anything more from will other than the third due to her by the custom of london - if she does claim more then bequests are void ""which I know will be to her greate losse""; pid138 gets them on the death/remarriage of pid137 forever"
104	"pid137 also gets all leases, rents and profits not otherwise disposed of in this will for her life and widowhood - she is to pay the relevant charges to the lords: not to claim anything more from will other than the third due to her by the custom of london - if she does claim more then bequests are void  ""which I know will be to her greate losse""; see beqid106"
105	"pid137 gets all hh stuff, plate: not to claim anything more from will other than the third due to her by the custom of london - if she does claim more then bequests are void  ""which I know will be to her greate losse"". ""And so god blesse her"""
106	"pid138 gets the lease of the houses which test holds of the City in the Dukes place near Christchurch als Creechurch, and the lease test holds from the City in Roode lane, and all other leases wherever after death/remarriage of 137 (see beqid104); - so long as he doesn't disturb his mother (presumably pid137) or abridge her of anything provided in the will; if he does then he gets nothing and cannot be exec, and pid137 becomes exec; and all leases go to pid139 and pid140 equally after death/remarriage of pid137"
107	pid138 gets my great salt which was heretofore his own charging him to treat his mother and sisters according to the will
108	pid139 gets £200 to be bestowed in lands wherein she is to be joined purchaser with her husband pid141 - and to their heirs; if they have no heirs then to go to heirs of pid139
109	pid139 gets my chain which test had from pid142
110	"pid143 gets £30 to be paid to her father or mother for her preferment as they see fit; to be paid to ""my son James"" (pid141?) or my daughter within 6 months after death; son James to make general release to exec of all claims"
111	"pid144 and pid145 get £10 ea to be given them ""as they shall thincke fitt"" - they presumably being the parents; to be paid to ""my son James"" (pid141?) or my daughter within 6 months after death; son James to make general release to exec of all claims"
112	"pid140 gets [blank]. There is an insert symbol, but nothing is inserted."
113	pid146 gets £30 to her preferrment at the discretion of pid137 her grandmother
114	pid147-149 get £10 ea to be given for their placing abroad
115	pid150 gets my little cupp of mother of pearl set in silver and a ring of gold to wear in remembrance of me and my duty to her and my faithfulness ever towards her desiring her to continue her old love and to accept of the mind of the giver and not the gift
116	pid151 gets a ring of gold to wear in remembrance of test
117	£5 to the poor of Windsor
118	5 marks to the poor in the Compter in Woodstreet
119	5 marks to the poor prisoners in Newgate
120	resid to execs 'under those conditions set down before' (where?)
121	£5 to the parish where he's buried
122	£5 to the parish church where test lives (doesn't say which)
123	"wants lease of house where now dwells, and all goods, plate, wares, implements (except land at Totteridge and lease of house in Old Jury) to be divided into 2 equal parts: 1 part to pid155 according to custom of city of London; 2nd part to pay will and debts"
124	"pid156 gets lease of the house where she now dwells in Old Jury, to be given to her within 1 month after death. Test rates lease at £150"
125	"pid156 gets £200, at 30s a month to be paid by execs"
126	pid157 gets £8 pa as long as she lives at 50s per quarter (sic). Prays that this will be well performed because she is blind. See beqid127
127	"incomplete sentence - follows on directly from beqid126 with no 'Item' or information: ""I rate yt at three score and sixe poundes thirteene shillinges fower pence"". Poss referring to the est value of annuity in beqid126? Poss an error, and refers to beqid128"
128	pid158 gets £66 13s 4d
129	£20 ea to pid160-165
130	pid166 gets £100: so long as she doesn't claim anything else from will
131	pid168 gets £110 so long as she or pid169 pay the debt which they owe test in his book: so long as she doesn't claim anything else from will
132	"pid170 gets £400 to be abated him out of such debts as he will owe test at his death, so as he do pay and discharge test of a bond for £432 which is for pid170's debt to pid171; if he won't discharge the bond, then he doesn't get it; if he doesn't owe anything to test at death, then gets £400 cash or wares"
133	"pid172 gets £200 ""he paying the debt he oweth"""
134	pid173 gets £10
135	£50 to the poor of the city of chichester for a stock to be continued for them
136	"pid175 gets £66 13s 4d so that he  make amends for his father's debts which test has set in his book, so long as he pay test £400, and if he is bound to free test from 'that will' (i.e. of pid174?)  then he also gets all remainder of 'that estate'"
137	"pid176 gets £40 so long as pid175 pays test the debt he owes, and discharges test of £218 which test stands bound with pid175 to pid177"
138	pid178 gets £60 to buy some rent to be given to the poor quarterly
139	£80 to be lent to 2 men of pid178 upon good surety for three years
140	£20 to pid178 for a dinner at test's funeral
141	£15 to the children of pid179
142	poor children in pid180 get £66 13s 4d
143	pid181 gets £5
144	£10 to redeem poor captives
145	"£4 ea to pid182, pid183 and pid184 to release such as lie for final fees"
146	£33 6s 8d to the poor in Totteridge to buy something to give in bread or money every Sunday or every month as they think good
147	pid185 gets £5
148	pid186 gets 20s
149	pid187 gets 20s
150	pid188 gets £10
151	pid189 gets 40s
152	pid190 gets 40s
153	pid191 gets 40s
154	to the poor of the french and dutch church £5 ea (pid192 and pid193)
155	£60 to the poor of the parish of St Pulchers London to buy a yearly rent to be given to the poor quarterly or weekly
156	pid194 gest £150 so long as he tarries and helps execs with test's debts and  makes up the test's accounts and reckonings for 2 yrs
157	£10 to pid195
158	pid196 gets £10 (in margin)
159	ea maid gets 20s
160	pid197 gets 40s
161	pid156 gets plate worth £20 - illegible - poss as chosen by test's wife
162	pid198 gets 20s
163	pid199 gets £6 13s 4d
164	pid172 gets plate to value of £8
165	pid200 gets a ring worth £2
166	pid201 gets a ring worth £2
167	pid202 gets ring of 40s
168	pid203 gets a ring of 40s
169	pid177 gets a ring of £1 13s 4d
170	pid194 gets a ring of 40s
171	"64 gowns to poor men ""I gesse at threescore ffyteene pounds"""
172	pid204 and pid205 ea get a gown
173	pid206 and pid207 ea get a gown
174	pid170 and pid208 get a gown ea
175	pid172 and pid209 a gown ea
176	pid157 gets a gown
177	pid158 gets a gown
178	pid166 gets a gown
179	pid168 and pif169 get a gown
180	pid210 gets a gown
181	pid211 gets a gown
182	"to the preacher (presumably of AHHL, given beqid181) a gown"
183	pid212 gets a gown
184	pid194 and pid213 get a gown ea
185	pid214 gets a gown
186	pid215 gets a gown
187	to my men cloaks and doublets and hose
188	to my maids gowns
189	pid155 gets all lands and houses in Totteridge for ever - is to pay 156 the 30s per month as mentioned before and pid157 the £8 pa quarterly
190	resid goes to pid155
191	piece of plate of 20oz ea to pid194 and pid216 for their pains
192	after debts paid/funeral wants all goods divided into 3 acording to the ancient and laudable custom of the city: 1 part to pid220 for her own proper use
193	"pid220 gets all rings, chains and jewels belonging to her and by her worn and used: test wants her to ensure that the 2 gold chains he gave to her, one of which he bought from pid221, weighing 29oz and a pennyweight, and the other chain bought from pid222 set with a diamond - the greater is to go to pid223 and the other to pid224"
194	"pid224 has already been advanced upon her marriage (to pid225, now her husband) - test had already given her £1500 to her marriage"
195	pid226 has already received £500 cash for his advancement - to count against his share of the 'childs part' by the custom of the city
196	pid227 has already been given £500 cash
197	"see beqid194-196: these sums (taken from the 2nd part of all goods) paid to pid224, pid226 and pid227 shall be put into ""hotch potche"" with the 3rd part of all goods and all divided equally between pid223, pid224, pid226 and pid227, so all children can be equally advanced from the test's personal estate according to the custom of the city of london; the execs are specially charged to ensure that the share going to pid223 is to be paid first"
198	"the 3rd part of all goods, commonly called the testator's third part, which by custom is devisable by the test spent thus: governor of pid228 gets £5 for the relief of the poor there; poor of parish of St Michael Bassieshawe (London) where test lately dwelled get £20 to be distributed by parson, ch/ws and overseers; poor of parish of Widford (Herts) get £20 to be distributed by parson, ch/ws and overseers; and £5 ea to the poor prisoners in pid229-233"
199	pid234 gets £10
200	pid235 gets £5
201	pid237 gets £5
202	pid238 gets £5
203	£5 ea to pid239-242
204	£5 ea to pid245-247 when married or 21yrs
205	ea child of pid224 living at test's death gets £5: sons when 21yrs and daughters when 21yrs or married
206	pid248 gets £10 at 21yrs
207	pid249 gets £5 when 21yrs or married
208	pid223 gets £500 is she's alive when test dies; if she's dead then goes to pid226 and pid227 equally
209	"all rents, issues, profites of the messuage, tenement and gardens at Finsbury in St Giles without cripplegate (midsx) which test holds by lease granted by the mayor and commonalty and citizens of the city of london and currently in occup of pid250: goes to pid223 for life if the term of years last so long; after death to go to pid226; both to pay the relevant rents to the mayor and commonalty"
210	"pid223 gets my long carpet of green cloth embroidered with black velvet, and my three cushions of tentwork"
211	pid226 gets lease of house or tenement in Shirbourne lane in London which had been granted to the test by pid251; pid226 to pay the rents
212	resid goes to pid227
