bequest_id	item_id	item_type	item_description
2	1	cup	my blak nutte
65	2	cloak	my damask cloak and 3 yrds of black satin
65	3	cloth	my damask cloak and 3 yrds of black satin
78	4	shirt	my new shirt
107	5	salt	my great salt which heretofore was his own
109	6	chain	my chain which I had from pid142
115	7	cup	my little cup
115	8	ring	a ring of gold
116	9	ring	a ring of gold
193	10	chain	chain of gold of 29oz and a pennyweight
193	11	chain	gold chain set with diamond
210	12	carpet	my long carpet of green cloth embroidered w black velvet
210	13	cushion	my three cushions of tentwork
221	14	ring	ring of gold worth 20s
223	15	ring	my best diamond ring
224	16	ring	my diamond ring set with 5 diamonds
225	17	ring	a ring of gold worth 20s with a death's head engraved and the words 'The Gift of Symond Wood'
226	18	ring	a ring of gold with a death's head engraved and the words 'The Gift of Symond Wood'
227	19	ring	my sealed ring of gold engraved with my arms
229	20	chain	my iron chest
236	21	ring	a gold ring worth 20s besides the making
242	22	cup	 a standing cup of gilt with cover weighing 26.5oz
242	23	standingbed	my best standing bed that I lie in
242	24	featherbed	with best featherbed and best covering
242	25	tester	with the tester hanged with gilt bills
242	26	sheets	2 pr of my best sheets
247	27	vestment	parish ch of St Mary Ceetinge in Suffolk gets a white damask vestment embroidered with angels worth 5 marks
250	28	gown	my pewke gown furred with satin and welted with tawny velvet
251	29	gown	my gown furred with fox
251	30	jacket	my jacket of chamlet furred
252	31	gown	my russet gown furred with black lamb
253	32	gown	my frys night gown
254	33	doublet	my best doublet of russet velvet
255	34	jacket	my other chamlet jacket
255	35	doublet	my satin doublet
276	36	cup	"a gilt standing cup of 34oz with a cover, to be used at easter"
280	37	apparel	my worst apparel
281	38	gown	1 of my worst gowns furred with badger
284	39	apparel	my worst apparel
287	40	dagger	my dagger trimmed with silver
289	41	coat	my coat gardyd with velvet
319	42	goblet	a goblet of silver all gilt without covering weighing [blank] oz and a long diaper towel (both in test's house in AHHL)
319	43	towel	a goblet of silver all gilt without covering weighing [blank] oz and a long diaper towel (both in test's house in AHHL)
319	44	cushion	a long cushion and 6 smaller cushions all wrought with cruell in needlework and which are in test's home in Stratford Bowe (Midsx)
319	45	cushion	a long cushion and 6 smaller cushions all wrought with cruell in needlework and which are in test's home in Stratford Bowe (Midsx)
325	46	salt	my great silver salt parcel gilt
326	47	goblet	"a little silver goblet parcel gilt, 1 little silver salt parcel gilt with a cover, a little pot of silver parcel gilt, 6 silver spoons with knoppes at the end weighing altogether 38oz;"
326	48	salt	"a little silver goblet parcel gilt, 1 little silver salt parcel gilt with a cover, a little pot of silver parcel gilt, 6 silver spoons with knoppes at the end weighing altogether 38oz;"
326	49	pot	"a little silver goblet parcel gilt, 1 little silver salt parcel gilt with a cover, a little pot of silver parcel gilt, 6 silver spoons with knoppes at the end weighing altogether 38oz;"
326	50	spoons	"a little silver goblet parcel gilt, 1 little silver salt parcel gilt with a cover, a little pot of silver parcel gilt, 6 silver spoons with knoppes at the end weighing altogether 38oz;"
346	51	gown	a gown of Kentish cloth
363	52	ring	a ring of gold worth £3 6s 8d
383	53	gown	my 2 livery gowns furred with coney
383	54	gown	my blue gown furred + puke with sarsnett
383	55	gown	my merbull gown
383	56	featherbed	2 good featherbeds
383	57	sheets	2 pr of the fine sheets
383	58	coverlet	my best coverlet
383	59	coverlet	2 middle sort coverlets
383	60	bed	the cowche bed with pyllers in the little chamber beneath
383	61	doublet	my doublets
387	62	cushion	6 of my best cushions
387	63	chain	my leather chair
387	64	ring	my ring with lesser ruby
387	65	ring	my ring with maid's head
392	66	gown	my tawny furred gown
403	67	chest	my iron chest
406	68	ruby	my little ruby
439	69	cup	my great silver cup with cover
447	70	goblet	a nest of my best gilt goblets
453	71	cup	my great standing cup of silver with cover and gilt
