beqid	beqmodetype
1	multiple
1	normal
1	reversionary
2	normal
3	normal
4	normal
5	normal
6	normal
7	conditional
8	normal
9	conditional
9	multiple
10	normal
11	conditional
12	normal
13	period
14	multiple
14	normal
15	normal
16	normal
17	multiple
17	normal
17	period
17	place
17	reversionary
18	multiple
18	normal
19	normal
19	period
20	normal
21	normal
22	normal
23	normal
24	normal
25	multiple
25	normal
26	normal
26	period
27	normal
27	period
28	normal
28	period
29	normal
29	period
30	normal
31	normal
32	normal
33	normal
34	normal
35	normal
36	normal
37	normal
38	normal
39	normal
40	conditional
40	normal
40	period
40	reversionary
41	conditional
42	normal
43	normal
45	normal
46	normal
47	normal
48	normal
49	normal
50	normal
51	normal
51	reversionary
52	normal
53	conditional
53	reversionary
54	normal
55	normal
56	normal
57	normal
58	normal
59	normal
60	multiple
60	normal
61	normal
62	normal
63	normal
64	normal
65	multiple
65	normal
66	normal
67	normal
68	normal
69	normal
70	normal
71	normal
72	normal
73	normal
74	normal
75	normal
76	normal
77	conditional
78	normal
79	normal
80	normal
81	normal
82	normal
83	multiple
83	normal
84	conditional
84	reversionary
85	conditional
85	reversionary
86	conditional
86	multiple
87	normal
88	conditional
88	reversionary
89	normal
90	conditional
91	normal
92	normal
93	normal
94	normal
95	multiple
95	normal
96	normal
97	normal
98	normal
98	reversionary
99	normal
99	reversionary
100	normal
100	reversionary
101	multiple
101	normal
102	normal
103	conditional
103	reversionary
104	conditional
105	conditional
105	multiple
105	normal
106	conditional
106	reversionary
107	normal
108	normal
108	reversionary
109	normal
110	normal
110	period
111	multiple
111	normal
111	period
112	normal
114	conditional
115	normal
116	normal
117	normal
118	normal
119	normal
120	normal
121	normal
122	normal
123	multiple
124	normal
125	normal
125	period
126	normal
126	period
127	normal
128	normal
129	multiple
129	normal
130	conditional
130	normal
131	conditional
131	normal
132	conditional
133	conditional
134	normal
136	conditional
137	conditional
138	normal
139	normal
139	period
140	normal
141	normal
142	normal
143	normal
144	normal
145	normal
146	normal
147	normal
148	normal
149	normal
150	normal
151	normal
152	normal
153	normal
154	normal
155	normal
155	period
156	conditional
156	period
157	normal
158	normal
159	normal
160	normal
161	normal
162	normal
163	normal
164	normal
165	normal
166	normal
167	normal
168	normal
169	normal
170	normal
171	normal
172	normal
173	normal
174	normal
175	normal
176	normal
177	normal
178	normal
179	normal
180	normal
181	normal
182	normal
183	normal
184	normal
185	normal
186	normal
187	multiple
187	normal
188	normal
189	normal
190	normal
191	normal
192	normal
193	normal
194	premortem
195	premortem
196	premortem
197	normal
198	multiple
198	normal
200	normal
201	normal
202	normal
203	normal
204	conditional
205	conditional
206	conditional
208	normal
208	reversionary
209	normal
209	reversionary
210	multiple
210	normal
211	normal
212	normal
213	premortem
214	premortem
215	premortem
216	normal
217	normal
218	premortem
219	normal
220	normal
221	normal
222	normal
223	normal
224	normal
225	normal
226	normal
227	multiple
228	normal
229	multiple
230	normal
231	conditional
231	multiple
231	reversionary
232	normal
232	reversionary
233	normal
233	reversionary
234	multiple
234	period
235	multiple
236	normal
237	period
238	normal
239	normal
240	normal
241	normal
242	multiple
243	normal
244	conditional
244	multiple
244	normal
244	period
244	reversionary
245	period
246	normal
247	normal
248	normal
249	conditional
250	normal
251	normal
252	normal
253	normal
255	normal
256	normal
257	normal
258	normal
259	normal
260	normal
261	normal
262	multiple
263	normal
264	normal
265	normal
266	normal
267	normal
268	normal
269	normal
270	normal
271	normal
272	normal
273	normal
274	normal
275	normal
276	normal
277	normal
278	normal
279	normal
280	multiple
281	normal
282	normal
283	normal
284	normal
285	normal
286	normal
287	normal
288	normal
289	normal
290	normal
291	normal
292	normal
293	normal
294	normal
294	reversionary
295	normal
296	normal
297	normal
298	normal
299	normal
300	conditional
300	reversionary
301	normal
302	conditional
303	normal
304	normal
305	normal
306	normal
307	normal
308	normal
309	normal
310	normal
311	normal
312	normal
313	conditional
313	normal
314	normal
315	normal
316	instruction
317	normal
318	normal
319	multiple
319	normal
320	normal
321	normal
322	normal
323	normal
324	normal
325	normal
326	conditional
326	reversionary
327	conditional
328	normal
329	normal
330	normal
331	normal
332	normal
333	normal
334	normal
335	normal
336	normal
337	normal
