beqrecipid	bequestid	reciptype	recipid
1	1	family	2
2	2	company	3
3	3	company	3
4	4	unknown	5
5	5	genericpoor	
6	6	poorprisoners	6
7	6	poorprisoners	7
8	6	poorprisoners	8
9	7	family	
10	8	religious	10
11	9	family	11
12	9	poormaidens	
13	10	genericfriends	
14	11	genericapprentice	
15	12	servant	12
16	13	poorhh	
17	13	poorparish	
18	14	family	2
19	14	family	
20	1	family	
21	15	family	14
22	15	exec	14
23	16	business	
24	17	family	20
25	17	family	21
26	17	family	22
27	17	family	23
28	18	family	20
29	18	family	21
30	18	family	22
31	18	family	23
32	18	family	
33	19	company	24
34	20	servant	25
35	20	unknown	26
36	21	business	
37	22	family	
38	23	childrenhospital	30
39	24	family	31
40	25	family	35
41	25	family	
42	26	family	36
43	27	family	37
44	28	family	38
45	29	family	39
46	30	business	
47	31	family	
48	31	family	35
49	32	poorparish	
50	33	business	
51	34	genericpoor	
52	35	unknown	45
53	36	family	
54	36	family	46
55	37	family	48
56	38	family	50
57	39	highaltar	
58	40	family	68
59	40	family	69
60	40	family	70
61	40	family	71
62	40	family	72
63	40	family	73
64	41	family	76
65	42	family	74
66	42	family	75
67	43	family	
68	45	family	78
69	45	family	79
70	46	family	
71	47	apprentice	80
72	48	apprentice	
73	49	unknown	81
74	50	unknown	82
75	51	family	68
76	51	family	69
77	51	family	70
78	51	family	71
79	51	family	72
80	51	family	73
81	52	unknown	83
82	53	family	68
83	53	family	69
84	53	family	70
85	53	family	71
86	53	family	72
87	53	family	73
88	54	company	
89	55	poorhh	
90	55	genericpoor	
91	56	family	68
92	56	family	69
93	56	family	70
94	56	family	71
95	56	family	72
96	56	family	73
97	57	exec	84
98	57	friend	84
99	58	exec	84
100	58	friend	84
101	59	family	68
102	59	exec	68
103	60	super	86
104	60	super	87
105	61	super	88
106	61	super	89
107	62	business	
108	63	unknown	95
109	64	unknown	96
110	65	family	97
111	66	family	98
112	67	family	
113	68	family	
114	69	family	99
115	70	unknown	100
116	71	unknown	101
117	72	unknown	102
118	73	unknown	103
119	74	unknown	104
120	75	unknown	104
121	76	unknown	104
122	77	apprentice	
123	78	unknown	105
124	79	knownpoor	
125	80	genericpoor	
126	81	unknown	106
127	82	family	
128	83	family	111
129	84	family	112
130	84	family	113
131	84	family	114
132	85	unknown	116
133	85	family	112
134	85	family	113
135	85	family	114
136	86	family	111
137	86	family	
138	86	family	
139	86	genericpoor	
140	87	family	111
141	88	family	120
142	88	family	
143	89	servant	121
144	90	apprentice	
145	91	unknown	122
146	92	family	112
147	92	family	113
148	92	family	114
149	93	exec	123
150	93	exec	124
151	94	super	125
152	95	company	126
153	96	company	126
154	97	employee	127
155	98	family	129
156	99	family	129
157	98	family	131
158	99	family	131
159	100	family	129
160	100	family	133
161	101	family	129
162	102	genericpoor	
163	103	family	137
164	103	family	138
165	104	family	137
166	105	family	137
167	106	family	138
168	106	family	137
169	106	family	139
170	106	family	140
171	107	family	138
172	108	family	139
173	108	family	141
174	108	family	
175	109	family	139
176	111	family	144
177	111	family	145
178	110	family	143
179	112	family	140
180	114	family	147
181	114	family	148
182	114	family	149
183	115	family	150
184	116	family	151
185	117	poorparish	
186	118	poorprisoners	152
187	119	poorprisoners	153
188	120	exec	
189	121	religious	
190	122	religious	
