beqid	bequesttype
1	all goods
2	hhstuff
3	cash
4	cash
5	cash
6	foodstuff
7	cash
8	cash
9	cash
10	jewel
11	cash
12	cash
13	fuel
14	resid
15	cash
16	debtsowedbytest
17	property
18	all goods
19	cash
20	cash
21	debtsowedbytest
22	all goods
23	cash
24	resid
25	all goods
26	cash
27	cash
28	cash
29	cash
30	debtsowedbytest
31	resid
32	cash
33	debtsowedbytest
34	cash
35	all goods
36	all goods
37	all goods
38	cash
39	cash
40	all goods
41	cash
42	funeralclothes
43	cash
45	funeralclothes
46	cash
47	cash
48	cash
49	funeralclothes
50	funeralclothes
51	property
52	funeralclothes
53	property
54	cash
55	cash
56	resid
57	cash
58	funeralclothes
59	funeralclothes
60	cash
60	funeralclothes
61	funeralclothes
62	debtsowedbytest
63	cash
64	cash
65	cloth
65	clothes
66	cash
67	cash
68	cash
69	cash
70	cash
71	cash
72	cash
73	cash
74	cash
75	cash
75	debtsowedbytest
76	cash
77	cash
78	clothes
79	cash
80	cash
81	cash
82	resid
83	hhstuff
83	plate
83	property
83	wares
84	cash
85	cash
86	cash
87	cash
88	cash
89	cash
90	cash
91	cash
92	resid
93	cash
94	cash
95	cash
96	cash
97	cash
98	property
99	land
100	property
101	all goods
101	hhstuff
102	cash
103	property
104	property
105	hhstuff
105	plate
106	property
107	plate
108	land
109	jewel
110	cash
111	cash
112	unknown
114	cash
115	hhstuff
115	jewel
116	jewel
117	cash
118	cash
119	cash
120	resid
121	cash
122	cash
123	all goods
123	hhstuff
123	land
123	plate
123	wares
124	property
125	cash
126	annuity
127	unknown
128	cash
129	cash
130	cash
131	cash
132	cash
132	debtstotest
132	wares
133	cash
134	cash
136	cash
136	debtstotest
137	cash
138	cash
139	cash
140	cash
141	cash
142	cash
143	cash
144	cash
145	cash
146	cash
147	cash
148	cash
149	cash
150	cash
151	cash
152	cash
153	cash
154	cash
155	cash
156	cash
157	cash
158	cash
159	cash
160	cash
161	plate
162	cash
163	cash
164	plate
165	jewel
166	jewel
167	jewel
168	jewel
169	jewel
170	jewel
171	funeralclothes
172	funeralclothes
173	funeralclothes
174	funeralclothes
175	funeralclothes
176	funeralclothes
177	funeralclothes
178	funeralclothes
179	funeralclothes
180	funeralclothes
181	funeralclothes
182	funeralclothes
183	funeralclothes
184	funeralclothes
185	funeralclothes
186	funeralclothes
187	clothes
188	funeralclothes
189	land
189	property
190	resid
191	plate
192	all goods
193	jewel
194	cash
195	cash
196	cash
197	all goods
198	cash
200	cash
201	cash
202	cash
203	cash
204	cash
205	cash
206	cash
208	cash
209	property
210	softfurnish
211	property
212	resid
213	land
213	property
214	property
215	land
215	property
216	cash
217	debtsowedbytest
218	unknown
219	cash
220	cash
220	clothes
221	jewel
222	cash
223	jewel
224	jewel
225	jewel
226	jewel
227	book
227	jewel
228	hhstuff
229	rawmaterials
229	storage
230	resid
231	annuity
231	land
231	property
232	annuity
232	property
233	property
234	annuity
234	property
235	annuity
235	property
236	jewel
237	annuity
238	cash
238	foodstuff
239	cash
240	cash
241	hhstuff
241	property
242	bedding
242	cash
242	land
242	plate
242	property
243	cash
243	property
244	cash
244	land
245	bedding
245	plate
246	cash
247	clothes
248	unknown
249	cash
249	property
250	clothes
251	clothes
252	clothes
253	clothes
255	clothes
256	cash
257	cash
258	funeralclothes
259	funeralclothes
260	funeralclothes
261	resid
262	cash
262	funeralclothes
263	cash
263	funeralclothes
264	debtsowedbytest
265	all goods
265	cash
266	funeralclothes
267	cash
268	cash
269	cash
270	cash
271	cash
272	fuel
273	cash
274	cash
275	cash
276	plate
277	cash
278	cash
279	cash
280	cash
280	clothes
281	clothes
282	cash
283	cash
284	cash
284	clothes
285	cash
286	cloth
286	wares
287	arms
288	funeralclothes
289	clothes
290	resid
291	cash
292	cash
293	debtsowedbytest
294	all goods
294	clothes
294	debtstotest
294	hhstuff
294	jewel
294	plate
295	cash
296	funeralclothes
297	cash
298	cash
299	cash
300	cash
301	funeralclothes
302	cash
303	cash
304	cash
304	funeralclothes
305	cash
306	cash
307	cash
308	funeralclothes
309	funeralclothes
310	cash
311	cash
312	funeralclothes
313	resid
314	hhstuff
314	property
315	cash
315	funeralclothes
316	all goods
317	cash
317	funeralclothes
318	funeralclothes
319	cash
319	funeralclothes
319	hhlinen
319	plate
319	softfurnish
320	cash
320	funeralclothes
321	cash
322	cash
322	funeralclothes
323	funeralclothes
324	cash
325	cash
325	plate
326	cash
326	plate
327	cash
328	cash
329	cash
329	funeralclothes
330	cash
331	cash
332	cash
333	hhstuff
