docid	beqid	valuel	values	valued	value	totalvalued	note
1	1	0	0	0	none given	0	all goods divided into 2 equal parts
1	2	0	0	0	none given		
1	3	0	6	8	6s 8d	80	
1	4	0	40	0	40s	480	
1	5	0	40	0	40s	480	
1	6	0	20	0	20s	240	
1	7	0	40	0	40s	480	
1	8	0	40	0	40s	480	
1	9	13	6	8	£13 6s 8d	3200	
1	10	0	0	0	none given		
1	11	0	0	0	40s x?	0	not explicitly a conditional bequest, but presumably is
1	12	0	40	0	40s	480	
1	13	0	0	0	none given		
1	14	0	0	0	none given		
1	15	0	40	0	40s	480	
2	16	0	0	0	none given		
2	17	0	0	0	none given		
2	18	0	0	0	none given		
2	19	4	0	0	£4	960	
2	20	0	80	0	40s x 2	960	
3	21	0	0	0	None given	0	
3	22	0	0	0	None given	0	
3	23	0	40	0	40s	480	
3	24	0	0	0	None given	0	
4	25	0	0	0	none given		
4	26	5	0	0	£5	1200	
4	27	5	0	0	£5	1200	
4	28	5	0	0	£5	1200	
4	29	5	0	0	£5	1200	
4	30	0	0	0	none given		
4	31	0	0	0	none given		
4	32	0	40	0	40s	480	
5	33	0	0	0	none given		
5	34	0	20	0	20s	240	
5	35	0	0	0	none given		
5	36	5	0	0	none given, but at least £5	1200	at least £5
6	37	0	0	0	none given		
6	38	6	13	4	£6 13s 4d	1600	
11	39	0	3	4	3s 4d	40	
11	40	0	0	0	none given		
11	41	20	0	0	£20	4800	
11	42	0	0	0	none given	0	
11	43	0	0	0	£3 6s 8d x?	0	
11	44	0	0	0	£3 6s 8d x?	0	
11	45	0	0	0	none given	0	
11	46	0	0	0	£3 6s 8d x?	0	
11	47	5	0	0	£5	1200	
11	48	0	0	0	40s x?	0	
11	49	0	0	0	none given		
11	50	0	0	0	none given		
11	51	0	0	0	none given		
11	52	0	0	0	none given	0	
11	53	0	0	0	none given	0	
11	54	0	20	0	20s	240	
11	55	0	53	4	53s 4d	640	
11	56	0	0	0	none given	0	
11	57	5	0	0	£5	1200	
11	58	0	0	0	none given	0	
11	59	0	0	0	none given	0	
11	60	0	0	0	none given	0	amount is left blank
11	61	0	0	0	none given	0	
12	62	0	0	0	none given	0	
12	63	25	0	0	£25	6000	
12	64	0	40	0	40s	480	
12	65	0	0	0	none given	0	
12	66	0	0	0	none given	0	
12	67	10	0	0	£10	2400	
12	68	0	0	0	40s x?	0	
12	69	40	0	0	£40	9600	
12	70	0	0	0	none given	0	
12	71	8	0	0	£8	1920	
12	72	0	0	0	none given	0	
12	73	0	0	0	none given		
12	74	0	40	0	40s	480	
12	75	0	14	0	14s	168	
12	76	2	13	4	4 marks	640	
12	77	0	0	0	40s x?	0	
12	78	0	0	0	none given	0	
12	79	0	0	0	3s 4d x?	0	
12	80	0	20	0	20s	240	
12	81	10	0	0	£10	2400	
12	82	0	0	0	none given	0	
13	83	0	0	0	none given	0	
13	84	180	0	0	£60 x3	43200	see beqid86
13	85	10	0	0	£10	2400	
13	86	180	0	0		43200	see beqid84
13	87	40	0	0	£40	9600	
13	88	5	0	0	£5	1200	
13	89	0	30	0	30s	360	
13	90	0	0	0	20s x?	0	
13	91	0	13	4	13s 4d	160	
13	92	0	0	0	none given	0	
13	93	13	6	8	£6 13s 4d x2	3200	
13	94	5	0	0	£5	1200	
13	95	0	36	8	30s and 6s 8d	440	
13	96	0	20	0	202	240	
13	97	0	10	0	10s	120	
14	98	0	0	0	none given	0	
14	99	0	0	0	none given	0	
14	100	0	0	0	none given	0	
14	101	0	0	0	none given	0	
15	102	100	0	0	maximum of £100	24000	
15	103	0	0	0	none given	0	
15	104	0	0	0	none given	0	
15	105	0	0	0	none given	0	
15	106	0	0	0	none given	0	
15	107	0	0	0	none given	0	
15	108	200	0	0	£200	48000	
15	109	0	0	0	none given	0	
15	110	30	0	0	£30	7200	
15	111	20	0	0	£10 x2	4800	
15	112	0	0	0	none given	0	
15	113	30	0	0	£30	7200	
15	114	30	0	0	£10 x3	7200	
15	115	0	0	0	none given	0	
15	116	0	0	0	none given	0	
15	117	5	0	0	£5	1200	
15	118	3	6	8	5 marks	800	
15	119	3	6	8	5 marks	800	
15	120	0	0	0	none given	0	
16	121	5	0	0	£5	1200	
16	122	5	0	0	£5	1200	
16	123	0	0	0	none given	0	
16	124	150	0	0	rated at £150	36000	
16	125	200	0	0	£200	48000	
16	126	8	0	0	£8 pa	1920	
16	127	66	13	4	£66 13s 4d	16000	
16	128	66	13	4	£66 13s 4d	16000	
16	129	120	0	0	£20 x6	28800	
16	130	100	0	0	£100	24000	
16	131	110	0	0	£110	26400	
16	132	400	0	0	£400	96000	
16	133	200	0	0	£200	48000	
16	134	10	0	0	£10	2400	
16	135	50	0	0	£50	12000	
16	136	66	13	4	£66 13s 4d	16000	
16	137	40	0	0	£40	9600	
16	138	60	0	0	£60	14400	
16	139	80	0	0	£80	19200	
16	140	20	0	0	£20	4800	
16	141	15	0	0	£15	3600	
16	142	66	13	4	£66 13s 4d	16000	
16	143	5	0	0	£5	1200	
16	144	10	0	0	£10	2400	
16	145	16	0	0	£4 x4	3840	
16	146	33	6	8	£33 6s 8d	8000	
16	147	5	0	0	£5	1200	
16	148	0	20	0	20s	240	
16	149	0	20	0	20s	240	
16	150	10	0	0	£10	2400	
16	151	0	40	0	40s	480	
16	152	0	40	0	402	480	
16	153	0	40	0	40s	480	
16	154	10	0	0	£5 X2	2400	
16	155	60	0	0	£60	14400	
16	156	150	0	0	£150	36000	
16	157	10	0	0	£10	2400	
16	158	10	0	0	£10	2400	
16	159	0	0	0	20 x?	0	
16	160	0	40	0	40s	480	
16	161	20	0	0	£20	4800	
16	162	0	20	0	20s	240	
16	163	6	13	4	£6 13s 4d	1600	
16	164	8	0	0	£8	1920	
16	165	2	0	0	£2	480	
16	166	2	0	0	£2	480	bequest in margin
16	167	0	40	0	402	480	
16	168	0	40	0	40s	480	
16	169	1	13	4	£1 13s 4d	400	
16	170	0	40	0	40s	480	
16	171	75	0	0	£75	18000	
16	172	0	0	0	none given	0	
16	173	0	0	0	none given	0	
16	174	0	0	0	none given	0	
16	175	0	0	0	none given	0	
16	176	0	0	0	none given	0	
16	177	0	0	0	none given	0	
16	178	0	0	0	none given	0	
16	179	0	0	0	none given	0	
16	180	0	0	0	none given	0	
16	181	0	0	0	none given	0	
16	182	0	0	0	none given	0	
16	183	0	0	0	none given	0	
16	184	0	0	0	none given	0	
16	185	0	0	0	none given	0	
16	186	0	0	0	none given	0	
16	187	0	0	0	none given	0	
16	188	0	0	0	none given	0	
16	189	0	0	0	none given	0	
16	190	0	0	0	none given	0	
16	191	0	0	0	none given	0	
17	192	0	0	0	none given	0	
17	193	0	0	0	none given	0	
17	194	1500	0	0	£1500	360000	
17	195	500	0	0	£500	120000	
17	196	500	0	0	£500	120000	
17	197	0	0	0	none given	0	
17	198	75	0	0	£5 + £20 + £20 + £30	18000	
17	199	10	0	0	£10	2400	
17	200	5	0	0	£5	1200	
17	201	5	0	0	£5	1200	
17	202	5	0	0	£5	1200	
17	203	20	0	0	£5 x4	4800	
17	204	15	0	0	£5 x3	3600	
17	205	0	0	0	£5 x?	0	
17	206	10	0	0	£10	2400	
17	207	5	0	0	£5	1200	
17	208	500	0	0	£500	120000	
17	209	0	0	0	none given	0	
17	210	0	0	0	none given	0	
17	211	0	0	0	none given	0	
17	212	0	0	0	none given	0	
17	213	0	0	0	none given	0	
17	214	0	0	0	none given	0	
17	215	0	0	0	none given	0	
18	216	50	0	0	£50	12000	
18	217	0	0	0	none given	0	
18	218	0	0	0	none given	0	
18	219	0	10	0	10s	120	
18	220	0	0	0	none given	0	
18	221	0	20	0	20s	240	
18	222	6	10	0	£6 10s	1560	
18	223	0	0	0	none given	0	
18	224	0	0	0	none given	0	
18	225	0	20	0	20s	240	
18	226	0	0	0	none given	0	
18	227	0	0	0	none given	0	
18	228	0	0	0	none given	0	
18	229	0	0	0	none given	0	
18	230	0	0	0	none given	0	
18	231	0	0	0	various pensions and annuities	0	
18	232	0	0	0	none given	0	
18	233	0	0	0	none given	0	
18	234	0	0	0	various annuities	0	
18	235	0	0	0	£4 annuity	0	
18	236	0	0	0	20s +? X 5	0	
18	237	0	0	0	10s pa	0	
20	238	0	20	0	20s	240	
20	239	2	0	0	6s 8d x6	480	
20	240	0	40	0	40s	480	
20	241	0	0	0	none given	0	
20	242	0	0	0	200 marks plus lots prop	0	
20	243	11	0	0	£11 (or as much as it may)	2640	
20	244	0	0	0	none given	0	
20	245	0	0	0	none given	0	
20	246	200	0	0	£200	48000	
20	247	3	6	8	5 marks	800	
20	248	0	0	0	none given	0	
20	249	0	0	0	none given	0	
20	250	0	0	0	none given	0	
20	251	0	0	0	none given	0	
20	252	0	0	0	none given	0	
20	253	0	0	0	none given	0	
20	254	0	0	0	none given	0	
20	255	0	0	0	none given	0	
20	256	0	20	0	20s	240	
20	257	0	6	8	6s 8d	80	
20	258	0	0	0	6s 8d per yard	0	
20	259	0	0	0	6s 8d per yard	0	
20	260	0	0	0	5s per yard	0	
20	261	0	0	0	none given	0	
20	262	0	0	0	40s + black gown worth 6s 8d per yard x2	0	
20	263	0	0	0	40s + black gown worth 6s 8d per yard	0	
21	264	0	0	0	none given	0	
21	265	0	0	0	none given	0	
21	266	0	0	0	none given	0	
21	267	0	10	0	10s	120	
21	268	0	10	0	5s x2	120	
21	269	6	0	0	£6	1440	
21	270	0	0	0	8d x?	0	
21	271	0	0	0	12d x?	0	
21	272	0	0	0	none given	0	
21	273	40	0	0	£40	9600	
21	274	20	0	0	£20	4800	
21	275	10	0	0	£10	2400	
21	276	0	0	0	none given	0	
21	277	20	0	0	£10 x 2	4800	
21	278	5	0	0	£5	1200	
21	279	5	0	0	£5	1200	
21	280	0	0	0	20s +?	0	
21	281	0	0	0	none given	0	
21	282	0	20	0	20s	240	
21	283	0	40	0	40s	480	
21	284	0	0	0	20s +?	0	
21	285	0	12	0	12s	144	
21	286	5	0	0	£5	1200	
21	287	0	0	0	none given	0	
21	288	0	0	0	none given	0	
21	289	0	0	0	none given	0	
21	290	0	0	0	none given	0	
21	291	12	0	0	£12	2880	
21	292	6	13	4	£3 6s 8d x2	1600	
22	293	0	0	0	none given	0	
22	294	0	0	0	none given	0	
22	295	5	0	0	£5	1200	
22	296	0	0	0	none given	0	
22	297	4	0	0	£4	960	
22	298	5	0	0	£5	1200	
22	299	0	40	0	40s	480	
22	300	6	6	8	£3 3s 4d (sic) x2	1520	
22	301	0	0	0	none given	0	
22	302	0	40	0	40s	480	
22	303	0	40	0	40s	480	
22	304	0	0	0	40s +?	0	
22	305	0	40	0	40s	480	
22	306	3	0	0	£3	720	
22	307	0	40	0	40s	480	
22	308	0	0	0	none given	0	
22	309	0	0	0	none given	0	
22	310	0	40	0	40s	480	
22	311	0	40	0	40s	480	
22	312	0	0	0	none given	0	
22	313	0	0	0	none given	0	
22	314	0	0	0	none given	0	
22	315	0	0	0	£5 +? X4	0	
22	316	0	0	0	none given	0	
23	317	0	0	0	£5 +?	0	
23	318	0	0	0	none given	0	
23	319	0	0	0	£10 +?	0	
23	320	0	0	0	£5 +?	0	
23	321	5	0	0	£5	1200	
23	322	0	0	0	£5 +?	0	
23	323	0	0	0	none given	0	
23	324	5	0	0	£5	1200	
23	325	0	0	0	£20 +?	0	
23	326	0	0	0	40s +?	0	
23	327	6	13	4	£3 6s 8d x2	1600	
23	328	5	0	0	£5	1200	
23	329	0	0	0	40s +?	0	
23	330	40	0	0	£40	9600	
23	331	30	0	0	£30	7200	
23	332	30	0	0	£30	7200	
23	333	0	0	0	none given	0	
23	334	0	0	0	40s x?	0	
23	335	0	40	0	40s	480	
23	336	0	20	0	20s	240	
23	337	0	20	0	20s	240	
23	338	0	20	0	20s	240	
23	339	0	80	0	40s x2	960	
23	340	0	40	0	40s	480	
23	341	0	40	0	40s	480	
23	342	0	40	0	40s	480	
23	343	0	0	0	40s +?	0	
23	344	0	0	0	20s +?	0	
23	345	0	0	0	10s x?	0	
23	346	0	0	0	none given	0	
23	347	0	0	0	none given	0	
23	348	0	0	0	none given	0	
23	349	0	0	0	none given	0	
24	350	0	0	0	none given	0	
24	351	0	0	0	£40 +?	0	
24	352	10	0	0	£10	2400	
24	353	40	0	0	£40	9600	
24	354	13	6	8	£3 6s 8d x4	3200	
24	355	16	13	4	£3 6s 8d x5	4000	
24	356	0	40	0	40s	480	
24	357	7	0	0	£7	1680	
24	358	14	0	0	£14	3360	
24	359	0	0	0	none given	0	
24	360	4	0	0	£4	960	
24	361	0	40	0	40s	480	
24	362	0	40	0	20s + 20s	480	
24	363	3	6	8	£3 6s 8d	800	
24	364	3	6	8	£3 6s 8d	800	
24	365	3	6	8	£3 6s 8d	800	
24	366	10	0	0	£10	2400	
24	367	0	0	0	none given	0	
24	368	5	0	0	£5	1200	
25	369	0	0	0	none given		
25	370	3	6	8	£3 6s 8d	800	
25	371	0	0	0	none given	0	
25	372	6	13	4	£6 13s 4d	1600	
25	373	6	13	4	£6 13s 4d	1600	
25	374	6	13	4	£6 13s 4d	1600	
25	375	53	6	8	£6 13s 4d x 8	12800	
25	376	3	0	0	£3	720	
25	377	0	94	0	30s + 20s + 44s	1128	
25	378	0	0	0	none given		
25	379	150	0	0	£150	36000	
25	380	0	0	0	none given		
25	381	0	0	0	none given		
25	382	0	0	0	none given		
25	383	0	0	0	none given		
25	384	0	0	0	none given		
25	385	0	0	0	none given		
25	386	0	0	0	none given		
25	387	0	0	0	none given		
25	388	6	0	0	40s x 3	1440	
25	389	3	6	8	£3 6s 8d	800	
25	390	0	0	0	none given		
25	391	0	6	8	6s 8d	80	
25	392	0	0	0	6s 8d + ?	0	
25	393	0	20	0	20s	240	
25	394	0	30	0	30s	360	
25	395	0	20	0	20s	240	
25	396	0	40	0	40s	480	
25	397	0	30	0	30s	360	
25	398	0	40	0	40s	480	
25	399	0	0	0	40s x?	0	
25	400	0	12	0	12s	144	
25	401	0	6	8	6s 8d	80	
25	402	3	6	8	£3 6s 8d	800	
25	403	0	0	0	none given		
25	404	0	0	0	£20 x2  + ?		
25	405	6	13	4	£6 13s 4d	1600	
25	406	0	0	0	none given	0	
26	407	0	5	0	5s	60	
26	408	0	6	8	6s 8d	80	
26	409	0	5	0	5s	60	
26	410	0	20	0	20s	240	
26	411	0	20	0	20s	240	
26	412	0	40	0	40s	480	
26	413	10	0	0	£10	2400	
26	414	50	0	0	£50	12000	
26	415	50	0	0	£50	12000	
26	416	10	0	0	£10	2400	
26	417	16	0	0	£16	3840	
26	418	0	0	0	£5 + ?		
26	419	4	0	0	£4	960	
26	420	3	0	0	£3	720	
