event_id	event_date	parish	event	unrelated_memo	marriage_authorisation	licence_issuer	memo	marriage_location	reg_order_num
94	8/10/1538 00:00:00	All Hallows Honey Lane	Baptism	"Memorandum: That this boke began the iiij Day of October 1538 in the xxx yere of ye rayne of our soverane lord Kynge Henry the VIII. beinge then churchwardens Wyllyam Prat Grocer, & William Hancockes of the Gote vyntener"					1000
95	9/10/1538 00:00:00	All Hallows Honey Lane	Baptism						2000
96	2/12/1538 00:00:00	All Hallows Honey Lane	Baptism						3000
97	6/3/1538 00:00:00	All Hallows Honey Lane	Baptism						4000
98	16/5/1539 00:00:00	All Hallows Honey Lane	Baptism						5000
99	8/1/1539 00:00:00	All Hallows Honey Lane	Baptism						6000
100	30/8/1539 00:00:00	All Hallows Honey Lane	Baptism						7000
101	10/9/1539 00:00:00	All Hallows Honey Lane	Baptism						8000
102	14/10/1538 00:00:00	All Hallows Honey Lane	Burial	Memorandum that this boke began the iiij day of October 1538 in ye xxx yere of our soverayghne lord Kinge Henry the viij. Then beinge parson Sr Thomas Garret & churchwardens Willyam Prat groser & Willyam Hancockes vyntener 1538.					9000
103	11/11/1538 00:00:00	All Hallows Honey Lane	Burial						10000
104	2/12/1538 00:00:00	All Hallows Honey Lane	Burial						11000
105	19/5/1539 00:00:00	All Hallows Honey Lane	Burial						12000
106	22/5/1539 00:00:00	All Hallows Honey Lane	Burial						13000
107	14/9/1539 00:00:00	All Hallows Honey Lane	Burial						14000
108	14/10/1539 00:00:00	All Hallows Honey Lane	Burial						15000
109	5/6/1540 00:00:00	All Hallows Honey Lane	Burial						16000
110	12/10/1540 00:00:00	All Hallows Honey Lane	Burial						17000
111	27/10/1540 00:00:00	All Hallows Honey Lane	Burial						18000
112	10/8/1546 00:00:00	All Hallows Honey Lane	Marriage	M' that maryage began in the yere of our lorde 1546.					19000
113	21/11/1546 00:00:00	All Hallows Honey Lane	Marriage						20000
114	5/6/1547 00:00:00	All Hallows Honey Lane	Marriage						21000
115	12/6/1547 00:00:00	All Hallows Honey Lane	Marriage						22000
116	12/6/1547 00:00:00	All Hallows Honey Lane	Marriage						23000
117	14/8/1547 00:00:00	All Hallows Honey Lane	Marriage						24000
118	4/9/1547 00:00:00	All Hallows Honey Lane	Marriage						25000
119	23/1/1547 00:00:00	All Hallows Honey Lane	Marriage						26000
120	16/9/1548 00:00:00	All Hallows Honey Lane	Marriage						27000
121	14/10/1548 00:00:00	All Hallows Honey Lane	Marriage						28000
122	27/5/1549 00:00:00	All Hallows Honey Lane	Marriage						29000
123	20/8/1549 00:00:00	All Hallows Honey Lane	Marriage				no bride given		30000
124	12/1/1550 00:00:00	All Hallows Honey Lane	Marriage				Date: 1549 old style?		31000
125	10/1/1551 00:00:00	All Hallows Honey Lane	Marriage				Date: presumably 1550 old style from order of reg		32000
126	14/1/1551 00:00:00	All Hallows Honey Lane	Marriage				Date: presumably 1550 old style from order of reg		33000
127	19/1/1551 00:00:00	All Hallows Honey Lane	Marriage				Date: presumably 1550 old style from order of reg		34000
128	3/5/1551 00:00:00	All Hallows Honey Lane	Marriage						35000
129	7/2/1552 00:00:00	All Hallows Honey Lane	Marriage				Date: presumably 1551 old style from order of reg		36000
130	13/2/1552 00:00:00	All Hallows Honey Lane	Marriage				Date: presumably 1551 old style from order of reg		37000
131	24/5/1552 00:00:00	All Hallows Honey Lane	Marriage						38000
134	12/2/1552 00:00:00	All Hallows Honey Lane	Marriage						39000
135	11/5/1553 00:00:00	All Hallows Honey Lane	Marriage						40000
142	14/9/1539 00:00:00	All Hallows Honey Lane	Baptism						42000
143	24/9/1539 00:00:00	All Hallows Honey Lane	Baptism						43000
144	11/10/1539 00:00:00	All Hallows Honey Lane	Baptism						44000
145	14/3/1539 00:00:00	All Hallows Honey Lane	Baptism						45000
146	16/4/1541 00:00:00	All Hallows Honey Lane	Burial						46000
147	20/5/1541 00:00:00	All Hallows Honey Lane	Burial						47000
148	6/2/1541 00:00:00	All Hallows Honey Lane	Burial						48000
149	7/3/1541 00:00:00	All Hallows Honey Lane	Burial						49000
150	19/3/1541 00:00:00	All Hallows Honey Lane	Burial						50000
151	4/10/1542 00:00:00	All Hallows Honey Lane	Burial						51000
152	21/1/1542 00:00:00	All Hallows Honey Lane	Burial						52000
153	20/5/1543 00:00:00	All Hallows Honey Lane	Burial						53000
154	24/7/1543 00:00:00	All Hallows Honey Lane	Burial						54000
155	10/8/1543 00:00:00	All Hallows Honey Lane	Burial						55000
156	10/8/1543 00:00:00	All Hallows Honey Lane	Burial						56000
157	10/8/1543 00:00:00	All Hallows Honey Lane	Burial						57000
158	13/8/1543 00:00:00	All Hallows Honey Lane	Burial						58000
159	20/8/1543 00:00:00	All Hallows Honey Lane	Burial						59000
160	21/8/1543 00:00:00	All Hallows Honey Lane	Burial						60000
161	26/8/1543 00:00:00	All Hallows Honey Lane	Burial						61000
162	26/8/1543 00:00:00	All Hallows Honey Lane	Burial						62000
163	3/9/1543 00:00:00	All Hallows Honey Lane	Burial	"HR footnote: ""It should be observed that there is no record for eleven years"" [after this Sep 1543 burial at All Hallows]"					63000
164	24/9/1554 00:00:00	All Hallows Honey Lane	Burial						64000
165	15/10/1554 00:00:00	All Hallows Honey Lane	Burial						65000
166	7/10/1555 00:00:00	All Hallows Honey Lane	Burial						66000
167	13/10/1555 00:00:00	All Hallows Honey Lane	Burial						67000
168	16/8/1556 00:00:00	All Hallows Honey Lane	Burial						68000
169	19/9/1556 00:00:00	All Hallows Honey Lane	Burial						69000
170	1/10/1556 00:00:00	All Hallows Honey Lane	Burial						70000
171	15/4/1557 00:00:00	All Hallows Honey Lane	Burial						71000
172	29/5/1557 00:00:00	All Hallows Honey Lane	Burial						72000
173	30/4/1558 00:00:00	All Hallows Honey Lane	Burial						73000
174	3/5/1558 00:00:00	All Hallows Honey Lane	Burial						74000
175	10/5/1558 00:00:00	All Hallows Honey Lane	Burial						75000
176	4/7/1558 00:00:00	All Hallows Honey Lane	Burial						76000
177	2/8/1558 00:00:00	All Hallows Honey Lane	Burial						77000
178	23/8/1558 00:00:00	All Hallows Honey Lane	Burial	"The Partchment Booke Began heere HR comment: ""This Parchment Register cannot now be traced"""					78000
179	7/12/1558 00:00:00	All Hallows Honey Lane	Burial						79000
180	26/11/1559 00:00:00	All Hallows Honey Lane	Burial				Entries for 1559-1561 are in a very mixed-up order; perhaps the dating is incorrect (i.e. a confusion between old and new style dating) but there is no obvious solution.		80000
181	30/1/1559 00:00:00	All Hallows Honey Lane	Burial						81000
182	8/9/1559 00:00:00	All Hallows Honey Lane	Burial						82000
183	26/9/1559 00:00:00	All Hallows Honey Lane	Burial						83000
184	20/12/1559 00:00:00	All Hallows Honey Lane	Burial						84000
185	6/1/1560 00:00:00	All Hallows Honey Lane	Burial						85000
186	18/6/1560 00:00:00	All Hallows Honey Lane	Burial						86000
187	3/7/1561 00:00:00	All Hallows Honey Lane	Burial						87000
188	18/12/1561 00:00:00	All Hallows Honey Lane	Burial						88000
189	18/12/1561 00:00:00	All Hallows Honey Lane	Burial						89000
190	27/10/1561 00:00:00	All Hallows Honey Lane	Burial						90000
191	15/5/1562 00:00:00	All Hallows Honey Lane	Burial						91000
192	3/2/1562 00:00:00	All Hallows Honey Lane	Burial						92000
193	18/4/1563 00:00:00	All Hallows Honey Lane	Burial						93000
194	27/8/1563 00:00:00	All Hallows Honey Lane	Burial						94000
195	4/9/1563 00:00:00	All Hallows Honey Lane	Burial						95000
196	5/9/1563 00:00:00	All Hallows Honey Lane	Burial						96000
197	6/9/1563 00:00:00	All Hallows Honey Lane	Burial						97000
198	8/9/1563 00:00:00	All Hallows Honey Lane	Burial						98000
