bmb_indiv_junction_id	pid	event_id	stated_sex
1	14302	172	wife
2	14303	173	unstated
3	14304	174	unstated
4	14305	175	unstated
5	14306	176	unstated
6	14307	177	unstated
7	14308	178	unstated
8	14309	179	son
9	14310	180	unstated
10	14311	181	unstated
11	14312	182	unstated
12	14313	183	unstated
13	14314	184	unstated
14	14315	185	unstated
15	14316	186	unstated
16	14317	187	unstated
17	14318	188	unstated
18	14319	189	unstated
19	14320	190	daughter
20	14321	191	unstated
21	14322	192	unstated
22	14323	193	unstated
23	14324	194	unstated
24	14325	195	unstated
25	14326	196	unstated
26	14327	197	unstated
27	14328	198	daughter
28	14329	199	daughter
29	14330	200	unstated
30	14331	201	daughter
31	14332	202	unstated
32	14333	203	unstated
33	14334	204	daughter
34	14335	205	unstated
35	14336	206	daughter
36	14211	94	son
37	14212	95	daughter
38	14213	96	son
39	14214	97	daughter
40	14215	98	daughter
41	14216	99	son
42	14217	100	son
43	14218	101	daughter
44	14219	102	son
45	14220	103	unstated
46	14221	104	unstated
47	14222	105	unstated
48	14223	106	unstated
49	14224	107	daughter
50	14225	108	unstated
51	14226	109	unstated
52	14227	110	unstated
53	14228	111	unstated
54	14229	112	unstated
55	14230	112	unstated
56	14231	113	unstated
57	14232	113	unstated
58	14233	114	unstated
59	14234	114	unstated
60	14235	115	unstated
61	14236	115	unstated
62	14237	116	unstated
63	14238	116	unstated
64	14239	117	unstated
65	14240	117	unstated
66	14241	118	unstated
67	14242	118	unstated
68	14243	119	unstated
69	14244	119	unstated
70	14245	120	unstated
71	14246	120	unstated
72	14247	121	unstated
73	14248	121	unstated
74	14249	122	unstated
75	14250	122	unstated
76	14251	123	unstated
77	14252	124	unstated
78	14253	124	unstated
79	14254	125	unstated
80	14255	125	unstated
81	14256	126	unstated
82	14257	126	unstated
83	14258	127	unstated
84	14259	127	unstated
85	14260	128	unstated
86	14261	128	unstated
87	14262	129	unstated
88	14263	129	unstated
89	14264	130	unstated
90	14265	130	unstated
91	14266	131	unstated
92	14267	131	unstated
93	14268	134	unstated
94	14269	134	unstated
95	14270	135	unstated
96	14271	135	unstated
97	14272	142	daughter
98	14273	143	son
99	14274	144	son
100	14275	145	son
101	14276	146	son
102	14277	147	daughter
103	14278	148	unstated
104	14279	149	unstated
105	14280	150	daughter
106	14281	151	unstated
107	14282	152	unstated
108	14283	153	unstated
109	14284	154	unstated
110	14285	155	unstated
111	14286	156	unstated
112	14287	157	unstated
113	14288	158	unstated
114	14289	159	unstated
