docid	buriedplacetype	buriedplace	buriednotes
2		wherever	
3	parish church	in parish church All Hallows Honey Lane at discretion of execs	
4	church	in the parish church of st vedast london	
6	church or chyard	in ch or cyard	doesn't say which parish
11	church	in the ch of AHHL at discretion of execs	
12	wherever	to be buried wherever	
13	parish church	in parish church of AHHL - as close to where his daughter is buried as possible	
14	wherever	wherever test's wife decrees, and she to decide upon funeral	
15	parish church	xian burial in St Giles Church without Cripplegate London near father and mother as convenient; for funeral - not to cost more than £100, of which a reasonable part is to go to the poor	
16	wherever	to be buried wherever; if he dies in London then to be buried in Aldermary parish	
17	wherever	to be buried wherever his execs think fit	
18	AH Bread St	to be decently buried in the night or afternoon in parish ch of AH Bread St London, near the grave where 1st wife is buried if he dies in Lodon or within 10miles; over the grave hangs a Branch of Brass given by test to that church;	
20	cyard	cyard AHHL; some details of funeral	
21	company chapel	buried in mercer's chapel in London at the discretion of the execs	
22	wherever	buried wherever	
23	parish church	in AHHL parish ch	
24	churchyard	buried church yard of parish church of AHHL	
26	parish church	buried in parish ch of St Bartholomew the little in the ward of Bread street before my pew there; wants epitaph on the pillar before the grave	
27		funeral to be at discretion of execs	
31	parish ch	in parish church of St Leonards upon New Fish Street Hill, or at execes discretion	
34		in church of St Thomas at Acres beside the great conduit in Cheap in London in a convenient place there	
35	wherever	to be buried where execs deem fit; naplis, Biskett, Mackyneroodes and wine be spent at burial, but nothing else	
37		body committed to the earth or the sea as god wills it	
39		at discretion of execs and super	
40		wants decent burial	
41		to be buried at discretion of execs: not to exceed £20 or £25 in cost	
42		decent burial in hope of resurrection	
43		buried at discretion of execs	
45		in chancel of AHHl church near to late wife	
46		buried in parish church of AHHL in the chancel as near his own pew as possible	
47		at discretion of execs	
48		burial at discretion of execs	
49		discretion of execs	
50		buried at execs discretion in expectation of resurrection on the final day	
343	parish ch	in Bow church	
362	chancel vault	chancel vault of St Mildred Poultry	burial to take place late in the evening and at least cost
