docid	type	archive	Item	reference	dateday	datemonth	dateyear	periodstart	periodend	msdate	probateday	probatemonth	probateyear	msprobate	language	notes
1	will	pro	will	prob 11/25/290	17	10	1536				10	11	1536		English	revokes previous wills
2	will	pro	will	prob 11/51/4	5	1	1568				18	1	1568		English	
3	will	pro	will	prob 11/53/123v	28	1	1570				10	4	1571		English	
4	will	pro	will	prob 11/50/65	19	4	1568					5	1568	[blank] day of may 1568	English	
5	will	pro	will	prob 11/66/28v	27	9	1583				1	10	1583		English	nuncupative
6	will	pro	will	prob 11/31/109	2	5	1546				15	7	1546		English	
7	sentence	pro	sentence	prob 11/85/197	31	5	1595					0	0		Latin	
8	sentence	pro	sentence	prob 11/117/?	4	5	1611					0	0		Latin	
9	sentence	pro	sentence	prob 11/119/?	26	6	1612					0	0		Latin	
10	sentence	pro	sentence	prob 11/206/23	22	11	1648					0	0		Latin	
11	will	pro	will	prob 11/28/69v	5	6	1540				21	7	1540		English	revokes previous wills
12	will	pro	will	prob 11/34/171	9	7	1551			+ 5Ed6	22	8	1551		English	
13	will	pro	will	prob 11/31/368	1	10	1547				8	10	1547		English	
14	will	pro	will	prob 11/123/165	18	2	1613				17	3	1613		English	pcc wills index says probate is 1614; revokes previous wills
15	will	pro	will	prob 11/133/282	9	5	1618				1	4	1619		English	will written in own hand
16	will	pro	will	prob 11/116/206	21	6	1610				29	9	1610		English	a draught of my last will as I do now intend it; running total of all sums in margin of f.206v; will written in own hand; "overseers of this my will which I had allmost forgott"
17	will	pro	will	prob 11/205/183	12	11	1647			+  23CH	12	8	1648		English	revokes previous wills; 8 sheets of paper
18	will	pro	will	prob 11/200/185v	31	10	1646			+ 22CH	29	5	1647		English	revokes previous wills; will is 11 sheets of paper, and test has inscribed and sealed ea sheet
19	sentence	pro	sentence	prob 11/200/376v	29	5	1647					0	0		Latin	
20	will	pro	will	prob 11/25/141	23	9	1534				23	11	1534		English	after death execs to taks into possession immediately all docs, and all cash and 2 horses
21	will	pro	will	prob 11/37/167	24	7	1554				10	4	1555		English	revokes previous wills
22	will	pro	will	prob 11/39/264v	20	11	1554				26	9	1557		English	test makes his children execs of will, even though they are under age; revokes previous wills
23	will	pro	will	prob 11/50/55	9	12	1567				12	4	1568		English	if execs don't prove the will within 10 days of death, then supers to become execs
24	will	pro	will	prob 11/31/17v	10	1	1545				26	1	1546		English	revokes previous wills
25	will	pro	will	prob 11/23/186	19	7	1528				2	12	1530		English	the whole will is addressed in 2nd person to pid455, who is threatened with damnation if he doesn't fulfill it; asks for forgiveness of sins at various points; will written in own hand and sealed; see non-will entry for inventory
26	will	pro	will	prob 11/40/100v	15	2	1557				21	3	1558	1557 crossed out	English	witnessed on 16/2
27	will	pro	will	prob 11/62/213	26	8	1576				6	7	1580		English	
28	will	pro	will	prob 11/91/220v		0	0				25	4	1598		English	no date given: was still alive in 1597 (according to gaz); will written on 4 sheets
29	will	pro	will	prob 11/94/115	21	4	1599				19	7	1599		English	revokes previous wills
30	will	pro	will	prob 11/27/106	16	10	1537				31	1	1538	15/1/1537	English	
31	will	pro	will	prob 11/118/315	30	7	1611			+ 45Ja	2	11	1611		English	all bequests not therwise specified to be made within 2 yrs; will has 8 sheets and a few lines, ea of which have been signed and sealed; a memorandum added: beqid615 ff
