ind_age_mar_stat_id	pid	agemaritalstatus
1	1	childrenminor
2	1	married
3	1	hasservant
4	2	childrenminor
5	2	married
6	4	married
7	5	married
8	9	childrenminor
9	11	minor
10	11	livingparent
11	11	single
12	12	isservant
13	19	hasservant
14	19	married
15	19	children
16	20	married
17	21	livingparent
18	22	livingparent
19	23	livingparent
20	25	isservant
21	25	married
22	26	married
23	29	married
24	29	children
25	31	married
26	34	married
27	34	children
28	35	married
29	35	children
30	36	married
31	37	married
32	41	sibling
33	46	sibling
34	47	married
35	47	sibling
36	48	married
37	48	uncleaunt
38	51	niecenephew
39	52	married
40	52	isdead
41	53	widow
42	58	isdead
43	59	isdead
44	60	adult children
45	60	married
46	60	isdead
47	61	livingparent
48	61	sibling
49	62	widow
50	63	livingparent
51	63	sibling
52	64	livingparent
53	64	sibling
54	65	married
55	65	livingparent
56	65	sibling
58	66	childrenminor
59	66	married
60	66	siblingadultchild
61	66	siblingminorchild
62	66	hasapprentice
63	66	niecenephew
64	68	married
65	68	pregnant
66	69	minor
67	69	livingparent
68	69	sibling
69	69	single
70	70	minor
71	70	livingparent
72	70	sibling
73	71	minor
74	71	livingparent
75	71	sibling
76	72	minor
77	72	livingparent
78	72	sibling
79	72	single
80	73	livingparent
81	73	sibling
82	73	single
83	73	unborn
84	74	married
85	74	children
86	75	married
87	75	children
88	76	livingparent
89	76	single
90	77	married
91	77	children
92	78	married
93	78	children
94	79	married
95	79	children
96	86	married
97	87	married
98	88	married
99	89	married
100	94	livingparent
101	94	sibling
102	94	hasservant
103	95	children
104	96	livingparent
105	97	sibling
106	98	sibling
107	99	sibling
108	103	younger
109	110	childrenminor
110	110	hasservant
111	110	married
112	110	sibling
113	110	hasapprentice
114	110	deadchild
115	112	minor
116	112	livingparent
117	112	sibling
118	112	single
119	113	minor
120	113	livingparent
121	113	sibling
122	113	single
123	114	minor
124	114	livingparent
125	114	sibling
126	114	single
127	115	children
128	116	minor
129	116	single
130	118	sibling
131	118	children
132	119	sibling
133	119	children
134	120	children
135	121	isservant
136	128	married
137	128	children
138	131	livingparent
139	133	livingparent
140	136	adult children
141	136	grandchildren
142	136	married
143	136	sibling
144	137	adult children
145	137	grandchildren
146	138	livingparent
147	139	married
148	139	livingparent
149	139	children
150	140	livingparent
151	140	children
152	141	married
153	141	children
154	143	livingparent
155	144	livingparent
156	145	livingparent
157	146	livinggrandparent
158	146	livingparent
159	146	sibling
160	147	livinggrandparent
161	147	livingparent
162	147	sibling
163	148	livinggrandparent
164	148	livingparent
165	148	sibling
166	149	livinggrandparent
167	149	livingparent
168	149	sibling
169	154	hasservant
170	154	married
171	154	sibling
172	154	siblingchildren
173	157	sibling
174	158	sibling
175	159	married
176	159	sibling
177	159	children
178	160	sibling
179	160	uncleaunt
180	161	sibling
181	161	uncleaunt
182	162	sibling
183	162	uncleaunt
184	163	sibling
185	163	uncleaunt
186	164	sibling
187	164	uncleaunt
188	165	sibling
189	165	uncleaunt
190	166	sibling
191	166	uncleaunt
192	167	children
193	167	isdead
194	168	married
195	168	sibling
196	168	uncleaunt
197	169	married
198	170	married
199	172	married
200	174	children
201	175	sibling
202	176	sibling
203	179	children
204	179	isdead
205	188	isservant
206	189	isservant
207	194	married
208	195	isservant
209	196	isservant
210	199	married
211	204	married
212	205	married
213	206	married
214	207	married
215	208	married
216	209	married
217	210	widow
218	213	married
219	219	adult children
220	219	grandchildren
221	219	married
222	219	children
223	223	sibling
224	224	childrenminor
225	224	married
226	224	sibling
227	225	sibling
228	226	sibling
229	227	childrenminor
230	227	married
231	227	sibling
232	236	adult children
233	243	childrenminor
234	243	married
235	243	isdead
236	244	childrenminor
237	244	widower
238	245	livinggrandparent
239	245	minor
240	245	sibling
241	245	single
242	246	livinggrandparent
243	246	minor
244	246	sibling
245	246	single
246	247	livinggrandparent
247	247	minor
248	247	sibling
249	247	single
250	248	livinggrandparent
251	248	minor
252	248	livingparent
253	248	sibling
254	249	livinggrandparent
255	249	minor
256	249	livingparent
257	249	sibling
258	249	single
259	252	isdead
260	253	childrenminor
261	253	married
262	257	adult children
263	257	grandchildren
264	257	hasservant
265	257	sibling
266	257	siblingchildren
267	258	married
268	259	children
269	260	sibling
270	261	sibling
271	264	minor
272	264	sibling
273	265	minor
274	265	sibling
275	268	sibling
276	269	children
277	270	minor
278	270	sibling
279	271	minor
280	271	sibling
281	272	minor
282	272	sibling
283	273	married
284	273	children
285	274	married
286	274	children
287	279	sibling
288	279	children
289	280	sibling
290	281	sibling
291	282	sibling
292	283	children
293	283	isdead
294	284	sibling
295	285	sibling
296	286	married
297	286	children
298	287	isdead
299	288	isdead
300	289	isservant
301	295	senior
302	296	isdead
303	297	childrenminor
304	297	hasservant
305	297	married
306	297	sibling
307	305	childrenminor
308	305	multimarriage
309	306	minor
310	306	livingparent
311	307	sibling
312	309	minor
313	309	livingparent
314	309	sibling
315	310	minor
316	310	livingparent
317	310	sibling
318	311	minor
319	311	livingparent
320	311	sibling
321	314	married
322	318	isservant
323	320	married
324	321	married
325	322	married
326	323	married
327	324	married
328	326	hasservant
329	326	married
330	332	widow
331	333	widow
332	336	isservant
333	338	adult children
334	339	livingparent
335	340	married
336	341	married
337	349	childrenminor
338	349	hasservant
339	349	married
340	349	siblingminorchild
341	351	minor
342	351	livingparent
343	351	sibling
344	351	single
345	352	minor
346	352	livingparent
347	352	sibling
348	352	single
349	354	isservant
350	359	married
351	360	married
352	363	childrenminor
353	364	minor
354	364	livingparent
355	364	sibling
356	364	single
357	365	minor
358	365	livingparent
359	365	sibling
360	365	single
361	367	married
362	368	married
363	369	isservant
364	372	isservant
365	376	widow
366	379	children
367	380	livingparent
368	385	adult children
369	385	hasservant
370	385	widow
371	385	hasapprentice
372	385	hasgodchildren
373	386	married
374	386	children
375	387	married
376	387	children
377	388	livingparent
378	391	married
379	392	married
380	394	children
381	396	married
382	396	children
383	397	married
384	398	minor
385	398	livingparent
386	398	sibling
387	398	single
388	399	minor
389	399	livingparent
390	399	sibling
391	399	single
392	401	married
393	402	married
394	403	isapprentice
395	404	isservant
396	405	isservant
397	415	widow
398	416	widow
399	418	married
400	419	married
401	421	childrenminor
403	421	married
404	421	sibling
405	421	hasapprentice
406	421	niecenephew
407	422	married
408	423	minor
409	423	livingparent
410	423	sibling
411	423	single
412	424	minor
413	424	livingparent
414	424	sibling
415	424	single
416	425	minor
417	425	isillegitimate
418	426	sibling
419	427	childrenminor
420	427	sibling
421	427	isdead
422	428	minor
423	428	sibling
424	428	single
425	429	minor
426	429	sibling
427	429	single
428	430	minor
429	430	sibling
430	430	single
431	431	minor
432	431	sibling
433	431	single
434	432	childrenminor
435	433	minor
436	433	sibling
437	433	single
438	434	minor
439	434	sibling
440	434	single
441	435	minor
442	435	sibling
443	435	single
444	436	minor
445	436	sibling
446	436	single
447	437	minor
448	437	sibling
449	437	single
450	438	children
451	438	isdead
452	440	widow
453	441	sibling
454	442	isapprentice
455	446	sibling
456	446	single
457	448	isapprentice
458	453	childrenminor
459	453	hasservant
460	453	married
461	453	sibling
462	453	hasapprentice
463	455	isapprentice
464	456	married
465	457	minor
466	457	livingparent
467	460	minor
468	460	single
469	460	isapprentice
470	461	isapprentice
471	462	isapprentice
