ind_role_id	pid	role
1	1	test
2	2	recip
3	2	exec
4	2	family
5	3	recip
6	4	mention
7	5	recip
8	6	recip
9	7	recip
10	8	recip
11	9	family
12	10	recip
13	11	recip
14	12	recip
15	12	employee
16	14	recip
17	14	super
18	15	wit
19	16	wit
20	17	wit
21	18	wit
22	19	test
23	20	recip
24	20	exec
25	20	family
26	21	recip
27	21	family
28	22	recip
29	22	family
30	23	recip
31	23	family
32	24	recip
33	25	recip
34	25	servant
35	26	recip
36	27	wit
37	28	wit
38	29	test
39	30	recip
40	31	recip
41	31	exec
42	31	family
43	32	wit
44	33	wit
45	34	test
46	35	recip
47	35	exec
48	35	family
49	36	recip
50	36	family
51	37	recip
52	37	family
53	38	recip
54	38	family
55	39	recip
56	39	family
57	40	super
58	41	test
59	42	wit
60	43	wit
61	44	wit
62	45	recip
63	46	recip
64	46	exec
65	46	family
66	47	test
67	48	recip
68	48	exec
69	48	family
70	49	business
71	50	recip
72	50	family
73	50	debtor
74	51	super
75	52	test
76	53	family
77	54	exec
78	55	exec
79	56	exec
80	57	exec
81	58	test
82	59	test
83	60	test
84	61	exec
85	61	family
86	62	family
87	63	family
88	64	family
89	65	family
90	66	test
91	68	recip
92	68	exec
93	68	family
94	69	recip
95	69	family
96	70	recip
97	70	family
98	71	recip
99	71	family
100	72	recip
101	72	family
102	73	recip
103	73	family
104	74	recip
105	74	family
106	75	recip
107	75	family
108	76	recip
109	76	family
110	77	recip
111	77	family
112	78	recip
113	78	family
114	79	recip
115	79	family
116	80	recip
117	80	apprentice
118	81	recip
119	82	recip
120	82	wit
121	83	recip
122	84	recip
123	84	exec
124	84	friend
125	85	recip
126	86	recip
127	86	super
128	87	recip
129	87	super
130	88	recip
131	89	recip
132	90	wit
133	91	wit
134	92	wit
135	93	wit
136	94	test
137	95	recip
138	96	recip
139	97	recip
140	97	exec
141	97	family
142	98	recip
143	98	exec
144	98	family
145	99	recip
146	99	family
147	100	recip
148	101	recip
149	102	recip
150	103	recip
151	104	recip
152	104	creditor
153	105	recip
154	106	recip
155	106	wit
156	107	super
157	108	wit
158	109	wit
159	110	test
160	111	recip
161	111	family
162	112	recip
163	112	family
164	113	recip
165	113	family
166	114	recip
167	114	family
168	115	mention
169	116	recip
170	117	mention
171	118	family
172	119	family
173	120	recip
174	120	family
175	121	recip
176	122	recip
177	123	recip
178	123	exec
179	123	friend
180	124	recip
181	124	exec
182	124	friend
183	125	recip
184	125	wit
185	125	super
186	126	recip
187	127	recip
188	127	wit
189	128	test
190	129	recip
191	129	exec
192	129	family
193	130	business
194	131	recip
195	131	family
196	132	business
197	133	recip
198	133	family
199	134	wit
200	135	wit
201	136	test
202	137	recip
203	137	family
204	138	recip
205	138	exec
206	138	family
207	139	recip
208	139	family
209	140	recip
210	140	family
211	141	recip
212	141	family
213	142	family
214	143	recip
215	143	family
216	144	recip
217	144	family
218	145	recip
219	145	family
220	146	recip
221	146	family
222	147	recip
223	147	family
224	148	recip
225	148	family
226	149	recip
227	149	family
228	150	recip
229	150	family
230	151	recip
231	151	family
232	152	recip
233	153	recip
234	154	test
235	155	recip
236	155	exec
237	155	family
238	156	recip
239	156	family
240	157	recip
241	157	family
242	158	recip
243	158	family
244	159	family
245	160	recip
246	160	family
247	161	recip
248	161	family
249	162	recip
250	162	family
251	163	recip
252	163	family
253	164	recip
254	164	family
255	165	recip
256	165	family
257	166	recip
258	166	family
259	167	family
260	168	recip
261	168	family
262	168	debtor
263	169	family
264	169	debtor
265	170	recip
266	170	family
267	170	debtor
268	171	mention
269	172	recip
270	172	family
271	173	recip
272	174	business
273	175	recip
274	175	debtor
275	176	recip
276	177	recip
277	177	wit
278	177	creditor
279	178	recip
280	179	mention
281	180	recip
282	181	recip
283	182	recip
284	183	recip
285	184	recip
286	185	recip
287	185	business
288	186	recip
289	186	business
290	187	recip
291	188	recip
292	188	servant
293	189	recip
294	189	servant
295	190	recip
296	191	recip
297	192	recip
298	193	recip
299	194	recip
300	194	super
301	195	recip
302	195	servant
303	196	recip
304	196	servant
305	197	recip
306	198	recip
307	199	recip
308	199	family
309	200	recip
310	201	recip
311	202	recip
312	203	recip
313	204	recip
314	205	recip
315	206	recip
316	207	recip
317	208	recip
318	209	recip
319	210	recip
320	210	family
321	211	recip
322	212	recip
323	213	recip
324	214	recip
325	215	recip
326	216	recip
327	216	super
328	217	wit
329	218	wit
330	219	test
331	220	recip
332	220	family
333	221	family
334	221	business
335	222	business
336	223	recip
337	223	family
338	224	recip
339	224	family
340	225	recip
341	225	family
342	226	recip
343	226	family
344	227	recip
345	227	exec
346	227	family
347	228	recip
348	229	recip
349	230	recip
350	231	recip
351	232	recip
352	233	recip
353	234	recip
354	234	friend
355	235	recip
356	236	mention
357	237	recip
358	238	recip
359	239	recip
360	240	recip
361	241	recip
362	242	recip
363	243	family
364	244	family
365	245	recip
366	245	family
367	246	recip
368	246	family
369	247	recip
370	247	family
371	248	recip
372	248	family
373	249	recip
374	249	family
375	250	business
376	251	business
377	252	family
378	253	recip
379	253	family
380	254	wit
381	255	wit
382	256	wit
383	257	test
384	258	recip
385	258	family
386	259	family
387	260	recip
388	260	exec
389	260	family
390	261	recip
391	261	exec
392	261	family
393	262	recip
394	262	family
395	263	debtor
396	264	recip
397	264	family
398	265	recip
399	265	family
400	266	recip
401	266	super
402	267	recip
403	267	family
404	267	super
405	268	recip
406	268	family
407	269	family
408	270	recip
409	270	family
410	271	recip
411	271	family
412	272	recip
413	272	family
414	273	business
415	274	business
416	275	business
417	276	business
418	277	business
419	278	business
420	279	family
421	280	recip
422	280	family
423	281	recip
424	281	family
425	282	recip
426	282	family
427	283	family
428	284	recip
429	284	family
430	285	recip
431	285	family
432	286	family
433	287	mention
434	288	mention
435	289	super
436	289	servant
437	290	wit
438	291	wit
439	292	wit
440	293	wit
441	294	wit
442	295	wit
443	296	test
444	297	test
445	298	recip
446	299	recip
447	300	recip
448	301	recip
449	302	recip
450	303	recip
451	304	recip
452	305	recip
453	305	family
454	306	recip
455	306	family
456	307	recip
457	307	family
458	308	recip
459	308	super
460	309	recip
461	309	family
462	310	recip
463	310	family
464	311	recip
465	311	family
466	312	recip
467	312	wit
468	313	recip
469	314	recip
470	315	recip
471	316	recip
472	317	recip
473	318	recip
474	318	servant
475	319	recip
476	320	recip
477	321	recip
478	321	exec
479	322	recip
480	322	exec
481	323	recip
482	324	recip
483	325	wit
484	326	test
485	327	recip
486	327	family
487	328	recip
488	329	super
489	330	recip
490	331	recip
491	332	recip
492	333	recip
493	334	recip
494	334	family
495	335	recip
496	336	recip
497	336	servant
498	337	recip
499	337	employee
500	338	recip
501	338	family
502	339	recip
503	339	family
504	340	recip
505	341	recip
506	341	employee
507	342	recip
508	342	wit
509	343	recip
510	344	recip
511	345	recip
512	346	recip
513	346	exec
514	346	friend
515	347	recip
516	347	friend
517	347	super
518	348	recip
519	348	friend
520	348	super
521	349	test
522	350	recip
523	350	family
524	350	super
525	351	recip
526	351	exec
527	351	family
528	352	recip
529	352	exec
530	352	family
531	353	recip
532	353	friend
533	354	servant
534	355	recip
535	356	recip
536	357	recip
537	358	recip
538	359	recip
539	360	recip
540	361	recip
541	362	recip
542	363	recip
543	363	family
544	364	recip
