ind_status_id	pid	status
1	1	citizen
2	12	servant
3	14	gentleman
4	14	royalofficer
5	19	citizen
6	25	servant
7	29	citizen
8	34	citizen
9	34	parishioner
10	54	esquire
11	55	esquire
12	56	esquire
13	57	esquire
14	58	alderman
15	59	alderman
16	60	alderman
17	60	citizen
18	66	citizen
19	80	apprentice
20	83	mr
21	83	chamberlainLondon
22	84	citizen
23	90	sir
24	92	parishclergy
25	94	citizen
26	95	master
27	102	mrs
28	108	parishclergy
29	110	citizen
30	110	parishioner
31	117	mr
32	121	servant
33	150	lady
34	151	mrs
35	171	mr
36	176	mistress
37	187	mistress
38	188	servant
39	189	servant
40	195	servant
41	196	servant
42	200	mr
43	202	mr
44	203	mr
45	204	sir
46	205	lady
47	206	mr
48	211	parishclergy
49	212	parishclergy
50	215	mrs
51	216	mr
52	219	esquire
53	219	freeco
54	221	sir
55	222	mr
56	234	dr
57	237	mr
58	238	mr
59	239	dr
60	240	dr
61	241	dr
62	242	mr
63	257	citizen
64	262	dr
65	266	master
66	267	master
67	277	esquire
68	287	parishclergy
69	287	master
70	288	master
71	289	servant
72	297	citizen
73	315	father
74	318	servant
75	326	citizen
76	329	citizen
77	332	lady
78	333	lady
79	336	servant
80	346	lordsec
81	349	citizen
82	354	servant
83	369	servant
84	372	servant
85	376	mistress
86	377	sergeant
87	382	alderman
88	382	citizen
89	383	citizen
90	386	citizen
91	391	citizen
92	403	apprentice
93	404	servant
94	405	servant
95	417	citizen
96	421	citizen
97	425	illegitimate
98	432	mr
99	442	apprentice
100	445	mistress
101	448	apprentice
102	453	citizen
103	455	apprentice
104	459	master
105	460	apprentice
106	461	apprentice
107	462	apprentice
108	463	apprentice
109	464	mistress
110	472	master
111	473	alderman
112	473	citizen
113	473	sir
114	473	knight
115	476	mother
116	479	mr
117	485	servant
118	486	servant
119	491	servant
120	494	mistress
121	499	dame
122	501	sir
123	501	clerk
124	502	churchwarden
125	503	churchwarden
126	516	gentleman
127	517	dr
128	518	alderman
129	518	sir
130	518	knight
131	519	alderman
132	519	sir
133	519	knight
134	520	servant
135	521	servant
136	523	citizen
137	530	mr
138	533	apprentice
139	541	apprentice
140	545	mr
141	545	dr
142	546	mr
143	546	dr
144	547	mr
145	547	dr
146	548	mr
147	548	dr
148	556	servant
149	561	servant
150	566	mistress
151	578	mr
152	591	citizen
153	595	master
154	616	dr
155	620	mr
156	621	master
157	622	master
158	623	master
159	624	master
160	625	master
161	640	servant
162	641	dr
163	657	mr
164	660	clerk
165	675	poor
166	677	apprentice
167	678	apprentice
168	679	servant
169	680	servant
170	681	master
171	682	servant
172	690	master
173	692	duke
174	700	servant
175	703	royalofficer
176	706	servant
177	708	apprentice
178	709	citizen
179	710	parishclergy
180	710	mr
181	711	citizen
182	711	mr
183	718	citizen
184	720	citizen
185	722	mr
186	724	mr
187	724	gentleman
188	725	mr
189	742	servant
190	751	parishclergy
191	755	servant
192	756	servant
193	757	servant
194	758	citizen
195	759	servant
196	765	mr
197	766	mr
198	767	gentleman
199	772	citizen
200	779	apprentice
201	783	parishclergy
202	783	mr
203	783	dr
204	784	citizen
205	786	mrs
206	794	citizen
207	800	mr
208	801	alderman
209	801	sir
210	801	knight
211	803	mrs
212	804	mr
213	807	mr
214	808	clerk
215	810	mr
216	812	mrs
217	815	parishclergy
218	815	mr
219	816	mr
220	817	mr
221	824	servant
222	825	mistress
223	828	mr
224	829	esquire
225	830	sir
226	830	knight
227	830	lordsec
228	838	citizen
229	857	mr
230	860	citizen
231	877	servant
232	878	citizen
233	898	citizen
234	899	parishclergy
235	899	master
236	900	master
237	901	master
238	902	master
239	905	parishclergy
240	906	mistress
241	907	esquire
242	913	dr
243	916	citizen
244	925	servant
245	926	master
246	935	apprentice
247	936	apprentice
248	940	citizen
249	942	esquire
250	957	servant
251	962	parishclergy
252	979	mr
253	980	mr
254	994	gentleman
255	995	citizen
256	997	mr
257	1006	mr
258	1016	mr
259	1017	mr
260	1018	mr
261	1019	mr
262	1020	mr
263	1021	mr
264	1022	mr
265	1023	mr
266	1024	mr
267	1025	mr
268	1026	mr
269	1027	mr
270	1031	citizen
271	1033	mr
272	1034	mrs
273	1038	mr
274	1042	mr
275	1045	citizen
276	1045	sir
277	1045	knight bar
278	1047	gentleman
279	1050	citizen
280	1051	citizen
281	1053	mr
282	1055	mr
283	1061	mr
284	1067	servant
285	1068	mr
286	1069	mr
287	1070	mr
288	1071	mr
289	1072	mr
290	1076	citizen
291	1085	mr
292	1086	mr
293	1091	mr
294	1119	dr
295	1154	dr
296	1165	esquire
297	1187	civicofficer
298	1193	parishclergy
299	1194	parishclergy
300	1218	parishclergy
301	1226	dr
302	1241	servant
303	1242	servant
304	1247	servant
305	1248	servant
306	1249	servant
307	1250	servant
308	1251	servant
309	1255	servant
310	1260	servant
311	1261	servant
312	1262	servant
313	1266	servant
314	1267	servant
315	1268	servant
316	1269	servant
317	1274	servant
318	1275	servant
