institutionid	institutiontype
3	company
6	prison
7	prison
8	prison
10	parishchurch
24	company
30	hospital
85	company
126	company
152	prison
153	prison
178	company
180	hospital
182	prison
183	prison
184	prison
192	church
193	church
228	hospital
229	prison
230	prison
231	prison
232	prison
233	prison
251	company
298	prison
299	prison
300	prison
301	prison
302	prison
303	prison
304	company
328	company
330	university
331	university
343	hospital
344	hospital
345	hospital
355	prison
356	prison
357	prison
358	hospital
361	university
362	university
373	company
477	hospital
478	hospital
506	company
543	university
544	university
549	hospital
550	hospital
551	prison
552	prison
553	parishchurch
554	prison
555	prison
567	company
600	hospital
601	hospital
602	hospital
603	prison
604	prison
605	prison
606	prison
607	prison
608	prison
609	prison
610	hospital
610	prison
611	hospital
612	company
613	college
618	company
646	company
647	prison
648	prison
649	prison
650	prison
651	prison
652	prison
653	prison
654	prison
665	prison
666	prison
667	prison
668	prison
669	prison
670	friary
671	friary
672	friary
673	friary
674	friary
743	hospital
744	hospital
745	hospital
746	prison
747	prison
748	prison
749	prison
750	prison
754	company
773	company
872	hospital
1004	hospital
1005	hospital
1120	company
1121	market
1155	market
1201	emptyhouse
1220	emptyhouse
1222	emptyhouse
1224	emptyhouse
1225	emptyhouse
1946	mayorcommon
1947	mayorcommon
1948	bridgewardens
1972	bridgewardens
1977	mayorcommon
2012	relighouse
2069	company
5636	company
5637	company
5639	company
5642	company
5644	company
5647	company
5659	company
5672	company
5685	company
5694	company
5708	company
5725	relighouse
5726	hospital
5727	relighouse
5728	relighouse
5729	hospital
5730	hospital
5731	hospital
7032	hospital
7041	hospital
7050	hospital
7064	hospital
7096	hospital
7105	hospital
7108	hospital
7112	priory
7115	priory
7118	priory
7126	priory
7181	company
7183	company
7184	hospital
7187	company
7191	company
7196	company
7197	parishchurch
9661	company
9703	company
9757	company
9922	company
11693	company
11694	company
11841	company
11842	company
12240	market
12298	company
12629	company
12841	market
12899	company
13293	market
13341	company
13481	market
13535	company
13789	market
13818	company
13908	company
13913	company
13915	company
13921	company
13925	company
13927	company
13942	company
13947	company
13963	company
13966	company
13970	company
13992	company
13998	company
14014	company
14047	company
14049	company
14056	company
14063	company
14068	company
14073	company
14087	company
14101	company
14103	company
14104	parishchurch
14109	company
14115	company
14121	company
14126	company
14131	company
14143	company
14149	company
14155	company
14162	company
14165	company
14167	company
14178	company
14186	company
55834	company
55887	company
55937	company
56123	company
56182	company
56239	company
56301	company
56354	company
56409	company
56454	company
56504	company
56593	company
56636	company
56693	company
56733	company
56773	company
56811	company
56845	company
56886	company
56938	company
56991	company
57160	company
57193	company
57217	company
57270	company
57333	company
57488	company
57572	company
57673	company
57783	company
57833	company
57892	company
57964	company
58028	company
58094	company
58156	company
58212	company
60357	company
60416	company
60476	company
60540	company
60607	company
60675	company
60740	company
