par_list_id	doc_id	pid	global_prop_id	assessement	week_assess	notes
1	59	1486		1 man		
2	59	1487		1 man		
3	59	1488		3s a week		
4	59	1489		1 man		
5	59	1490		1 man		
6	59	1491		a musket and 1 man		
7	59	1492		1 man		
8	59	1493		1 man		
9	59	1494				
10	59	1495		1 man		
11	59	1496		1 man		
12	59	1497		3 men		
13	59	1498		2 men		
14	59	1499		1 man		
15	59	1500		1 man		
16	59	1501		2 men		
17	59	1502		3 men		
18	59	1503		2 men		
19	59	1504		1 man		A WILLIAM ALEXANDER [150] ASSOCIATED WITH 11/5 1629-57
20	59	1505		1 man		
21	59	1506		1 man		
22	59	1507		1 man		
23	59	1508		2 men		
24	59	1509		a musket and 1 man		
25	59	1510		2s 4d a week		
26	59	1511		"musket, horse and 1 man"		
27	59	1512		lifehorse' and 1 man		
28	60	1513		£10		
29	60	1514		£2		
30	60	1515		£5		
31	60	1516		£10		
32	60	1517		£10		
33	60	1518				
34	60	1519		£5		
35	60	1520		£3		
36	60	1521		£30		
37	60	1522		£30		
38	60	1523		£20		
39	60	1524		£20		
40	60	1525		£5		
41	60	1526		£10		
42	60	1527		£10		
43	60	1528		£10		
44	60	1529		£10		
45	60	1530		£5		
46	61	1531	11-Jan	13s 9d		
47	61	1532	11-Feb	12s		ENTRY ON 11/6A RELEVANT TO THIS PROPERTY?
48	61	1533		12s		ENTRY ON 11/10 RELEVANT TO THIS PROPERTY?
49	61	1534	11/6?	9s		
50	61	1535	11-Jul	9s		
51	61	1536	11/8A1(+2-3?)	15s		PRESUMABLY EDWARD WALDO FROM ENTRY ON 11/8A1
52	61	1537	11/8A4	12s		PRESUMABLY WILLIAM BIRD FROM ENTRY ON 11/8A4
53	61	1538	11/8A3?	12s		"A WILLIAM , RICHARD AND CHRISTOPHER TAYLOR ALL ASSOCIATED WITH AHHL IN LATE 17THC IN INDEX, THE LATTER [9689] RESIDENT IN 11/8C 1662-9"
54	61	1539		8s 4.5d		
55	61	1540		9s		
56	61	1541	11/10B?	15s		
57	61	1542		9s		A RICHARD BROWNE [1688] RESIDENT IN 11/8C 1662-3
58	61	1543		9s		A WILLIAM CODRINGTON [2553] LEASED 11/2  C.1660
59	61	1544		6s 7d		NOT 11/6B ACCORDING TO ENTRY; SAMBACH ALSO LISTED UNDER ENTRY ON 11/8C
60	61	1545		6s		"A WILLIAM SHARP [8958] TENANT OF 11/11-12F BEFORE THE FIRE AND A FOUNDATION, PROBABLY PART OF 11-12E, SURVEYED FOR HIM 1669"
61	61	1546		7s 1.5d		A JOHN MACHEL OR MACHETTS [6593] SAID TO HAVE OWNED PART OF GROUNDS OF 11/11-12 1673; [7019] MATTHEW MACHELL RELEVANT?
62	61	1547		6s		A JOHN MACHEL OR MACHETTS [6593] SAID TO HAVE OWNED PART OF GROUNDS OF 11/11-12 1673; [7019] MATTHEW MACHELL RELEVANT?
63	61	1548		2s		
64	61	1549		6s 7d		"A JOHN RAYMOND, POULTERER, RESIDENT 11/11-12G OR J 1662-6"
65	61	1550		9s		
66	61	1551		6s 7d		
67	61	1552				
68	62	1553	11-Jan	11s 6d		
69	62	1554	11-Feb	10s		ENTRY ON 11/6A RELEVANT TO THIS PROPERTY?
70	62	1555		5s 6d		"A JOHN RAYMOND, POULTERER, RESIDENT 11/11-12G OR J 1662-6"
71	62	1556	11/6?	7s 6d		
72	62	1557	11-Jul	7s 6d		
73	62	1558	11/8A1(+2-3?)	12s 6d		
74	62	1559	11/8A4	10s		PRESUMABLY WILLIAM BIRD FROM ENTRY ON 11/8A4
75	62	1560	11/8A3?	10s		"A WILLIAM , RICHARD AND CHRISTOPHER TAYLOR ALL ASSOCIATED WITH AHHL IN LATE 17THC IN INDEX, THE LATTER [9689] RESIDENT IN 11/8C 1662-9"
76	62	1561		7s		
77	62	1562		7s 6d		
78	62	1563		12s 6d		
79	62	1564		5s		"A WILLIAM SHARP [8958] TENANT OF 11/11-12F BEFORE THE FIRE AND A FOUNDATION, PROBABLY PART OF 11-12E, SURVEYED FOR HIM 1669"
80	62	1565		5s 6d		NOT 11/6B ACCORDING TO ENTRY; SAMBACH ALSO LISTED UNDER ENTRY ON 11/8C
81	62	1566		7s 6d		A RICHARD BROWNE [1688] RESIDENT IN 11/8C 1662-3
82	62	1567		7s 6d		A WILLIAM CODRINGTON [2553] LEASED 11/2  C.1660
83	62	1568		10s		ENTRY ON 11/10 RELEVANT TO THIS PROPERTY?
84	62	1569		7s 6d		
85	62	1570		6s		Mr Mathens house
86	62	1570		5s		Houes to left of mr mathens hoouse
87	63	1571		8s		
88	63	1572		8s		
89	63	1573		7s		
90	63	1574		4s		
91	63	1575		5s		
92	63	1576		5s		
93	63	1577		2s 6d		for house
94	63	1577		18d		for his shop
95	63	1578		2s 6d		for house
96	63	1579		4s		
97	63	1579		12d		for shop
98	63	1580		4s		
99	63	1581		3s 6d		
100	63	1582		12d		for his cellar
101	63	1583		5s		for his house
102	63	1584		8s		for his house
103	63	1585		3s 6d		
104	63	1586		7s 6d		
105	63	1587		8s		for his houses
106	63	1588		5s		
107	63	1589		4s		
108	63	1590		2s		
109	63	1591		2d		
110	63	1592		4s 6d		for his 2 houses
111	63	1593		3s		
112	63	1594		6s		
113	63	1595		2s 6d		
114	63	1596		6s		
115	63	1597		3s		
116	63	1598		2s		for house
117	63	1599		4d		
118	64	1601		16s		
119	64	1602		16s		
120	64	1603		16s		
121	64	1604		15s		
122	64	1605		10s		
123	64	1606		4s		
124	64	1607		10s		
125	64	1608		10s		
126	64	1609		4s		
127	64	1610		2s		
128	64	1611		4s		
129	64	1612		4s		
130	64	1613		6s		
131	64	1614		4s		
132	64	1615		8s		
133	64	1616		9s		
134	64	1617		12s		and his partner
135	64	1618		6s 8d		
136	64	1619		6s		
137	64	1620		18d		
138	64	1621		8d		
139	64	1622		9s		
140	64	1623		10s		
141	64	1624		8s		
142	64	1625		6s		
143	64	1626		2d		
144	64	1627		5s		
145	64	1628		3s		
146	64	1629		12s 8d		
147	64	1630		6s		
148	64	1631		12s		
149	64	1632		3s 4d		in Johnsons shop
150	64	1633		4s		
151	64	1634		4s		mr marten's warehouse
152	65	1635		8s 		
153	65	1636		8s 		
154	65	1637		8s 		
155	65	1638		7s 6d		
156	65	1639		4s		
157	65	1640		2s		
158	65	1641		2s		
159	65	1642		2s		
160	65	1643		2s 6d
161	65	1644		18d
162	65	1645		2s
163	65	1646		4s
164	65	1647		5s
165	65	1648		5s
166	65	1649		2s
167	65	1650		2s
168	65	1651		2s 6d
169	65	1652		5s
170	65	1653		3s
171	65	1654		2s
172	65	1655		5s
173	65	1656		4d
174	65	1657		2s 6d
175	65	1658		12d
176	65	1659		5s		
177	65	1660		4s		
178	65	1661		3s		
179	65	1662		18d		
180	65	1663		2d		
181	65	1664		18d		
182	65	1665		3s		
183	65	1666		6s		
184	65	1667		2s 6d		
185	65	1668		6s		
186	65	1669		2s 6d		
187	65	1670		2s		Mr Marten's warehouse
188	65	1671		12d		Rowland Marten's warehouse
189	66	1672		8s		
190	66	1673		8s		
191	66	1674		8s		
192	66	1675		7s 6d
193	66	1676		4s
194	66	1677		2s
195	66	1678		2s
196	66	1679		2s
197	66	1680		2s 6d
198	66	1681		18d
199	66	1682		2s
200	66	1683		4s
