doc_id	prop_event_id	lease_id	lease_term	lease_start	lease_rent	lease_fine	lease_conditions	lease_notes
76	7	1	10 yrs	when house rebuilt	£13 6s 8d	1d		house rebuilt c.1538? See propeventid5
83	17	2	21yrs	1554	old rent	£20		old rent was £13 6s 8d: see propeventid9
86	20	3	21 yrs	1595	£13 6s 8d	£200	"bound to repair, and not to let or sell without licence"	lease in reversion
89	24	4	33 yrs	michaelmas 1605	old rent	£100		fine paid to pid1971 for his service to the city; old rent is prob £13 6s 8d
91	28	5	36 yrs	michaelmas 1633	old rent	£500	to come to agreement with tenant pid1978	fine to be paid in £100 half yearly instalments
92	30	6	21 yrs		£100			lease isn’t actually made - see propeventid31
95	34	7	14 yrs					
106	50	8	61 yrs		old rent	£430		fine paid in hand
111	56	9	36 yrs		old rent		pid2010 is to rebuild	Fire Court extension to existing lease
112	59	10	40 yrs		£4		"lessee to repair, pave and pay quit rents"	
119	67	11	51 yrs		£26		repairs to tenant	
123	72	12			£3 6s 8d			
134	84	13	60 yrs	1669	£14		tenant recovers £33 6s 8d for rebulding costs	lease made 1671
142	92	14		1559	15s			
147	97	15	21 yrs			£5		
194	136	16	21 years	1634		£200		
195	137	17						5 year extension to lease
199	142	18	21 years	1660	£7 old rent	£440 in hand		
200	143	19	4 year extension				in consideration of repairs undertaken at own cost	
207	150	20	12 years		£4			
208	151	21	20 years		£6			
217	160	22	30 years		£4		landlord to repair and pay quitrent	
219	162	23	21 years	1565	£4		"tenant to pave, repair and pay quitrent"	
222	165	24	31 years		£1 6s 8d		"landlord to repair, pave and cleanse privies"	
227	167	25	36 years		£6		landlord to repair (except glazing)	
230	170	26	21 years	1569	£7			
232	172	27	21 years	1557	£1 6s 8d		repairs and charges to tenant	
240	180	29	21 years		old rent	£350		Probably 21 year term; old rent was £12 13s 4d; fine paid in installments between 1611 and 1615
243	184	30	21 years	1633 on expiry of current lease	£20 rent	£450		"£50 of fine to be in hand, rest in half yearly installments of £50"
243	185	31		expiry of present term	£40		so long as undertenant lives there and does not let to anyone else without consent of pid7051	
249	192	32	43 years	1652	£10	£160	£400 to be spent each by pid7065 and 7066 on rebuilding within 3 years	"fine - £60 in hand, £50 instalments in 1653 and 1654"
254	197	33	22 years		£20	£35		
260	203	34	20 years		£65			
261	204	35	20 years		£18			
262	205	36	20 years		£5			
275	219	37			£5 6s 8d			expiring 1550
275	220	38			£5 16s 8d			expiring 1550
276	221	39	80 years		£11 3s 4d		"pid7116 was to repair, pave and cleanse privies; pid7115 was to supply principle timbers and pay for workmanship"	pid7116 was to have no interest in pid7117's tenement until his term had expired
308	256	40	30 yrs		£22 6s 8d	£200	"he was to do all but principal repairs, he could let 1 tenement (probably 8A2) at his leisure; the Black Bull (8A1) and 8A3 could only be let to a mercer , provided that pid7194 had her house (8A3) to dwell in at her free will"	see leaseid41
309	257	41	10				to undertake all repairs including principals	extension to leaseid40
310	259	42	50 years	feb 1651	£1 6s 8d			perpetually renewable
381	261	43	40 yrs	1565	old rent	no new fine	to make repairs	
384	264	44	21 years	1605	£10	£250	"was to repair, and might not let to any but a mercer; nor was he to convert it to a tavern or victualling house, or divide the property"	fine to be paid in 1605
