subsidy_doc_id	subsidy_pid	subsidy_group	subisidy_assess	subsidy_amount	subsidy_elsewhere	subsidy_notes	subsidy_id
364	11606	38	£3	3s 		English	1
364	11607	39	£20	20s 		English	2
364	11608	40	£10	10s 		English	3
364	11609	41	£5	5s 		English	4
364	11610	42	£3	3s 		English	5
364	11611	43	£3	3s 		English	6
364	11612	44	£3	3s 		English	7
364	11613	45	£3	3s 		English	8
364	11614	46	£13	13s 		English	9
364	11615	47	£3	3s 		English	10
364	11616	48	£5	5s 		English	11
364	11617	49	£3	3s 		English	12
364	11618	50	£70	£3 10s 	Essex	English; Essex 1	13
364	11619	51	£100	£5		English	14
364	11620	52	£50	50s 		English	15
364	11621	53	£50	50s 		English	16
364	11622	54	£50	50s 		English	17
364	11623	55	£10	13s 4d		in fees; English	18
364	11624	56	£50	50s 		English	19
364	11625	57	£70	£3 10s 	Surrey	Surrey 1; English	20
364	11626	58	£70	£7		Antwerp Merchant; Stranger	21
364	11627	59	£6	6s 		English	22
364	11628	60	£3	3s 		English	23
364	11629	61	£3	3s 		English	24
364	11630	62	£3	3s 		English	25
364	11631	63	£3	3s 		English	26
364	11632	64	£15	15s 		English	27
364	11633	65	£10	10s 		English	28
364	11634	66	£5	5s 		English	29
364	11635	67	£10	10s 		English	30
364	11636	68	£10	10s 		English	31
364	11637	69	£3	3s 		English	32
364	11638	70	£10	10s 		English	33
364	11639	71	£5	5s 		English	34
364	11640	72	£5	5s 		English	35
364	11641	73	£5	5s 		English	36
364	11642	74	£5	5s 		English	37
364	11643	75	£10	10s 		English	38
364	11644	76		 4d		Straingers in St Martyns parishe in ye howse of Fraunces Byshopp; straynger per poll	39
364	11645	77		 4d		Straingers in St Martyns parishe in ye howse of Fraunces Byshopp; per poll	40
364	11646	78		 4d		Straingers in St Martyns parishe in ye howse of Fraunces Byshopp; per poll	41
364	11647	79		 4d		Straingers in St Martyns parishe in ye howse of Fraunces Byshopp; per poll	42
364	11648	80		 4d		Straingers in St Martyns parishe in ye howse of Fraunces Byshopp; per poll	43
364	11649	81	£80	£4		English	44
364	11650	82	£90	£4 10s 		English	45
364	11651	83	£70	£3 10s 		English	46
364	11652	84	£50	50s 		English	47
364	11653	85	£60	£3		English	48
364	11654	86	£70	£3 10s 		English	49
364	11655	87	£40	40s 		English	50
364	11656	88	£50	50s 		English	51
364	11657	89	£60	£3		English	52
364	11658	90	£50	50s 		English	53
364	11659	91	£100	£5		English; Mistres; wyddowe	54
364	11660	92	£25	25s 		English	55
364	11661	93	£3	3s 		English	56
364	11662	94	£15	15s 		English	57
364	11663	95	£3	3s 		English	58
364	11664	96	£15	15s 		English	59
364	11665	97	£3	3s 		English	60
364	11666	98	£3	3s 		English; Mistres	61
364	11667	99	£20	20s 		English	62
