doc_id	tithe_pid	tithe-id	prop_type	global_prop_id	location	rent_mod_valued	tithe_assessment	tithe_paid	tithe_notes
57	1431	1		11-Jan	Cheapside	£90	£12 7s 6d	£2 1s 0d	
57	1432	2		11-Feb	Cheapside	£50	£6 17s 6d	£4 2s 0d	
57	1433	3	shop	11/2?	Cheapside	£10	£1 7s 6d	10s 0d	Mr Lanes Shop
57	1434	4		11/6A?	Cheapside	£30	£4 2s 6d	£1 13s 0d	
57	1435	5		11/6C?	Cheapside	£30	£4 2s 6d	£1 4s 0d	
57	1436	6		11/7?	Cheapside	£30	£4 2s 6d	£1 16s 0d	
57	1437	7		11/7?	Cheapside	£30	£4 2s 6d	£1 12s 0d	
57	1438	8		11/8A2	Cheapside	£35	£4 16s 3d	£1 8s 0d	
57	1439	9		11/8A1	Cheapside	£60	£8 5s 0d	£1 4s 0d	
57	1440	10		11/8A3	Cheapside	£35	£4 16s 3d	£1 8s 0d	
57	1441	11		11/8A4?	Cheapside	£50	£6 17s 6d	£1 12s 0d	
57	1442	12		11/9A	Cheapside	£35	£4 16s 3d	£1 8s 0d	
57	1443	13		11/9A	Cheapside	£40	£5 10s 0d	£1 4s 0d	
57	1444	14		11/10A	Cheapside	£50	£6 17s 6d	£1 0s 0d	
57	1445	15		11/10B	Cheapside	£60	£8 5s 0d	£1 8s 0d	
57	1446	16		11/11-12A?	Cheapside	£30	£4 2s 6d	£1 4s 0d	
57	1447	17		11/11-12B?	Cheapside	£30	£4 2s 6d	£1 4s 0d	
57	1448	18		11/11-12C?	Cheapside	£30	£4 2s 6d	£1 8s 0d	
57	1449	19		11/11-12E	Cheapside	£60	£8 5s 0d	£1 8s 0d	
57	1450	20		11/11-12D?	Cheapside	£30	£4 2s 6d	£1 4s 0d	
57	1451	21		11/8A5	Hony Lane	£9 0s 0d	£1 4s 9d	12s	
57	1452	22		11/8A5	Hony Lane	£11	£1 10s 3d	12s	
57	1453	23		11/8B	Hony Lane	£16	£2 4s 0d	12s	
57	1454	24		11/8C?	Hony Lane	£16	£2 4s 0d	16s 8d	
57	1455	25		11/8C?	Hony Lane	£13	£1 15s 9d	£1 2s 0d	
57		26	warehouse	11/5 or 11/8C?	Hony Lane	£4	11s 0d	5s 0d	
57		27	warehouse	11/5 or 11/8C?	Hony Lane	£4	11s 0d	(blank)	
57	1456	28		11/5?	Hony Lane	£16	£2 4s 0d	£1 6s 0d	
57	1457	29		11/5?	Hony Lane	£10	£1 7s 6d	14s 0d	
57	1458	30	house	11-Mar	Hony Lane	£10	£1 7s 6d	13s 4d	
57	1459	31	house & shop	11-Mar	Hony Lane	£10	£1 7s 6d	16s 0d	GAZETTEER STATES MRS WREN THOUGH NOTES ON MS STATE MR
