flag_id	person_id	flags
12	313	child
13	325	child
14	329	widow(er)
15	359	stillborn
17	368	stillborn
18	414	stillborn
19	421	child
20	425	widow(er)
21	433	stillborn
22	444	child
23	447	widow(er)
25	451	child
26	453	child
27	454	child
28	455	child
30	457	stillborn
32	459	child
33	463	child
34	464	widow(er)
35	466	stillborn
36	493	twins/multiple birth
37	494	twins/multiple birth
38	496	twins/multiple birth
39	497	twins/multiple birth
40	440	stillborn
41	446	child
47	156	servant/belonging to/man of/nurse
48	234	servant/belonging to/man of/nurse
49	237	servant/belonging to/man of/nurse
50	238	servant/belonging to/man of/nurse
51	240	servant/belonging to/man of/nurse
52	244	servant/belonging to/man of/nurse
53	250	servant/belonging to/man of/nurse
54	257	servant/belonging to/man of/nurse
55	259	servant/belonging to/man of/nurse
56	280	servant/belonging to/man of/nurse
57	281	servant/belonging to/man of/nurse
58	282	servant/belonging to/man of/nurse
59	283	servant/belonging to/man of/nurse
60	286	servant/belonging to/man of/nurse
61	288	servant/belonging to/man of/nurse
62	289	servant/belonging to/man of/nurse
63	291	maid
64	294	servant/belonging to/man of/nurse
65	296	maid
66	299	servant/belonging to/man of/nurse
67	303	gentle(wo)man
68	317	servant/belonging to/man of/nurse
69	322	servant/belonging to/man of/nurse
70	338	sergeant
71	342	servant/belonging to/man of/nurse
72	345	servant/belonging to/man of/nurse
73	346	servant/belonging to/man of/nurse
74	348	servant/belonging to/man of/nurse
75	349	servant/belonging to/man of/nurse
76	351	servant/belonging to/man of/nurse
77	353	servant/belonging to/man of/nurse
78	355	servant/belonging to/man of/nurse
79	356	servant/belonging to/man of/nurse
80	358	servant/belonging to/man of/nurse
81	364	servant/belonging to/man of/nurse
82	365	servant/belonging to/man of/nurse
83	371	parson
84	374	servant/belonging to/man of/nurse
85	376	servant/belonging to/man of/nurse
86	377	common councilman
87	381	servant/belonging to/man of/nurse
88	382	preacher
89	384	servant/belonging to/man of/nurse
90	390	clerk
91	399	servant/belonging to/man of/nurse
92	401	servant/belonging to/man of/nurse
93	403	servant/belonging to/man of/nurse
94	409	servant/belonging to/man of/nurse
95	410	servant/belonging to/man of/nurse
96	413	servant/belonging to/man of/nurse
97	415	servant/belonging to/man of/nurse
98	417	clerk
99	443	baron
100	445	servant/belonging to/man of/nurse
101	460	servant/belonging to/man of/nurse
102	468	servant/belonging to/man of/nurse
103	473	parson
104	390	free of the
105	338	free of the
106	719	died presently
107	714	died presently
108	774	twins/multiple birth
110	780	illegitimate
111	781	weak/sick/in danger
113	793	weak/sick/in danger
114	793	died presently
115	841	weak/sick/in danger
116	868	weak/sick/in danger
117	877	twins/multiple birth
119	949	illegitimate
121	985	twins/multiple birth
123	997	twins/multiple birth
125	1005	weak/sick/in danger
127	1042	weak/sick/in danger
129	1059	foundling
130	1064	weak/sick/in danger
131	1067	weak/sick/in danger
132	1071	weak/sick/in danger
133	1076	weak/sick/in danger
134	1086	weak/sick/in danger
135	1090	weak/sick/in danger
136	1094	weak/sick/in danger
137	1096	weak/sick/in danger
138	1106	weak/sick/in danger
139	1123	weak/sick/in danger
140	1125	weak/sick/in danger
141	1140	foundling
143	1167	foundling
145	1183	foundling
148	1303	weak/sick/in danger
149	1356	foundling
150	1399	foundling
151	1425	foundling
152	1477	foundling
153	1526	twins/multiple birth
154	1553	foundling
155	1527	twins/multiple birth
156	1554	twins/multiple birth
157	1555	twins/multiple birth
158	1556	twins/multiple birth
159	1557	twins/multiple birth
160	1559	servant/belonging to/man of/nurse
161	1560	child
162	1562	servant/belonging to/man of/nurse
163	1563	maid
164	1565	servant/belonging to/man of/nurse
165	1567	child
166	1567	stillborn
167	1570	servant/belonging to/man of/nurse
168	1571	child
169	1571	unchristened
170	1573	servant/belonging to/man of/nurse
171	1578	sojourner
172	1581	servant/belonging to/man of/nurse
173	1582	servant/belonging to/man of/nurse
174	1584	stranger
175	1594	servant/belonging to/man of/nurse
176	1595	widow(er)
177	1597	servant/belonging to/man of/nurse
178	1598	stillborn
179	1599	child
180	1599	stillborn
181	1603	stillborn
182	1603	child
183	1606	poor
185	1612	stillborn
186	1613	widow(er)
187	1613	servant/belonging to/man of/nurse
188	1614	servant/belonging to/man of/nurse
189	1616	widow(er)
190	1617	scholar
191	1619	servant/belonging to/man of/nurse
192	1622	widow(er)
193	1623	widow(er)
194	1624	servant/belonging to/man of/nurse
195	1625	servant/belonging to/man of/nurse
196	1637	widow(er)
197	1638	servant/belonging to/man of/nurse
198	1639	esquire
199	1641	widow(er)
200	1642	stillborn
201	1642	child
202	1646	stillborn
203	1646	child
204	1656	child
205	1656	stillborn
206	1659	widow(er)
207	1660	stillborn
208	1660	child
209	1667	servant/belonging to/man of/nurse
210	1669	stillborn
211	1669	child
212	1670	stillborn
213	1670	child
214	1672	widow(er)
215	1678	stillborn
216	1678	child
217	1685	child
218	1685	stillborn
219	1686	foundling
220	1691	servant/belonging to/man of/nurse
221	1693	servant/belonging to/man of/nurse
222	1695	servant/belonging to/man of/nurse
223	1699	servant/belonging to/man of/nurse
224	1701	servant/belonging to/man of/nurse
225	1702	stillborn
226	1702	child
227	1704	foundling
228	1710	servant/belonging to/man of/nurse
229	1713	servant/belonging to/man of/nurse
230	1714	widow(er)
231	1718	stillborn
232	1718	child
233	1719	parson
234	1722	clerk
235	1731	maid servant
236	1732	maid
237	1733	servant/belonging to/man of/nurse
238	1737	servant/belonging to/man of/nurse
239	1740	pastor
240	1748	servant/belonging to/man of/nurse
241	1754	servant/belonging to/man of/nurse
242	1758	maid servant
243	1759	servant/belonging to/man of/nurse
244	1760	servant/belonging to/man of/nurse
245	1778	servant/belonging to/man of/nurse
246	1779	widow(er)
247	1780	servant/belonging to/man of/nurse
248	1783	child
250	1788	servant/belonging to/man of/nurse
251	1789	servant/belonging to/man of/nurse
252	1793	servant/belonging to/man of/nurse
253	1795	journeyman
254	1805	child
255	1812	child
256	1812	stillborn
257	1817	child
258	1822	widow(er)
259	1828	stillborn
260	1830	gentle(wo)man
261	1830	apprentice
262	1836	servant/belonging to/man of/nurse
263	1842	servant/belonging to/man of/nurse
264	1854	servant/belonging to/man of/nurse
265	1855	servant/belonging to/man of/nurse
266	1857	servant/belonging to/man of/nurse
267	1859	widow(er)
268	1861	gentle(wo)man
269	1861	ancient/old/aged
270	1861	sojourner
271	1865	widow(er)
272	1867	stillborn
273	1867	child
274	1869	servant/belonging to/man of/nurse
275	1870	widow(er)
276	1872	servant/belonging to/man of/nurse
277	1878	child
278	1879	stillborn
279	1879	child
280	1880	widow(er)
281	1882	servant/belonging to/man of/nurse
282	1884	child
283	1888	child
284	1889	servant/belonging to/man of/nurse
285	1890	servant/belonging to/man of/nurse
286	1895	child
287	1896	maid servant
288	1898	servant/belonging to/man of/nurse
289	1899	maid servant
290	1903	servant/belonging to/man of/nurse
291	1909	servant/belonging to/man of/nurse
292	1917	sojourner
293	1921	child
294	1922	servant/belonging to/man of/nurse
295	1923	servant/belonging to/man of/nurse
296	1924	servant/belonging to/man of/nurse
297	1982	servant/belonging to/man of/nurse
298	1983	gentle(wo)man
299	1986	widow(er)
300	1987	servant/belonging to/man of/nurse
301	1988	servant/belonging to/man of/nurse
302	1994	stranger
303	1993	stranger
304	1995	servant/belonging to/man of/nurse
305	1996	servant/belonging to/man of/nurse
306	1999	gentle(wo)man
307	2000	gentle(wo)man
308	2008	servant/belonging to/man of/nurse
309	2009	gentle(wo)man
310	2014	widow(er)
311	2018	servant/belonging to/man of/nurse
312	2022	widow(er)
313	2026	servant/belonging to/man of/nurse
314	2025	servant/belonging to/man of/nurse
315	2033	widow(er)
316	2037	servant/belonging to/man of/nurse
317	2041	gentle(wo)man
318	2048	minister
319	2054	of Inn of Court
320	2067	servant/belonging to/man of/nurse
321	2070	citizen of London
322	2071	widow(er)
323	2075	widow(er)
324	2077	servant/belonging to/man of/nurse
325	2078	of the Arches
326	2079	servant/belonging to/man of/nurse
327	2083	servant/belonging to/man of/nurse
328	2088	servant/belonging to/man of/nurse
329	2093	servant/belonging to/man of/nurse
330	2098	servant/belonging to/man of/nurse
331	2100	maid
332	2106	servant/belonging to/man of/nurse
333	2112	of Inn of Court
334	2121	maid
335	2126	service in royal household
336	2128	weak/sick/in danger
337	2133	servant/belonging to/man of/nurse
338	2141	servant/belonging to/man of/nurse
339	2145	servant/belonging to/man of/nurse
340	2147	servant/belonging to/man of/nurse
341	2149	maid
342	2159	servant/belonging to/man of/nurse
343	2160	preacher
344	2161	widow(er)
345	2166	gentle(wo)man
346	2171	widow(er)
347	2193	gentle(wo)man
348	2202	gentle(wo)man
349	2212	gentle(wo)man
350	2213	gentle(wo)man
351	2214	of Inn of Court
352	2215	widow(er)
353	2216	gentle(wo)man
354	2217	gentle(wo)man
355	2235	maid
356	2241	maid
357	2243	maid
358	2245	maid
359	2250	bachelor
360	2251	widow(er)
361	2253	widow(er)
362	2257	widow(er)
363	2263	widow(er)
364	2301	foreigner
365	2329	parson
366	2356	widow(er)
367	2363	widow(er)
368	2365	widow(er)
369	2367	widow(er)
370	2368	widow(er)
371	2369	bachelor
372	2373	stranger
373	2375	bachelor
374	2377	bachelor
375	2387	bachelor
376	2391	gentle(wo)man
377	2396	widow(er)
378	2397	bachelor
379	2398	maid servant
380	2399	bachelor
