flag_id	r_person_id	flags
100008	100064	gentle(wo)man
100009	100123	sergeant
100010	100147	parson
100011	100154	parson
100012	100205	gentle(wo)man
100013	100215	gentle(wo)man
100014	100223	gentle(wo)man
100015	100300	priest
100016	100312	esquire
100017	100304	esquire
100020	100404	gentle(wo)man
100021	100417	gentle(wo)man
100022	100439	minister
100023	100441	minister
100024	100449	gentle(wo)man
100025	100467	doctor
100026	100489	gentle(wo)man
100027	100532	preacher
100028	100532	foreigner
100029	100569	gentle(wo)man
100030	100632	gentle(wo)man
100031	100636	clerk
100032	100891	deceased
100033	100264	esquire
100034	100278	esquire
100035	100974	clerk
100036	100982	clerk
100037	101105	sojourner
100038	101104	sojourner
100039	101108	stranger
100040	101109	stranger
100041	101359	baronet
100042	101369	deceased
100043	101370	widow(er)
100044	101400	died presently
100045	101405	esquire
100046	101410	died presently
100047	101444	baronet
100048	101489	baronet
100049	101505	baronet
100050	101536	baronet
100052	101626	widow(er)
100054	101650	widow(er)
100055	101801	widow(er)
100056	101865	widow(er)
100057	101926	widow(er)
100058	101940	clerk
100059	101952	widow(er)
100060	101963	widow(er)
100061	101969	widow(er)
100062	102003	doctor
100063	102042	esquire
100064	102052	alderman
100065	102068	deceased
100066	102069	deceased
100067	102070	deceased
100068	102072	deceased
100069	102073	gentle(wo)man
100070	102077	deceased
100071	102078	deceased
100072	102079	deceased
100073	102085	deceased
100074	102086	deceased
100075	102087	deceased
100076	102089	deceased
100077	102090	deceased
100078	102092	deceased
100079	102094	deceased
100080	102095	deceased
100081	102096	deceased
100082	102097	deceased
100083	102098	deceased
100084	102099	deceased
100085	102103	deceased
100086	102104	deceased
100087	102106	deceased
100088	102110	deceased
100089	102119	deceased
100090	102120	deceased
100091	102127	gentle(wo)man
100092	102134	deceased
100093	102139	deceased
100095	102142	deceased
100096	102147	esquire
100097	102148	deceased
100098	102151	gentle(wo)man
100099	102152	baron of the Exchequer
100100	102152	esquire
100101	102167	deceased
100102	102172	knight
100104	102256	lodger
100105	102257	lodger
100106	102260	lodger
100107	102261	lodger
100108	102268	lodger
100109	102269	lodger
100110	102278	lodger
100111	102279	lodger
100112	102290	lodger
100113	102291	lodger
100114	102292	lodger
100115	102293	lodger
100116	102295	lodger
100117	102294	lodger
100118	102302	lodger
100119	102303	lodger
100120	102312	lodger
100121	102313	lodger
100122	102324	lodger
100123	102325	lodger
100124	102330	lodger
100125	102331	lodger
100126	102346	lodger
100127	102347	lodger
100128	102348	lodger
100129	102349	lodger
100130	102353	lodger
100131	102352	lodger
100132	102359	lodger
100133	102362	lodger
100134	102363	lodger
100135	102374	lodger
100136	102375	lodger
100137	102380	lodger
100138	102381	lodger
100139	102382	lodger
100140	102383	lodger
100141	102388	lodger
100142	102389	lodger
100143	102394	lodger
100144	102395	lodger
100145	102397	lodger
100146	102396	lodger
100147	102420	lodger
100148	102421	lodger
100149	102429	lodger
100150	102428	lodger
100151	102430	lodger
100152	102431	lodger
100153	102438	lodger
100154	102439	lodger
100155	102446	lodger
100156	102447	lodger
100157	102456	lodger
100158	102457	lodger
100159	102462	lodger
100160	102463	lodger
100161	102464	lodger
100162	102465	lodger
100163	102476	lodger
100164	102477	lodger
100165	102478	lodger
100166	102479	lodger
100167	102480	lodger
100168	102481	lodger
100169	102491	lodger
100170	102490	lodger
100171	102500	lodger
100172	102501	lodger
100173	102504	lodger
100174	102505	lodger
100175	102510	lodger
100176	102511	lodger
100178	102627	lodger
100179	102628	lodger
100180	102629	lodger
100181	102630	lodger
100182	102632	lodger
100183	102631	lodger
100184	102637	lodger
100185	102638	lodger
100186	102768	esquire
100187	102876	lodger
100188	102877	lodger
100189	103075	travailer
100190	103265	stranger
100191	103264	stranger
100192	103275	stranger
100193	103276	stranger
100194	103341	stranger
100195	103427	stranger
100197	103479	stranger
100198	103505	lodger
100199	103506	lodger
100201	103520	lodger
100202	103521	lodger
100203	103522	lodger
100204	103523	lodger
100205	103524	lodger
100206	103525	lodger
100207	103527	lodger
100208	103531	lodger
100209	103535	lodger
100210	103536	lodger
100211	103582	lodger
100212	103581	lodger
100213	103602	lodger
100214	103603	lodger
100215	103614	widow(er)
100216	103619	esquire
100217	103660	lodger
100218	103680	lodger
100221	103761	householder
100222	103782	maid servant
100224	103829	junior/the younger
100225	103841	widow(er)
100226	103883	householder
100227	103903	householder
100228	103946	lodger
100229	103979	widow(er)
100230	103980	deceased
100231	103994	widow(er)
100232	104049	baron
100233	104203	alderman
100234	104210	alderman
100235	104218	alderman
100236	104225	parson
100237	104364	parson
100238	104415	parson
100239	104439	parson
100240	104463	gentle(wo)man
100241	104640	senior/ the elder
100242	104650	senior/ the elder
100243	104663	junior/the younger
100244	104669	senior/ the elder
100245	104684	generosus
100246	104711	junior/the younger
100247	104712	junior/the younger
100248	104729	junior/the younger
100249	104751	junior/the younger
100250	104823	doctor
100251	104811	doctor
100252	104837	stranger
100253	104842	doctor
100254	104888	parson
100255	104890	stranger
100256	104923	junior/the younger
100257	105008	parson
100258	105024	stranger
100259	105152	lodger
100260	105250	esquire
100261	105295	lodger
100262	105339	lodger
100263	105343	lodger
100264	105449	deceased
100265	105464	gentle(wo)man
100266	105633	esquire
100267	105648	esquire
100268	105662	stranger
100269	105676	deceased
100271	105708	esquire
100272	105751	esquire
100273	105783	lodger
100274	105784	lodger
100275	105793	esquire
100276	105855	lodger
100277	105856	lodger
100278	105857	esquire
100279	105866	deceased
100280	105979	widow(er)
100281	106000	deceased
100282	106001	widow(er)
100283	106106	esquire
100284	106114	esquire
100285	106194	stranger
100286	106195	stranger
100287	106337	stranger
100288	106336	stranger
100289	106458	stranger
100290	106573	senior/ the elder
100291	106583	junior/the younger
100292	106584	junior/the younger
100293	106616	junior/the younger
100294	106618	junior/the younger
100295	106628	senior/ the elder
100296	106639	stranger
100297	106642	stranger
100298	106671	generosus
100299	106681	stranger
100300	106686	stranger
100301	106743	servant/belonging to/man of/nurse
100302	106747	deceased
100303	106790	alderman
100304	106795	stranger
100305	106796	alderman
100306	102069	doctor
100307	106821	stranger
100308	106841	stranger
100309	106867	lodger
100310	106873	esquire
100311	106873	stranger
100312	106905	deceased
100313	106909	deceased
100314	106912	lodger
100315	106919	deceased
100316	106937	minister
100317	106944	gentle(wo)man
100318	106983	widow(er)
100319	106994	rector
100321	107012	widow(er)
100322	107021	doctor
100323	107020	doctor
100324	107036	widow(er)
100325	107107	stranger
100326	107110	stranger
100327	107116	householder
100328	107118	householder
100329	107123	esquire
100330	107130	esquire
100331	107171	esquire
100332	107180	deceased
100333	107181	junior/the younger
100334	107182	senior/ the elder
100335	107198	deceased
100336	107200	esquire
100337	107201	deceased
100338	107247	deceased
100339	107251	householder
100340	107255	doctor
100341	107262	esquire
100342	107275	widow(er)
100343	107284	stranger
100344	107305	widow(er)
100345	107327	esquire
100346	107374	rector
100347	107391	sexton
100348	107428	stranger
100349	107436	rector
100350	107450	knight
100352	107458	esquire
100353	107483	lady
100354	107486	sergeant
100355	107486	service in royal household
100356	107488	widow(er)
100357	107487	alderman
100358	107490	knight
100359	107491	gentle(wo)man
100360	107491	service in royal household
100361	107495	gentle(wo)man
100362	107494	knight
100363	107494	alderman
100364	107498	knight
100365	107526	esquire
100366	107527	gentle(wo)man
100367	107534	gentle(wo)man
100368	107596	lady
100369	107606	priest
100370	107610	service in royal household
100372	107614	gentle(wo)man
100373	107630	gentle(wo)man
100374	107647	gentle(wo)man
100375	107679	widow(er)
100376	107694	gentle(wo)man
100377	107699	priest
100378	107725	gentle(wo)man
100379	107747	lady
100380	107761	knight
100381	107797	gentle(wo)man
100382	107801	esquire
100383	107826	lady
100384	107846	alias
100385	107847	junior/the younger
100386	107848	stranger
100387	107859	esquire
100388	107867	widow(er)
100389	107871	lady
100390	107872	lady
100391	107884	widow(er)
100392	107894	knight
100393	107908	gentle(wo)man
100394	107956	gentle(wo)man
100395	107964	gentle(wo)man
100396	107965	knight
100397	107966	lady
100398	107972	alderman
100399	100050	gentle(wo)man
100400	103514	rector
100401	103515	rector
100402	107493	of the Exchequer
100403	107645	gentle(wo)man
100404	107924	gentle(wo)man
100405	107967	lady
100406	107992	widow(er)
100407	108013	heir
100408	108014	lady
100409	108015	lady
100410	108020	alderman
100411	108034	lady
100412	108056	alderman
100413	108059	lady
100414	108059	widow(er)
100415	108061	knight
100416	108061	alderman
100417	108062	knight
100418	108062	alderman
100419	108065	servant/belonging to/man of/nurse
100421	108086	alderman
100422	108106	maid
100423	108107	esquire
100424	108108	esquire
100425	108118	alderman
100426	108139	doctor
100427	108147	esquire
100428	108159	parson
100429	108170	widow(er)
100430	108172	of Inn of Court
100431	108196	knight
100432	108215	lady
100434	108217	gentle(wo)man
100435	108241	doctor
100436	108274	stranger
100437	108315	widow(er)
100438	108318	alderman
100439	108354	sheriff
100440	108355	lady
100441	108376	deceased
100442	108462	parson
100443	108473	Earl
100444	108474	lady
100445	108563	esquire
100446	108595	lady
100447	108702	alderman
100448	108796	alderman
100449	108860	alderman
100450	108876	alderman
100451	108891	stranger
100452	108892	stranger
100453	109004	gentle(wo)man
100454	109006	gentle(wo)man
100456	109039	gentle(wo)man
100457	109062	lord
100458	109064	lady
100459	109125	knight
100460	109132	lady
100461	109134	knight
100462	109136	lady
100463	109140	stranger
100464	109140	foreigner
100465	109139	stranger
100466	109139	foreigner
100467	109138	stranger
100468	109138	foreigner
100469	109149	knight
100470	109150	gentle(wo)man
100471	109150	maiden
100472	109151	gentle(wo)man
100473	109151	maiden
100474	109152	gentle(wo)man
100475	109152	foreigner
100476	109155	servant/belonging to/man of/nurse
100477	109159	maid
100478	109183	lady
100479	109187	lady
100480	109188	lady
100481	109194	knight
100482	109195	knight
100484	109193	knight
100485	109201	stranger
100486	109228	servant/belonging to/man of/nurse
100487	109242	knight
100488	109300	esquire
100489	109316	esquire
100490	109346	lady
100491	109347	lady
100492	109362	doctor
100493	109377	doctor
100494	109379	lady
100495	109412	lady
100497	109469	poor
100499	109584	esquire
100500	109666	deceased
100501	109713	deceased
100502	109816	lady
100503	109829	lady
100504	109838	esquire
100505	109859	lodger
100506	109889	lady
100507	109890	lady
100508	109969	rector
100510	110067	alderman
100511	110069	alderman
100512	110070	lady
100513	110078	rector
100515	110196	citizen of London
100516	110198	citizen of London
100517	110199	citizen of London
100518	110200	citizen of London
100519	110201	citizen of London
100520	110202	citizen of London
100521	110203	citizen of London
100522	110213	esquire
100524	110314	junior/the younger
100525	110366	alderman
100526	110403	junior/the younger
100527	110441	junior/the younger
100529	110470	esquire
100530	110481	alias
100531	110476	alias
100532	110486	esquire
100533	110543	doctor
100535	110597	alias
100536	110615	alias
100537	110617	alias
100538	110620	esquire
100539	110634	alias
100540	110666	alias
100541	110710	alias
100542	110754	alias
100543	110818	deceased
100544	110848	alias
100545	110872	alias
100546	110899	alderman
100547	110904	deceased
100548	110904	alderman
100549	110903	deceased
100550	110909	deceased
100551	110910	doctor
100552	110913	deceased
100553	110925	deceased
100554	110926	deceased
100555	110929	alderman
100556	110932	alderman
100557	110935	alderman
100558	110939	deceased
100559	110942	deceased
100561	110946	alias
100562	111012	widow(er)
100563	111017	deceased
100564	111029	alderman
100565	111036	deceased
100566	111039	alderman
100567	111045	parson
100568	111071	parson
100570	111079	parson
100571	111084	minister
100572	111085	widow(er)
100573	111090	baron
100575	111113	ancient/old/aged
100576	111133	parson
100577	111134	parson
100578	111150	deceased
100579	111162	deceased
100580	111128	deceased
100581	111165	deceased
100582	111170	esquire
100583	111182	deceased
100584	111201	alias
100585	111206	knight
100586	111207	knight
100587	111271	esquire
100588	111286	deceased
100589	111304	deceased
100590	111338	alderman
100591	111347	knight
100592	111362	deceased
100593	111367	gentle(wo)man
100594	111374	stranger
100596	111388	knight
100597	111388	baronet
100598	111422	senior/ the elder
100599	111479	lodger
100600	111480	lodger
100601	111501	junior/the younger
100602	111514	junior/the younger
100603	111533	deceased
100604	111548	deceased
100605	111562	deceased
100606	111576	junior/the younger
100607	111581	esquire
100608	111582	esquire
100609	111592	junior/the younger
100611	111608	esquire
100612	111624	esquire
100613	111675	widow(er)
100615	111681	esquire
100616	111686	doctor
100617	111693	widow(er)
100618	111730	stranger
100619	111782	servant/belonging to/man of/nurse
100620	111814	widow(er)
100621	111819	lodger
100622	111825	minister
100623	111855	lodger
100624	101445	Lady
100626	107660	lady
100627	108113	maiden
100628	109038	gentle(wo)man
100629	110058	alderman
100630	110291	esquire
100631	111890	esquire
100632	111900	esquire
100633	102358	lodger
100634	111928	alderman
100635	111938	deceased
100636	110464	alias
100637	110492	alias
100638	110493	alias
100639	110465	alias
100640	110477	alias
100641	110539	alias
100642	110540	alias
100643	110559	alias
100644	110560	alias
100645	110648	alias
100646	110649	alias
100647	110664	alias
100648	102060	deceased
100649	102062	deceased
100650	102064	deceased
100651	102093	gentle(wo)man
100652	112010	alderman
100653	112013	stranger
100654	112018	parson
100655	106754	stranger
100656	106940	stranger
100657	107003	parish child/child of the people
100658	107057	widow(er)
100659	107121	alderman
100660	107290	doctor
100661	103515	doctor
100662	100070	widow(er)
100663	101870	doctor
100664	111154	alderman
100665	111452	of Inn of Court
100666	112081	senior/ the elder
100667	112197	alderman
100668	112204	stranger
100669	112542	widow(er)
100670	113192	deceased
100671	113356	esquire
100672	113694	widow(er)
100673	113814	alderman
100674	113886	knight
100675	113931	junior/the younger
