parish	title	forename	surname	occuaption	loans	notes
St Mary le Bowe	capt	Fras	Roe		£20	
St Mary le Bowe		Danl	Woodgate		£5	
St Mary le Bowe		Thos	Allen		£20	"""Cheapside"""
St Mary le Bowe		Jn	Roe		£10	
St Mary le Bowe		Fras	Dashwood		£10	
St Mary le Bowe		Harman	Sheafe		£20	
St Mary le Bowe		Fras	Knight		£10	
St Mary le Bowe		Ric	Nicolls		£3	
St Mary le Bowe		Jn	Goddard		£20	
St Mary le Bowe		Matthew	Abbott		£10	
St Mary le Bowe		Roger	Heyton		£10	
St Mary le Bowe		Henry	Dumbaun		£5	
St Mary le Bowe		James	White		£5	
St Mary le Bowe		Jacob	Tooly		£10	"""and partner"""
St Mary le Bowe		Henry	Hickford		£10	
St Mary le Bowe		Wm	Allen		£20	
St Mary le Bowe		Fras	Porchen		£6 13s 4d	
St Mary le Bowe		Saml	Turner		£10	
St Mary le Bowe		Edwd	Anthony		£15	
St Mary le Bowe		Jas	Price		£3	
St Mary le Bowe		Ric	Crawley		£20	
St Mary le Bowe		Thos	Waterhous		£10	
St Mary le Bowe		Theoph	Ryley		£20	
St Mary le Bowe		Symon	Hammond		£10	
St Mary le Bowe		George	Mayoe		£5	
St Mary le Bowe		Ric	Miller		£5	
St Mary le Bowe		Jn	Redford		£5	
St Mary le Bowe		Wm 	Ball		£5	
St Mary le Bowe		Danl	Farbalk		£25	"""and partner"""
St Mary le Bowe		Saml	Bazley		£10	
St Mary le Bowe		Thos	Allen	Chururgeon	£5	
St Mary le Bowe		Jn	Shawe		£5	
St Mary le Bowe		George	Warren		£20	"""and partner"""
St Mary le Bowe		Samuel	Foote		£10	
St Mary le Bowe		Daniel	Penngton		£20	
St Mary le Bowe		Wm	Hubbold		£10	
St Mary le Bowe		Jn	Middleton		£5	
St Mary le Bowe		George	Dixford		£10	
St Mary le Bowe		Thos	Russell		£20	
St Mary le Bowe			Chamberlain		£3	forename blank
St Mary le Bowe		Wm	Wormell		£25	
St Mary le Bowe		Wm	Scrimshaw		£15	
St Mary le Bowe		Thos	Hesilrigg		£10	
St Mary le Bowe		Josias	Cut		£10	surname unclear
St Mary le Bowe			Layton		£5	forename blank
St Mary le Bowe		Michael	Stancliffe		£5	
St Mary le Bowe		Edwd	Stretchley		£5	
St Mary le Bowe	Mr		Leason		£5
St Mary le Bowe		Wm	Peisley		£5
