id	 COUNTY	 VALUE	 PLAINTIFF	 P_RESIDENCE	 P_COUNTY	 P_OCCUP	 DEFENDANT	 D_RESIDENCE	 D_COUNTY	 D_ALIAS_RES	 D_ALIAS_CO	 D_OCCUP	 DETAILS
2	KENT	50	PETTE RIC				SMITH JOHN	KEMSING	KENT			HUSBANDMAN	On 20 August 1500 at Sevenoaks (Kent) the defendant bought 6 \r\nheifers and 3 steers for 56s of which he repaid only \r\n12s.\r\n\r\nCATTLE
3	BUCKS	2	POWER ROB				MAUNCELL JOHN	WHITCHURCH	BUCKS			CLERK	On 1 November 1499 at Whitchurch (Bucks) the plaintiff bought 15 \r\nquarters of barley from the defendant. Said barley was to be \r\ndelivered when required but was not.\r\n\r\nGRAIN
4	LONDON	17	HANKYNS WM	LONDON	LONDON	CITIZEN & SALTER	HAMPTON JOHN	HURLEY	BERKS			PRIOR OF ST MARY HURLEY	On 24 Sept 1497 in the parish of St Michael in Queenhithe, the \r\nprior's predecessor bought from the plaintiff 4 pouderd and 18 \r\nmodios of salt called bay salt; 21 sacks; 71 fish called \r\nstockfish, 80 fish called saltfish; 3,017 pounds of iron; 25 and \r\nthree quarter weys of cheese; 43 bunches of garlic, 8 bunches of \r\nonions, 41 cades of herrings called red herrings; 23 barells and \r\n3 firkins of white herrings; 15 cades of sprotes (sprats?); 3 \r\nbarells of 'green fish'; 22 gallons of oil called 'lamp oil'; 201 \r\nquarts of hops; 28 pounds of flex (flax?); 4 gallons of oil \r\ncalled 'mete oyle'; 18 pounds of wax, 4 barrels and 4 baskets for \r\nœ85, of which he paid œ71. On 28 October 1498, in the same place, \r\nthis present prior bought 218 pounds of iron; 12 Modios of salt \r\ncalled bay salt; a barrell of white herrings, a cade of red \r\nherrings; 25 fish called saltfish and 25 stockfish; 6 bunches of \r\ngarlic and a wey of cheese for œ3. \r\n\r\nGARLIC/ONIONS
5	MIDDX	7	LUSON THOS				FAUNCE JOHN	STRATFORD LANGTHORN	ESSEX			COLERMAKER	On 10 August 1500, at Westminster, the defendant bought 11 colars \r\ncalled horsecollars; 11 'touras' called 'treyses' (traces?) and \r\n11 'capistr' called halters for said £7.\r\n\r\nHORSE HARNESS
6	MIDDX	10	BARE JOHN				CHARVALL THOS	INGRAVE PARISH	ESSEX			PANNAR	On 12 January 1498, at Dehuchapell (?) the defendant bought 60 \r\nskins called ox skins for £10 - payment when required.\r\n
7	LONDON	158.02	LAUNSON HENRY				BRYKYNDEN JOHN	GRAVEBROKE/BRAVEBROKE	KENT			CLOTHMAKER	On 20 August 1499 in London in the parish of St Magnus in the \r\nWard of Bridge the defendant received a bale of madder to keep \r\nfor the plaintiff but he unjustly detained it.\r\n\r\nDYESTUFF
8	LONDON	8	HILTON ROGER	LONDON	LONDON	CITIZEN & SKINNER	CLERK THOS	CAMBRIDGE	CAMBS			CHAPMAN	On the 1 June 1492, in the parish of St Brigid in Farringdon Ward \r\nthe plaintiff gave the defendant 2 butts of Malmsey to safely \r\nkeep and deliver to one John Rede of King's Lynn, but the \r\ndefendant failed to deliver said butts.\r\n\r\nWINE
9	LONDON	219.04	PASEMER JOHN	LONDON	LONDON	CITIZEN & SKINNER	PARMENTER JOHN	BURY ST EDMUNDS	SUFFOLK			DYER	On 28 July 1497 in London in the parish of St Sepulchre in \r\nFarringdon ward, the defendant bought 8 bales of woad - payment \r\nwhen required.\r\n\r\nDYESTUFF
10	LONDON	219.04	PASEMER JOHN	LONDON	LONDON	CITIZEN & SKINNER	HARMER JOHN	BURY ST EDMUNDS	SUFFOLK			COVERLETWEVER	On 28 July 1497 in London in the parish of St Sepulchre in \r\nFarringdon ward, the defendant bought 8 bales of woad - payment \r\nwhen required.\r\n\r\nDYESTUFF
11	BEDS	3	MARSHALL WM (pp)				COSSE HENRY	WESTONING	BEDS			HUSBANDMAN	On 8 September 1499 at Toddington (Beds) the plaintiff bought \r\nfrom the defendant 30 quarters of barley which was to be \r\ndelivered when required - but was not.\r\n\r\nGRAIN
12	BEDS	122.03	WOBURN THOS ABBOT OF	WOBURN	BEDS	ABBOT OF S MARY WOBURN	BLAKET JOHN	TRING	HERTS			YEOMAN	On 13 May 1500 at Woburn (Beds) the defendant bought from the \r\nabbot 28 tods of wool for £8.17.4 to pay when required. The \r\ndefendant repaid £6.6.8 and owes the rest.\r\n
13	LONDON	32	MORS THOS			CLOTH..?WORKER OR CLOTHIER	CURRANT RIC	EXETER	DEVON			MERCHANT	On 12 March 1497 in the parish of St Magnus in Dowgate Ward, the \r\ndefendant bought 3 pieces of broadcloth called russet cloths, 3 \r\ncalled violet cloths and 2 called tawny cloths for £32. Payment \r\nwhen required.\r\n\r\nWOOLLEN CLOTH
14	BUCKS	122	DORMER WM				BRIGHTWELL NICHOLAS	CHERSELEY	BUCKS			GENT	On 20 June 1497 at West Wycombe (Bucks), the plaintiff bought \r\nfrom the defendant 10 and a half quarters of beans which were to \r\nbe delivered and were not.\r\n\r\nPEAS AND BEANS
15	LONDON	162.02	STAUNTON WM EXECS OF	BARTON SEGRAVE			KERVER JOHN	LONDON	LONDON			SHERMAN	On 1 June 1497 in the parish of St Sepulchre in the ward of \r\nFarringdon without, the plaintiff delivered woollen cloth to the \r\ndefendant and he either didn't pay or was supposed to 'return' it \r\nto the plaintiff and didn't. Defendant denies being given the \r\ncloth.
16	LONDON	2	GARDENER WM	LONDON	LONDON	CITIZEN & GROCER	BRON THOS	KINGSTON-ON-THAMES	SURREY			CHAPMAN	On 10 November 1493 in London in the parish of St Sepulchre the \r\ndefendant bought from the plaintiff a tunic called a jacket hung \r\nwith lambswool and 12 pounds of 'singinatis' (soap - see case \r\n38) for 10s and also borrowed 30s..\r\n\r\nCLOTHING
17	LONDON	69	HARTWELL THOS	LONDON	LONDON	CITIZEN & PANNAR	WILLOUGHBY HENRY	WOLLARTON	NOTTS			KNIGHT	On 10 March 1492 in London in the parish of St Sepulchre the \r\ndefendant agreed by letter of obligation to pay £20; on the 5 \r\nJuly 1491 in the same place the defendant had bought 2 and a half \r\nyards of woollen cloth of tawny medley, 2 and a half yards of \r\nplain tawny and 1 and a half yards of red for 24s.\r\n
18	DEVON	2	FRENSHE WM				COURTEYS HENRY	EXETER	DEVON			BAKER	At Exeter the defendant bought a horse, saddle and reins for \r\n40s.\r\n\r\nHORSE HARNESS
19	LONDON	12	GRYSTON JOHN				SELWODE JOANNA	ST CLEMENT DANE, LONDON	LONDON			WIDOW	On 17 July 1498 in London in the parish of St Peter in Cheapside \r\nthe defendnat bought 170 ells of linen cloth called Holland \r\ncloth, 59 ells of linen cloth called Brussell cloth, 25 \r\nfolds of lawne, 15 yards of buckram & 3 yards of silk called \r\nBruges satin for said £12.\r\n
20	LONDON	2	BOURGHCHIER ROGER	LONDON	LONDON	CITIZEN & MERCER	PLACE GRACIANUS DE LA	WORCESTER	WORCS			VITNER	On 10 April 1496 in London, parisg of St Sepulchre, the defendant \r\nbought 3 butts of wine called malmesey for £12 of which he repaid \r\n£10 and owes £2.
21	LONDON	124	BOURGHCHIER ROGER	LONDON	LONDON	CITIZEN & MERCER	PEVERELL ROB	BARFOLD	SUFFOLK			CLOTHMAKER	On 19 September 1494 in the parish of St Mary Magdalene in \r\nMillstreet, Cripplegate ward, the defendant bought 3 bales of \r\nwoad; 44 tods and 13 pounds of wool for £33.18.9 of which he paid  \r\n£29.8.9.\r\n\r\nDYESTUFF
22	LONDON	2	GOSE JOHN	LONDON	LONDON	CITIZEN & MERCER	AKYNNE JOHN	FRISKNEY	LINCS			GENT	On 8 July 1484 in parish of St Sepulchre, London, the defendant \r\nbought 7 folds of linen cloth called lawne, 2 yards of black \r\nsatin, 1 yard of black velvet and 1 ell of linen cloth called \r\nHolland cloth for 50s. He also borrowed 10s. He repaid only 20s.\r\n\r\nSILK
23	BEDS	4	HYGGYNS JOHN				EVERYNGHAM WM	WOBURN CHAPEL	BEDS			GENT	On 20 June 1498, at Milton Keynes (Bucks), the defendant bought \r\n20 quarters of malt for which he has not paid.\r\n
24	DEVON	66	ATWILL JOHN				BEAUMOUNT JOHN	STRETON GYFFORD	DEVON			CLERK	On 10 June 1499 at Exeter, the defendant bought 12 and a half \r\nyards of woollen cloth.\r\n
25	KENT	3	FOKENHAM ROB EXECS OF				BOURN RIC	EGERTON	KENT			HUSBANDMAN	On 12 September 1493 at Norton (Kent), the defendant bought 40 \r\nquarters of barley for £6 of which he paid £3.\r\n\r\nGRAIN\r\n
26	STAFFS	162.02	CHOWE MILO				NORTON WM	LICHFIELD	STAFFS			BAKER	On the 13 November 1498 at Lichfield (Staffs) the plaintiff \r\nbought from the defendant 20 quarters of malt which was to be \r\ndelivered to him when required and was not.\r\n
27	LONDON	2	POLE THOS	LONDON	LONDON	TAILOR	EVERARD THOS	BURFORD ON THE WOLD	OXON			GENT	On the 7 October 1494 the defendant bought a pipe of claret for \r\n£3 of which he repaid 20s.\r\n\r\nWINE
28	LONDON	3	PARAT JOHN	LONDON	LONDON	CITIZEN & MERCER	PARKER AGNES	NORWICH	NORFOLK			WIDOW	In 1496 in London, parish of St Peter, Cheapside, the defendant \r\nbought 40 black woollen hats; 2 pounds of GLOUVYS ET MASYS; 1 \r\npound of ONETSEDE & 2 pieces of PUKE.\r\n\r\nWOOLLEN CLOTH SPICES HATS ONION SEED\r\n
29	OXON	4	WOLLYNGTON NICHOLAS				HAWKYNS ROB	LONDON	LONDON			HATTER MERCHANT	At Michaelmas 1498, at Thame, the defendant bought from the \r\nplaintiff 41 oxen and steers for £22 - of which he paid £19 and \r\non the same day he arranged with the plaintiff to drive the \r\ncattle from Thame to Kingston Upon Thames, having and taking for \r\nhis work 20s. The plaintiff delivered the cattle but is owed 20s \r\nplus £3.\r\n\r\nCATTLE
30	LONDON	258.01	BRYAN THOS			KNIGHT	EDWARDS JOHN	HENDON	MIDDX			HUSBANDMAN	On the 4 June 1499, in London, in the parish of St Sepulchre, the \r\ndefendant bought from the plaintiff 45 oxen and 100 sheep for \r\n£98.11.6. of which he paid £55.13.4. and owes the rest.\r\n\r\nCATTLE
31	LONDON	4	BOURGHCHER ROGER	LONDON	LONDON	CITIZEN & MERCER	WYN JOHN	WORCESTER	WORCS			DYER	On the 12 May 1495 in London in the parish of St Peter, \r\nCheapside, the defendant bought 10 bales of woad for £40.11.11 - \r\nof which he paid £36.11.11.\r\n\r\nDYESTUFF
32	KENT	2	STEVYNSON SIMON EXECS OF	LONDON	LONDON	DRAPER	KYNG WM	MAIDSTONE	KENT			DRAPER	On 2 September 1496 at Maidstone, the defendant bought 2 woollen \r\ncloths called Kerseys for 40s and did not pay.\r\n\r\nWOOLLEN CLOTH
33	LONDON	2	DAWIS JOHN	LONDON	LONDON	CITIZEN & GROCER	QUADELES HENRY	LONDON	LONDON			HATTER MERCHANT	On the 25 May 1497 in London, in the parish of St Peter, \r\nCheapside, the defendant bought 8 tods of wool for 40s and did \r\nnot pay.\r\n
34	KENT	2	STAPLEGH RIC & WARE WM				BOWEDON JOHN	NORTH BENFLEET	ESSEX			HUSBANDMAN	On the 8 October 1493 at Gravesend (Kent), the defendant bought 2 \r\nhorses for 14s 8d and also borrowed from the plaintiffs 25s \r\n4d.\r\n\r\nCASH
35	KENT	4	ELFRYGHT JOHN				LEVENOTH THOS	SUTTON VALENCE	KENT			WEAVER	On 24 November 1481 at Sutton Valence (Kent), the defendant \r\nbought 20 quarters of malt for £4 and did not pay.\r\n
36	LONDON	85.03	LENARD THOS	LONDON	LONDON	HABERDASHER	HARINGTON WM	BRISTOL				WEAVER	on 1 October 1498 at London in the parish of St Sepulchre, \r\nFarringdon ward, the defendant bought 2 sacks of wool for 20 \r\nmarks and did not pay.\r\n
37	LONDON	37	PARET JOHN	LONDON	LONDON	CITIZEN & MERCER	WALSHE JOHN	SOUTHAMPTON				MERCHANT	On 25 August 1498 at London, parish of St Peter, Cheapside, the \r\ndefendant bought 28 barells of 'BRONUS VOCAT MOTY' for £37.\r\n
38	LONDON	38.03	GRAUNT RIC	LONDON	LONDON	CITIZEN & SALTER	BURGEYN THOS	SUTTON	BEDS			YEOMAN	On 4 April 1493 in London, in the parish of St Sepulchre, \r\nFaringdon, the defendant bought 2 barrels of 'singinatis' \r\ncalled soap; 1 barrel of liquorice called TRANE: 1 barrel of \r\nmetal called 'osmond'; 100 pounds of linen called 'flax' and 16 \r\n3/4 gallons of oil for 43s 6d\r\n\r\nIRON
39	HERTS	5	CHAPMAN JOHN				GATE WM	BALDOCK	HERTS			SAWYER	On 1 June 1499 at Baldock (Herts), the plaintiff bought 20 \r\nquarters of malt for £5. The malt was to be delivered to him when \r\nrequired but was not.\r\n
40	LONDON	187	ARNOLD ALEX	LONDON	LONDON	CITIZEN & GIRDELER	SKONE THOS	OXFORD	OXON			VITNER	On 9 May 1497, in London, parish of St Sepulchre, Faringdon, the \r\ndefendant bought 2 pieces of fustian called 'holmes'; half a \r\npiece of fustian called 'hosborns' 3 dozen girdles 'latar'; 3 \r\npieces of buckram; 1 piece of BOLTELL; 1 dozen needles called \r\npins; half a dozen CLAVOR' VOC ONTUAYLL; 2 pieces of pyrled satin \r\nDE SYPERS; 2 pieces of Black SAY; 2 pieces of woollen cloth \r\ncalled Brabon cloth, each containing 28 ells; 3 pieces of woollen \r\ncloth called Holand cloth, containing 80 ells; 2 pounds of thread \r\ncalled Bregis thread; 1 and a half dozen of WARE SOKEWYS; 2 \r\nbundles of paper called brown paper; half a dozen cottons; 2 \r\ndozen 'calamorior et scriptarior' called pens and inkhorns and \r\nhalf a doz of 'pannis tinctis' called painted cloth for £16.14.8 \r\nof which £8.19.8.repaid.\r\n\r\nLINEN COTTON SILK PINS/NEEDLES BELTS
41	MIDDX	45.04	WYCOCKKYS JOHN				DOLDON ROGER	COLBROKE	MIDDX			BEREBREWER	BEREBREWER\r\n\r\nBEER
41	MIDDX	8	WYCOCKKYS JOHN				BRAMFORD RIC	DODDERSHALL	BUCKS			GENT	GENT
41	MIDDX	12	WYCOCKKYS JOHN				SPODE THOS	ASCOTE IN GT MELTON	OXON			HUSBANDMAN	Debt is for 40 quarters of malt price £12.
43	LONDON	122	FRENDE JOHN	LONDON	LONDON	CITIZEN & GOLDSMITH	CHESTER JOHN	LONDON	LONDON			VINTNER	On 13 January 1497 in London in parish of St Sepulchre the \r\ndefendant bought one pipe of claret for 50s. To pay when \r\nrequired.\r\n\r\nWINE
44	SURREY	2	GREY RIC	LONDON	LONDON	CITIZEN & IRONMONGER	ALDEWYN RIC	PUTTENAM	SURREY			HUSBANDMAN	On the 1 March 1498 in Southwark the defendant bought one barrel \r\nof herrings, one barrel of shotlyn herring; a piece of linen \r\ncloth called 'middle sackcloth'; 8 and a half salmon in a barrel \r\nof water ('vacuam') for 28s 3d - to pay when asked; and on the \r\nsame day he borrowed 11s 9d.\r\n\r\nFISH
45	ESSEX	158.02	ROWE JOHN	LONDON	LONDON		BRYGHT WALTER	WALTHAM HOLY CROSS	ESSEX			BOCHER	On 10 September 1494 at Waltham Holy Cross (Essex), the defendant \r\nbought 40 sheep called 'veclers' (wethers?) for said 4 marks. He \r\nwas to pay on feast of All Saints following and did not.
