"CHESTER - Sales of Grain, malt and peas from the Dee Mills"																		
Source: PRO Class SC6 + Mss notes held by Victoria County History (Chester)																		
"WHEAT: London measure, struck bushel."																		
		Qtty sold			For:													
Yr fr Mich	Yr t Mich	Q_sold	b_sold	Dec-Qtr.	£	s	d	Dec-s/Qtr	S. per Qtr.	Note								
1376	1377																	
1377	1378																	
1378	1379	158	1	158.125	38	13	4.5	773.375	4.89									
1379	1380																	
1380	1381	171	4	171.5	74	9	2	1489.166667	8.68									#DIV/0!
1381	1382	140	7	140.875	66	16	11	1336.916667	9.49									#DIV/0!
1382	1383	167	5.5	167.6875	61	4	1	1224.083333	7.30									#DIV/0!
1383	1384	158	0	158	55	8	8	1108.666667	7.02									#DIV/0!
1384	1385	170	1	170.125	48	15	1	975.0833333	5.73									#DIV/0!
1385	1386	145	4	145.5	42	18	0.5	858.0416667	5.90									#DIV/0!
1386	1387	176	0	176	40	13	9	813.75	4.62	VCH notes								#DIV/0!
1387	1388	174	7	174.875	36	6	4.5	726.375	4.15									#DIV/0!
1388	1389									The account covers 18 months								
1389	1390	117	7	117.875	36	17	2	737.1666667	6.25	part-year - post-March								#DIV/0!
1390	1391	75	0.5	75.0625	31	3	11	623.9166667	8.31	part-year - post-March								#DIV/0!
1391	1392	10	0	10	2	13	4	53.33333333	5.33	"VCH notes. A/c for 18 days only, in February"								#DIV/0!
1392	1393									At farm - VCH notes								
1393	1394	228	1	228.125	54	19	9.5	1099.791667	4.82									#DIV/0!
1394	1395	187	0	187	39	9	3	789.25	4.22	Part year - Jan 6 - Mich								#DIV/0!
1395	1396	245	4	245.5	65	3	0	1303	5.31	VCH notes								#DIV/0!
1396	1397	188	2	188.25	75	3	2	1503.166667	7.98	VCH notes								#DIV/0!
1397	1398	207	0	207	80	10	10	1610.833333	7.78									#DIV/0!
1398	1399	146	5	146.625	57	3	4.5	1143.375	7.80	VCH notes								#DIV/0!
1399	1400	171	2	171.25	73	6	8	1466.666667	8.56	VCH notes								#DIV/0!
1400	1401	87	1	87.125	43	9	10	869.8333333	9.98	VCH notes								#DIV/0!
1401	1402	87	5.5	87.6875	50	6	8	1006.666667	11.48	VCH notes								#DIV/0!
1402	1403	106	7.5	106.9375	52	0	9	1040.75	9.73									#DIV/0!
