LONDON  WHEAT PRICES 1277/8-1400 (year ending 29Sept): updated April 1999																														
All prices rendered as shillings per 8-bushel quarter																														
Year beg.	Year end	DAY	SOURCE	Original	Pavement	Billingsgate	Queenhithe	London	Westminster	Notes																				
29/9	29/9																													
1277	1278	Oct 20	AA		5.56		5.85																							
1277	1278	Nov 20	AA		6.06	5.87																								
1278	1279	Oct 9	AA		5.41		5.41																							
1279	1280	Oct 11	AA		5.67		5.25																							
1280	1281																													
1281	1282	Oct 9	AA		6.00		5.77																							
1281	1282	Nov 17	AA		7.00																									
1282	1283	Oct 15	AA		5.71		5.92																							
1282	1283	Nov 19	AA		6.67																									
1283	1284		StP					4.89																						
1283	1284		StP					6.50																						
1283	1284	Oct 16	AA		6.58	6.67																								
1283	1284		StP					6.89																						
1283	1284		StP					6.67																						
1284	1285	Nov 25	AA		5.54		5.63																							
1284	1285	Nov 30	AA		5.50																									
1285	1286	Oct 13	AA		5.59		5.55																							
1285	1286	Jan 25	AA		6.25																									
1286	1287	Dec 21	AA		5.33		5.13																							
1286	1287	Apr 16	AA		4.75																									
1286	1287		StP					4.63																						
1287	1288	Oct 4	AA		3.71		3.70																							
1288	1289	Oct 8	AA		3.50		3.48																							
1289	1290	Oct 5	AA		3.95		3.92																							
1290	1291	Oct 13	AA		6.41	5.37	5.92																							
1291	1292	Oct 8	AA		6.00		5.85																							
1291	1292	Oct 15	AA		6.00																									
1292	1293	Oct 6	AA		5.00		4.89																							
1292	1293	after Feb	WA					5.47																						
1293	1294	Oct 13	A		8.00		7.41																							
1293	1294		WAA					8.00																						
1293	1294		WAA					7.33																						
1293	1294		WA					6.67																						
1293	1294		WA					6.00																						
1294	1295	Oct 4	A		8.29		7.97	0.00																						
1294	1295	Oct  6 (turta)	A		7.50																									
1294	1295	Mar-may	PRO Corn 				9.17	9.33																						
1294	1295	Mar-May	PRO Corn				9.33																							
1294	1295	Mar-May	PRO Corn					9.00																						
1294	1295	Mar-May	PRO Corn				9.00	8.00																						
1294	1295	Apr 3 c.	PRO Corn					9.04																						
1295	1296	Oct 5 (turta)	A		7.02																									
1295	1296	Oct 12	A		7.50	7.55	7.51																							
1296	1297	Oct 8	A		5.33	5.33	5.33																							
1296	1297	Oct 15	A		5.12	4.98																								
1296	1297	often	A					5.44																						
1297	1298	Nov 8	A					5.50																						
1297	1298	Sept 12	AB		4.75	4.74	4.89																							
1298	1299	Oct 6	AB				4.67																							
1298	1299	Oct 11	AB		5.00	5.00	5.33																							
1298	1299	Dec 23	A		5.50		5.77																							
1298	1299	Mar 6	A		7.00	7.11	7.11																							
1298	1299	May 4	A		6.50	6.67	6.67																							
1299	1300	Oct 15	AB		7.25	7.22	8.11																							
1299	1300	Dec 10	AB		8.17																									
1300	1301	Oct 6	AB		5.83	5.83	6.28																							
1300	1301	Oct 14	AB		5.83																									
1300	1301		Sthwk					5.67																						
1301	1302	Oct 2	A		5.00	5.25	5.25																							
1301	1302	Oct 9	AB		5.00	5.26	5.26																							
1301	1302	Oct 25 (turta)	A		5.00																									
1301	1302	Dec 4	A		5.50	5.33	5.33																							
1301	1302	Jun 22	A		6.00	6.22	6.22																							
1302	1303	Oct 10	A		5.67	5.57	5.55																							
1302	1303	Oct 10 (turta)	A		5.50																									
1302	1303	Nov 26	A		6.33	6.22	6.22																							
1302	1303	Jan 17	A		6.50	6.81	6.81																							
1302	1303	after Feb	WA					5.53																						
1302	1303	after Feb	WA					6.67																						
1303	1304	Oct 7	A		4.75	4.85	4.81																							
1303	1304	Oct 24 (turta)	A		4.50																									
1303	1304	Nov 30	A		4.50	4.44	4.89																							
1303	1304	Mar 1 c.	Shill					4.00																						
1303	1304	after Mar 2	Shill					3.53																						
1303	1304	Apr 20	A		4.00	4.44	4.44																							
1303	1304		WA					4.27																						
1304	1305	Oct 8	A		5.25	4.89	4.89																							
1304	1305	Oct 8 (turta)	A		4.50																									
1304	1305	Nov 13	A		6.17	5.92	5.92																							
1304	1305	Nov 21	A		6.17	5.92	5.92																							
1304	1305	Jan 29	A		8.00	7.55	7.55																							
1304	1305	Feb 5	A		8.50	8.00	8.00																							
1304	1305		WA					6.93																						
1305	1306	Oct 6	A		5.83	6.29	6.29																							
1305	1306	Oct 15 (turta)	A		5.75																									
1305	1306	Nov 25	A		5.85		6.06																							
1305	1306	Feb 22	A		6.00	6.15	6.15																							
1305	1306	May 11	A		5.50	5.48	5.48																							
1306	1307	Oct 10 (turta)	A		5.33																									
1306	1307	Nov 28	A			5.92	5.92																							
1306	1307	Feb 25	A		4.83	5.03	5.03																							
1307	1308	Oct 12	A		6.00	5.89	5.89																							
1307	1308	Oct 13 (turta)	A		6.00																									
1307	1308	Nov 18	A		6.00	5.92	5.92																							
1307	1308	Aug 7	A		6.67	6.67	6.67																							
1307	1308	Nov 25	A		6.50	6.22	6.22																							
1307	1308		Sthwk					6.00																						
1307	1308		Sthwk					5.53																						
1307	1308		Sthwk					6.67																						
1308	1309	Oct 7	A		8.00	7.67	7.67																							
1308	1309	Oct  7	A		7.75																									
1308	1309	Dec 16	A		8.50	8.00	8.00																							
1308	1309	Feb 13	A		8.33	8.00	8.00																							
1308	1309	Apr 14	A		9.33	8.50	8.50																							
1309	1310	Oct 13	AD		8.00	7.71	7.71																							
1309	1310	Nov 7 (turta)	AD		8.09																									
1309	1310	Sept 16 (turta)	AD		9.67																									
1310	1311	Oct 5	AD		8.75	8.45	8.45																							
1310	1311	Dec 4	AD		8.67	8.22	8.22																							
1310	1311	Dec 18	AD					9.25																						
1310	1311	Jan 23	AD		9.50	9.19	10.00																							
1310	1311	Mar 7	AD					10.42																						
1310	1311	May 29	AD					10.00																						
1311	1312	Oct 22	AD		6.00	5.93	5.78																							
1311	1312	Nov 9 (turta)	AD		5.75																									
1311	1312	Apr 8	AD		5.50	5.33	5.33																							
1311	1312	Jun 26	AD		5.00	4.74	4.74																							
1312	1313	Oct 20	AD		6.00	4.74	5.33																							
1312	1313	Oct 25 (turta)	AD					5.33																						
1312	1313	Dec 1	AD					6.42																						
1312	1313	May 16	AD		5.83	6.00	6.00																							
1313	1314	Oct 24	AD		5.50	5.48	5.26																							
1313	1314	Nov 23 (turta)	AD					5.67																						
1313	1314	Feb 26	AD		5.17	5.78	5.78																							
1313	1314	Aug 7	AD					8.50																						
1314	1315	Oct 21	AD		6.50	6.46	6.31																							
1314	1315	Dec 10 (turta)	AD		7.42																									
1314	1315	Jan 17	AD		8.00	7.55	7.55																							
1314	1315	Mar 24	AD		7.83	7.11	7.55																							
1314	1315	Apr 9	AD		7.50	7.11	7.55																							
1314	1315	Jul 21	AD		18.00	16.00	16.00																							
1314	1315	Sept 8	AD		12.00	11.85	11.85																							
1315	1316	Dec 4	AD		13.25	13.78	13.78																							
1315	1316	Dec 9 (turta)	AD		13.00																									
1315	1316	Jan 30	AD					16.83																						
1315	1316	Feb 3	AD					18.33																						
1315	1316	Feb 23	AD					19.00																						
1315	1316	April 16	AD		26.67	26.67	26.67																							
1315	1316	May 1	AD					24.00																						
1315	1316	May 10	AD					26.00																						
1315	1316	Jun 25	AD		24.00	24.89	24.89																							
1315	1316	Jul 5	AD			25.78	25.78																							
1316	1317	Oct 12 (turta)	A		15.51																									
1316	1317	Oct 13	A		17.00	15.55	16.74																							
1317	1318	Oct 13	A		10.00	9.85	9.85																							
1317	1318	Oct 13 (turta)	A					10.00																						
1318	1319	Oct 11	A		5.67	5.03	5.65																							
1318	1319	Oct  14 (turta)	A					4.83																						
1318	1319	Oct 17	A		5.50	5.03	5.03																							
1318	1319	Dec 15	A		4.33	4.74	4.74																							
1318	1319	Dec 18	A		4.83	5.03	5.03																							
1318	1319	Jan 13	A		4.50	4.44	4.44																							
1318	1319	Mar 26	A		4.50	4.15	4.44																							
1319	1320	Nov 3  (turta)	A					5.41																						
1319	1320	Dec 1	A		5.33	5.03	5.03																							
1319	1320	Dec 3	A		5.00	4.45	4.89																							
1319	1320	Dec 17	A		4.50	4.00	4.45																							
1319	1320	Dec 19	A		4.50	4.00	4.44																							
1319	1320	Feb 11	A		5.33	5.04	5.04																							
1319	1320	Mar 21	A					5.41																						
1319	1320	Apr 19 	A		5.50	5.04	5.04																							
1319	1320	Apr 28	A		6.00	5.33	5.33																							
1319	1320	Aug 8	A		5.33	4.74	4.74																							
1319	1320	Sep 1	A		5.50	4.89	4.89																							
1320	1321	Oct 17 (turta)	A					6.33																						
1320	1321	Oct 20	A		6.17	5.63	5.78																							
1320	1321	Dec 8	A		6.50	5.78	5.78																							
1320	1321	Mar 2	A		6.67	6.22	6.22																							
1320	1321	May 25	A		7.00	7.41	8.00																							
1320	1321	Jun 12	A					8.00																						
1320	1321	Jun 17	A		7.00	7.41	8.00	7.50																						
1320	1321	Sep 6	A		8.58	7.48	7.71																							
1320	1321	Sep 28 (turta)	A					8.67																						
1321	1322	Oct 9	A		10.33	9.33	9.33																							
1321	1322	Dec 18	A		10.00	8.89	8.89																							
1321	1322	Feb 3	A		11.50	8.89	8.89																							
1321	1322	Mar ?	A					10.00																						
1321	1322	Apr 14 (turta:English wht)	A					14.00																						
1321	1322	Apr 14 (turta:French wht)	A					13.00																						
1321	1322	Apr 26	A					13.50																						
1321	1322	Apr 30	A					13.50																						
1321	1322	May 8	A		18.00																									
1321	1322	May 28	A			14.22	14.22																							
1321	1322	Sep 27 (turta)	A					10.00																						
1322	1323	Oct 9  	A		9.91	10.37	10.37																							
1322	1323	Oct 13	A					11.63																						
1322	1323	Nov 15	A					10.00																						
1322	1323	Nov 19	A		9.33	9.19	9.19																							
1322	1323	Nov 22	A					11.08																						
1322	1323	Jan 24	A		12.00	11.85	11.85																							
1322	1323	Feb 4	A		12.50	12.45	12.45																							
1322	1323	Feb 7 (turta)	A		12.00	10.67	10.67																							
1322	1323	Mar 21	A		12.50	12.45	12.45																							
1322	1323	Jun 1	A		10.00	9.78	9.78																							
1322	1323	Jun 7	A		10.00	9.48	9.48																							
1322	1323	Jun 13	A					8.41																						
1322	1323	Jun 24	A		9.00	8.59	8.45																							
1322	1323	Jul 4	A					9.75																						
1322	1323	Jul 8	A		8.67	8.45	8.45																							
1322	1323	Jul 25	A		9.00	8.45	8.45																							
1323	1324	Oct 3	A		7.67	6.45	6.74																							
1323	1324	Oct 3 (turta)	A					8.00																						
1323	1324	Oct 10	A		7.50	7.55	7.55																							
1323	1324	Dec 5	A		7.67	7.41	7.41																							
1323	1324	Dec 21	A		7.50	7.11	7.11																							
1324	1325	Oct 12 	A		7.67	7.78	7.11	7.00																						
1324	1325	Oct 17	A		7.50	7.55	7.55																							
1324	1325	Oct 22	A		7.17	7.11	7.11																							
1324	1325	Nov 5 	A					9.25																						
1324	1325	Dec 20-1	A					9.00																						
1324	1325	Dec 20-1	A					8.67																						
1324	1325	Feb 13	A					10.50																						
1324	1325	Jul 11	A					8.50																						
1324	1325	Jul 22	A					8.50																						
1324	1325	Jul 28	A					8.50																						
1324	1325	Jul 30	A					9.00																						
1325	1326	Oct 4 (turta)	A		6.00	6.07	5.78	6.08																						
1325	1326	Jan 14	A					7.25																						
1325	1326	Apr 19	A					5.50																						
1326	1327	Oct 14 (turta)	A		4.33	3.71	4.45																							
1326	1327	Oct 14	A		4.50																									
1327	1328	Oct 3	A		4.50	4.29	4.15																							
1327	1328	Oct 7	A		4.50	4.29	4.15																							
