name,surname,surname_id,recipient_match,control_match,recipient_surname,control_surname,surname_metaphone,surname_soundex,surname_mp_se,mp_se_id,u_id,found_control_group,recipient_control_group,found_treatment_group,recipient_treatment_group
"Abbot, Arthur, Harriet, 70",Abbot,2.0,1.0,0.0,0.0,0.0,APT,A103,APT A103,2.0,2.0,0,0,0,0
"Abbotsbury, 348",Abbotsbury,7824.0,0.0,0.0,0.0,0.0,APTSPR,A10321060,APTSPR A10321060,7824.0,7824.0,0,0,0,0
"Abbott, Ann, 211; Anne, 157, 159; Sir Charles, 44; George, 211; William, 157",Abbott,,1.0,0.0,0.0,0.0,APT,A103,APT A103,2.0,2.0,0,0,0,0
"Abingdon, Berks., 55",Abingdon,,0.0,0.0,0.0,0.0,APNKTN,A1052305,APNKTN A1052305,5.0,5.0,0,0,0,0
"Aboukir, H.M.S., 87, 277",Aboukir,7825.0,0.0,0.0,0.0,0.0,APKR,A10206,APKR A10206,7825.0,7825.0,0,0,0,0
"Abyssinia, barque, 8",Abyssinia,7826.0,0.0,0.0,0.0,0.0,APSN,A102050,APSN A102050,7826.0,7826.0,0,0,0,0
"Achym, Cecily, 312",Achym,,0.0,0.0,0.0,0.0,AXM,A205,AXM A205,6032.0,6032.0,0,0,0,0
"Ackland, Acland, Arthur, 167; Clara, 270; Henry, 47; Thomas, Sir Thomas, 167; William, 270",Ackland,,0.0,0.0,0.0,0.0,AKLNT,A24053,AKLNT A24053,12.0,12.0,0,0,0,0
"Acland-Troyte, Sir Gilbert, H., John, Marjorie, 167",AclandTroyte,7827.0,0.0,0.0,0.0,0.0,AKLNTRT,A240536030,AKLNTRT A240536030,7827.0,7827.0,0,0,0,0
"Acraman, Laura, 274",Acraman,,0.0,0.0,0.0,0.0,AKRMN,A260505,AKRMN A260505,10549.0,10549.0,0,0,0,0
"Adams, Addems, Beverley, 63; Edward, Harriette, 160; Henry, 340; Isabel, 145; Jane, 314; John, 314, 320, 340(2); Mary, 306; Nicholas, 60; Robert, 145; Rose, 46; S., 50; Sidney, 340; William, 160, 331",Adams,15.0,0.0,0.0,1.0,0.0,ATMS,A3052,ATMS A3052,15.0,15.0,0,0,0,1
"Addington, Charles, 324; Edward, Georgiana, 322; Gerald, 324; Gertrude, 322; Henry, 322(2); Hilary, Leonard, Lietitia, Mary, 322; William, 322(3), 324",Addington,16.0,0.0,0.0,0.0,0.0,ATNKTN,A3052305,ATNKTN A3052305,16.0,16.0,0,0,0,0
"Aeldred, 101",Aeldred,13087.0,0.0,0.0,0.0,0.0,ALTRT,A043603,ALTRT A043603,13087.0,13087.0,0,0,0,0
"Æthelheard, King, 82",Æthelheard,7828.0,0.0,0.0,0.0,0.0,0LRT,Æ304063,0LRT Æ304063,7828.0,7828.0,0,0,0,0
"Affray, H.M. Submarine, 88",Affray,13088.0,0.0,0.0,0.0,0.0,AFR,A160,AFR A160,13088.0,13088.0,0,0,0,0
"Afton, 266",Afton,7829.0,0.0,0.0,0.0,0.0,AFTN,A1305,AFTN A1305,7829.0,7829.0,0,0,0,0
