id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	BUC/001/rose	BUC/001	rose	Addington	AP	Addington	1813-1820	24	0.00	1	8	1.00	farmer	1	1.00
2	BUC/001/rose	BUC/001	rose	Addington	AP	Addington	1813-1820	24	0.00	1	8	1.00	farmer and dairyman	1	1.00
3	BUC/001/rose	BUC/001	rose	Addington	AP	Addington	1813-1820	24	0.00	1	8	1.00	footman	1	1.00
4	BUC/001/rose	BUC/001	rose	Addington	AP	Addington	1813-1820	24	0.00	1	8	1.00	pauper	9	9.00
5	BUC/001/rose	BUC/001	rose	Addington	AP	Addington	1813-1820	24	0.00	1	8	1.00	poor	3	3.00
6	BUC/001/rose	BUC/001	rose	Addington	AP	Addington	1813-1820	24	0.00	1	8	1.00	steward	2	2.00
7	BUC/001/rose	BUC/001	rose	Addington	AP	Addington	1813-1820	24	0.00	1	8	1.00	dairyman	7	7.00
8	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	clergyman	5	5.00
9	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	yeoman	5	5.00
10	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	shoemaker	1	1.00
11	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	servant	2	2.00
12	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	labourer	67	67.00
13	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	innkeeper and publican	3	3.00
14	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	illegitimate	1	1.00
15	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	farmer	13	13.00
16	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	carpenter	3	3.00
17	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	butcher	1	1.00
18	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	blacksmith	2	2.00
19	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	baker	6	6.00
20	BUC/002/rose	BUC/002	rose	Adstock	AP	Adstock	1813-1820	110	0.00	1	8	1.00	fellmonger	1	1.00
21	BUC/003/rose	BUC/003	rose	Akeley	AP	Akeley	1813-1820	80	1.27	1	8	1.00	labourer	48	48.00
22	BUC/003/rose	BUC/003	rose	Akeley	AP	Akeley	1813-1820	80	1.27	1	8	1.00	illegitimate	1	1.00
23	BUC/003/rose	BUC/003	rose	Akeley	AP	Akeley	1813-1820	80	1.27	1	8	1.00	yeoman	1	1.00
24	BUC/003/rose	BUC/003	rose	Akeley	AP	Akeley	1813-1820	80	1.27	1	8	1.00	shopkeeper	3	3.00
25	BUC/003/rose	BUC/003	rose	Akeley	AP	Akeley	1813-1820	80	1.27	1	8	1.00	shoemaker	5	5.00
26	BUC/003/rose	BUC/003	rose	Akeley	AP	Akeley	1813-1820	80	1.27	1	8	1.00	farmer	13	13.00
27	BUC/003/rose	BUC/003	rose	Akeley	AP	Akeley	1813-1820	80	1.27	1	8	1.00	carpenter	4	4.00
28	BUC/003/rose	BUC/003	rose	Akeley	AP	Akeley	1813-1820	80	1.27	1	8	1.00	butcher	3	3.00
29	BUC/003/rose	BUC/003	rose	Akeley	AP	Akeley	1813-1820	80	1.27	1	8	1.00	blacksmith	1	1.00
