id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	labourer	314	314.00
2	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	gentleman	3	3.00
3	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	farmer	117	117.00
4	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	weaver	11	11.00
5	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	carpenter	13	13.00
6	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	servant	1	1.00
7	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	illegitimate	59	59.00
8	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	bricklayer	11	11.00
9	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	basket maker	5	5.00
10	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	wheelwright	6	6.00
11	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	toll bar keeper	1	1.00
12	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	liquor merchant	2	2.00
13	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	publican	1	1.00
14	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	clerk	5	5.00
15	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	cordwainer	32	32.00
16	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	tailor	7	7.00
17	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	miller	10	10.00
18	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	shoemaker	40	40.00
19	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	blacksmith	13	13.00
20	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	butcher	5	5.00
21	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	flax dresser	2	2.00
22	CHR/001/rose	CHR/001	rose	Acton	AP	Acton	1813-1820	684	0.00	1	8	1.00	farmer and sadler	1	1.00
