id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	COR/001/rose	COR/001	rose	Advent	CH	Lanteglos by Camelford	1813-1820	51	0.00	1	8	1.00	farmer	16	16.00
2	COR/001/rose	COR/001	rose	Advent	CH	Lanteglos by Camelford	1813-1820	51	0.00	1	8	1.00	labourer	17	17.00
3	COR/001/rose	COR/001	rose	Advent	CH	Lanteglos by Camelford	1813-1820	51	0.00	1	8	1.00	miller	2	2.00
4	COR/001/rose	COR/001	rose	Advent	CH	Lanteglos by Camelford	1813-1820	51	0.00	1	8	1.00	illegitimate	9	9.00
5	COR/001/rose	COR/001	rose	Advent	CH	Lanteglos by Camelford	1813-1820	51	0.00	1	8	1.00	churchwarden	1	1.00
6	COR/001/rose	COR/001	rose	Advent	CH	Lanteglos by Camelford	1813-1820	51	0.00	1	8	1.00	shoemaker	2	2.00
7	COR/001/rose	COR/001	rose	Advent	CH	Lanteglos by Camelford	1813-1820	51	0.00	1	8	1.00	carpenter	1	1.00
8	COR/001/rose	COR/001	rose	Advent	CH	Lanteglos by Camelford	1813-1820	51	0.00	1	8	1.00	yeoman	2	2.00
9	COR/001/rose	COR/001	rose	Advent	CH	Lanteglos by Camelford	1813-1820	51	0.00	1	8	1.00	hatter	1	1.00
10	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	labourer	101	101.00
11	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	coachman	1	1.00
12	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	miner	1	1.00
13	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	shoemaker	6	6.00
14	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	tinner	5	5.00
15	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	farmer	48	48.00
16	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	clergyman	1	1.00
17	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	carpenter	10	10.00
18	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	illegitimate	13	13.00
19	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	blacksmith	4	4.00
20	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	tailor	3	3.00
21	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	mason	9	9.00
22	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	miller	2	2.00
23	COR/002/rose	COR/002	rose	Altarnon	AP	Altarnon	1813-1820	206	0.00	1	8	1.00	ostler	2	2.00
24	COR/003/rose	COR/003	rose	Antony	AP	Antony	1813-1820	623	0.33	1	8	1.00	labourer in the dockyard	32	32.00
25	COR/003/rose	COR/003	rose	Antony	AP	Antony	1813-1820	623	0.33	1	8	1.00	carpenter in the navy	3	3.00
26	COR/003/rose	COR/003	rose	Antony	AP	Antony	1813-1820	623	0.33	1	8	1.00	blacksmith	11	11.00
27	COR/003/rose	COR/003	rose	Antony	AP	Antony	1813-1820	623	0.33	1	8	1.00	husbandman	64	64.00
28	COR/003/rose	COR/003	rose	Antony	AP	Antony	1813-1820	623	0.33	1	8	1.00	shipwright	10	10.00
29	COR/003/rose	COR/003	rose	Antony	AP	Antony	1813-1820	623	0.33	1	8	1.00	pursemaker	1	1.00
