id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	pitman	70	70.00
2	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	labourer	185	185.00
3	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	plumber and glazier	3	3.00
4	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	soldier	6	6.00
5	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	farmer	78	78.00
6	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	tinker	3	3.00
7	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	whitesmith	1	1.00
8	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	cartwright	27	27.00
9	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	stay maker	3	3.00
10	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	cabinet maker	4	4.00
11	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	innkeeper	12	12.00
12	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	shoemaker	62	62.00
13	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	blockcutter	1	1.00
14	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	flax dresser	10	10.00
15	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	illegitimate	64	64.00
16	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	carrier	8	8.00
17	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	miller	12	12.00
18	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	mason	27	27.00
19	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	brick and tile maker	2	2.00
20	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	tailor	18	18.00
21	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	spirit merchant	1	1.00
22	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	draper	4	4.00
23	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	servant	8	8.00
24	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	blacksmith	29	29.00
25	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	drayman	1	1.00
26	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	hind	3	3.00
27	DUR/001/rose	DUR/001	rose	Auckland St Andrew	AP	Auckland St Andrew	1813-1820	815	0.00	1	8	1.00	clerk	5	5.00
