id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	labourer	255	255.00
2	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	blacksmith	21	21.00
3	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	farmer	19	19.00
4	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	carpenter	16	16.00
5	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	illegitimate	13	13.00
6	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	gardener	11	11.00
7	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	shoemaker	11	11.00
8	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	millwright	11	11.00
9	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	wheelwright 	10	10.00
10	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	higgler	8	8.00
11	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	paper manufacturer	7	7.00
12	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	tailor	7	7.00
13	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	butcher	5	5.00
14	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	publican	4	4.00
15	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	sawyer	3	3.00
16	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	solicitor	3	3.00
17	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	coal merchant	3	3.00
18	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	soldier	2	2.00
19	HER/001/rose	HER/001	rose	Abbots Langley	AP	Abbots Langley	1813-1820	452	0.23	1	8	1.00	shopkeeper	2	2.00
