id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	gardener	5	5.00
2	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	labourer	48	48.00
3	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	farmer	32	32.00
4	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	shoemaker	3	3.00
5	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	carpenter	3	3.00
6	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	cottager	2	2.00
7	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	illegitimate	2	2.00
8	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	soldier	1	1.00
9	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	rector	1	1.00
10	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	baker	1	1.00
11	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	servant	1	1.00
12	HNT/001/rose	HNT/001	rose	Abbots Ripton	AP	Abbots Ripton	1813-1820	101	0.00	1	8	1.00	weaver	2	2.00
13	HNT/002/rose	HNT/002	rose	Abbotsley	AP	Abbotsley	1813-1820	101	0.00	1	8	1.00	labourer	72	72.00
14	HNT/002/rose	HNT/002	rose	Abbotsley	AP	Abbotsley	1813-1820	101	0.00	1	8	1.00	farmer	16	16.00
15	HNT/002/rose	HNT/002	rose	Abbotsley	AP	Abbotsley	1813-1820	101	0.00	1	8	1.00	carpenter	4	4.00
16	HNT/002/rose	HNT/002	rose	Abbotsley	AP	Abbotsley	1813-1820	101	0.00	1	8	1.00	tailor	1	1.00
17	HNT/002/rose	HNT/002	rose	Abbotsley	AP	Abbotsley	1813-1820	101	0.00	1	8	1.00	horsedealer	1	1.00
18	HNT/002/rose	HNT/002	rose	Abbotsley	AP	Abbotsley	1813-1820	101	0.00	1	8	1.00	blacksmith	2	2.00
19	HNT/002/rose	HNT/002	rose	Abbotsley	AP	Abbotsley	1813-1820	101	0.00	1	8	1.00	butcher	1	1.00
20	HNT/002/rose	HNT/002	rose	Abbotsley	AP	Abbotsley	1813-1820	101	0.00	1	8	1.00	gypsy	2	2.00
21	HNT/002/rose	HNT/002	rose	Abbotsley	AP	Abbotsley	1813-1820	101	0.00	1	8	1.00	illegitimate	2	2.00
22	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	labourer	172	172.00
23	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	butcher	9	9.00
24	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	illegitimate	10	10.00
25	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	shoemaker	21	21.00
26	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	thatcher	3	3.00
27	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	farmer	25	25.00
28	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	carpenter	29	29.00
29	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	tailor	5	5.00
30	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	brazier	2	2.00
31	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	blacksmith	18	18.00
32	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	innkeeper	4	4.00
33	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	mason	2	2.00
34	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	soldier	1	1.00
35	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	glazier	2	2.00
36	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	bricklayer	3	3.00
37	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	filesmith	1	1.00
38	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	shopkeeper	1	1.00
39	HNT/003/rose	HNT/003	rose	Alconbury with Alconbury Weston	AP	Alconbury with Alconbury Weston	1813-1820	328	0.00	1	8	1.00	drover	2	2.00
