id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	husbandman	2.00	2.00
2	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	labourer	66.00	66.00
3	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	yeoman	1.00	1.00
4	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	waller	12.00	12.00
5	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	shoemaker	5.00	5.00
6	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	butcher	1.00	1.00
7	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	farmer	31.00	31.00
8	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	miller	3.00	3.00
9	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	illegitimate	9.00	9.00
10	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	parish clerk	2.00	2.00
11	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	fisherman	1.00	1.00
12	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	auctioneer	1.00	1.00
13	LAN/001/rose	LAN/001	rose	Aldingham	parish	Aldingham	1813-1820	135.00	0.00	1.00	8.00	1.00	tailor	1.00	1.00
14	LAN/002/rose	LAN/002	rose	Dendron	chapelry	Aldingham	1813-1820	58.00	0.00	1.00	8.00	1.00	labourer	18.00	18.00
15	LAN/002/rose	LAN/002	rose	Dendron	chapelry	Aldingham	1813-1820	58.00	0.00	1.00	8.00	1.00	farmer	18.00	18.00
16	LAN/002/rose	LAN/002	rose	Dendron	chapelry	Aldingham	1813-1820	58.00	0.00	1.00	8.00	1.00	shoemaker	4.00	4.00
17	LAN/002/rose	LAN/002	rose	Dendron	chapelry	Aldingham	1813-1820	58.00	0.00	1.00	8.00	1.00	ship carpenter	1.00	1.00
18	LAN/002/rose	LAN/002	rose	Dendron	chapelry	Aldingham	1813-1820	58.00	0.00	1.00	8.00	1.00	husbandman	2.00	2.00
19	LAN/002/rose	LAN/002	rose	Dendron	chapelry	Aldingham	1813-1820	58.00	0.00	1.00	8.00	1.00	house carpenter	3.00	3.00
20	LAN/002/rose	LAN/002	rose	Dendron	chapelry	Aldingham	1813-1820	58.00	0.00	1.00	8.00	1.00	waler	1.00	1.00
21	LAN/002/rose	LAN/002	rose	Dendron	chapelry	Aldingham	1813-1820	58.00	0.00	1.00	8.00	1.00	miller	2.00	2.00
22	LAN/002/rose	LAN/002	rose	Dendron	chapelry	Aldingham	1813-1820	58.00	0.00	1.00	8.00	1.00	tailor	3.00	3.00
23	LAN/002/rose	LAN/002	rose	Dendron	chapelry	Aldingham	1813-1820	58.00	0.00	1.00	8.00	1.00	blacksmith	2.00	2.00
