id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	labourer	38	38.00
2	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	blacksmith	4	4.00
3	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	framework knitter	1	1.00
4	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	carpenter	5	5.00
5	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	farmer	7	7.00
6	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	weaver	4	4.00
7	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	cordwainer	3	3.00
8	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	groom	2	2.00
9	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	gardener	3	3.00
10	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	illegitimate	3	3.00
11	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	grazier	4	4.00
12	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	shepherd	1	1.00
13	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	butcher and grazier	2	2.00
14	LEI/001/rose	LEI/001	rose	Ab Kettleby	AP	Ab Kettleby	1813-1820	78	0.00	1	8	1.00	wheelwright	1	1.00
15	LEI/002/rose	LEI/002	rose	Allexton	AP	Allexton	1813-1820	10	0.00	1	8	1.00	clergyman	2	2.00
16	LEI/002/rose	LEI/002	rose	Allexton	AP	Allexton	1813-1820	10	0.00	1	8	1.00	labourer	3	3.00
17	LEI/002/rose	LEI/002	rose	Allexton	AP	Allexton	1813-1820	10	0.00	1	8	1.00	tailor	1	1.00
18	LEI/002/rose	LEI/002	rose	Allexton	AP	Allexton	1813-1820	10	0.00	1	8	1.00	grazier	2	2.00
19	LEI/002/rose	LEI/002	rose	Allexton	AP	Allexton	1813-1820	10	0.00	1	8	1.00	carpenter	2	2.00
20	LEI/003/rose	LEI/003	rose	Anstey	CH	Thurcaston	1813-1820	164	0.00	1	8	1.00	illegitimate	10	10.00
21	LEI/003/rose	LEI/003	rose	Anstey	CH	Thurcaston	1813-1820	164	0.00	1	8	1.00	framework knitter	113	113.00
22	LEI/003/rose	LEI/003	rose	Anstey	CH	Thurcaston	1813-1820	164	0.00	1	8	1.00	farmer	10	10.00
23	LEI/003/rose	LEI/003	rose	Anstey	CH	Thurcaston	1813-1820	164	0.00	1	8	1.00	wool comber	1	1.00
24	LEI/003/rose	LEI/003	rose	Anstey	CH	Thurcaston	1813-1820	164	0.00	1	8	1.00	parish clerk	3	3.00
25	LEI/003/rose	LEI/003	rose	Anstey	CH	Thurcaston	1813-1820	164	0.00	1	8	1.00	baker	1	1.00
26	LEI/003/rose	LEI/003	rose	Anstey	CH	Thurcaston	1813-1820	164	0.00	1	8	1.00	butcher	2	2.00
