id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	labourer	165	165.00
2	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	coachman	10	10.00
3	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	basket maker	6	6.00
4	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	tailor	4	4.00
5	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	fellmonger	4	4.00
6	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	wheelwright	1	1.00
7	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	butcher	10	10.00
8	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	parish clerk	2	2.00
9	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	baker	8	8.00
10	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	sawyer	2	2.00
11	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	gardener	21	21.00
12	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	shoemaker	21	21.00
13	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	postman	6	6.00
14	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	gentleman	14	14.00
15	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	blacksmith	2	2.00
16	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	bricklayer	8	8.00
17	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	no occupation specified	4	4.00
18	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	cooper	1	1.00
19	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	illegitimate	8	8.00
20	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	soldier	3	3.00
21	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	shopkeeper	1	1.00
22	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	servant	6	6.00
23	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	painter	2	2.00
24	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	ostler	1	1.00
25	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	bailiff and labourer	1	1.00
26	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	laundry man	1	1.00
27	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	carpenter	9	9.00
28	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	watchmaker	1	1.00
29	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	glazier	5	5.00
30	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	orphan	4	4.00
31	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	captain in the navy	1	1.00
32	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	tallow chandler	1	1.00
33	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	farmer	3	3.00
34	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	baptism without named parents	1	1.00
35	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	publican	2	2.00
36	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	smith	2	2.00
37	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	solicitor	1	1.00
38	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	groom	1	1.00
39	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	merchant	1	1.00
40	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	gipsy	2	2.00
41	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	grocer	3	3.00
42	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	apothecary	1	1.00
43	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	esquire	3	3.00
44	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	schoolmaster	1	1.00
45	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	stationer	1	1.00
46	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	hostler	1	1.00
47	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	vintner	1	1.00
48	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	physician	1	1.00
49	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	dealer	1	1.00
50	MID/001/rose	MID/001	rose	Acton	AP	Acton	1813-1820	360	1.14	1	8	1.00	labourer and horse keeper	1	1.00
51	MID/002/rose	MID/002	rose	Ashford	CH	Staines	1813-1820	76	0.00	1	8	1.00	lieutenant colonel	2	2.00
52	MID/002/rose	MID/002	rose	Ashford	CH	Staines	1813-1820	76	0.00	1	8	1.00	coachman	1	1.00
53	MID/002/rose	MID/002	rose	Ashford	CH	Staines	1813-1820	76	0.00	1	8	1.00	gardener	8	8.00
54	MID/002/rose	MID/002	rose	Ashford	CH	Staines	1813-1820	76	0.00	1	8	1.00	farmer	2	2.00
55	MID/002/rose	MID/002	rose	Ashford	CH	Staines	1813-1820	76	0.00	1	8	1.00	labourer	35	35.00
56	MID/002/rose	MID/002	rose	Ashford	CH	Staines	1813-1820	76	0.00	1	8	1.00	private	1	1.00
