id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	farmer	59	59.00
2	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	smelter	59	59.00
3	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	husbandman	27	27.00
4	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	miner	166	166.00
5	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	miller	9	9.00
6	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	illegitimate	34	34.00
7	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	shoemaker	9	9.00
8	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	carrier	13	13.00
9	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	labourer	27	27.00
10	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	mason	31	31.00
11	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	weaver	17	17.00
12	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	joiner	10	10.00
13	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	clogger	7	7.00
14	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	blacksmith	7	7.00
15	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	yeoman	12	12.00
16	NHB/001/rose	NHB/001	rose	Allendale	AP	Allendale	1813-1820	539	0.00	1	8	1.00	cartwright	3	3.00
