id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	labourer	189	189.00
2	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	cooper	1	1.00
3	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	carrier	2	2.00
4	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	yeoman	16	16.00
5	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	surgeon	2	2.00
6	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	illegitimate	11	11.00
7	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	yeoman's son	1	1.00
8	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	fellmonger's son	1	1.00
9	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	fellmonger	4	4.00
10	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	gardener	3	3.00
11	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	captain	1	1.00
12	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	weaver	24	24.00
13	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	butcher	4	4.00
14	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	mason	5	5.00
15	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	potter	1	1.00
16	OXF/001/rose	OXF/001	rose	Adderbury	AP	Adderbury	1813-1820	355	0.00	1	8	1.00	innkeeper	1	1.00
