id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	RUT/001/rose	RUT/001	rose	Ashwell	AP	Ashwell	1813-1820	58	0.00	1	8	1.00	labourer	36	36.00
2	RUT/001/rose	RUT/001	rose	Ashwell	AP	Ashwell	1813-1820	58	0.00	1	8	1.00	grazier	9	9.00
3	RUT/001/rose	RUT/001	rose	Ashwell	AP	Ashwell	1813-1820	58	0.00	1	8	1.00	shoemaker	3	3.00
4	RUT/001/rose	RUT/001	rose	Ashwell	AP	Ashwell	1813-1820	58	0.00	1	8	1.00	illegitimate	2	2.00
5	RUT/001/rose	RUT/001	rose	Ashwell	AP	Ashwell	1813-1820	58	0.00	1	8	1.00	blacksmith	4	4.00
6	RUT/001/rose	RUT/001	rose	Ashwell	AP	Ashwell	1813-1820	58	0.00	1	8	1.00	servant	3	3.00
7	RUT/001/rose	RUT/001	rose	Ashwell	AP	Ashwell	1813-1820	58	0.00	1	8	1.00	labourer and cottager	1	1.00
8	RUT/002/rose	RUT/002	rose	Ayston	AP	Ayston	1813-1820	19	0.00	1	8	1.00	toll bar keeper	7	7.00
9	RUT/002/rose	RUT/002	rose	Ayston	AP	Ayston	1813-1820	19	0.00	1	8	1.00	coachman	1	1.00
10	RUT/002/rose	RUT/002	rose	Ayston	AP	Ayston	1813-1820	19	0.00	1	8	1.00	grazier	2	2.00
11	RUT/002/rose	RUT/002	rose	Ayston	AP	Ayston	1813-1820	19	0.00	1	8	1.00	labourer	6	6.00
12	RUT/002/rose	RUT/002	rose	Ayston	AP	Ayston	1813-1820	19	0.00	1	8	1.00	gardener	3	3.00
13	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	illegitimate	11	11.00
14	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	labourer	60	60.00
15	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	collar maker	3	3.00
16	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	shepherd	2	2.00
17	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	mason	11	11.00
18	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	glover	4	4.00
19	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	joiner	1	1.00
20	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	parchment maker	4	4.00
21	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	tailor	2	2.00
22	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	farmer	4	4.00
23	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	baker	3	3.00
24	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	no occupation specified	1	1.00
25	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	shoemaker	5	5.00
26	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	cottager and shepherd	1	1.00
27	RUT/004/rose	RUT/004	rose	Barrowden	AP	Barrowden	1813-1820	132	0.83	1	8	1.00	pig jobber	1	1.00
