id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	blacksmith	3	3.00
2	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	labourer	91	91.00
3	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	farmer	35	35.00
4	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	weaver	3	3.00
5	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	carpenter	7	7.00
6	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	cordwainer	3	3.00
7	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	illegitimate	9	9.00
8	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	gardener	6	6.00
9	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	stone mason	4	4.00
10	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	innkeeper	1	1.00
11	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	tailor	9	9.00
12	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	clerk	1	1.00
13	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	miller	5	5.00
14	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	yeoman	7	7.00
15	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	mason	2	2.00
16	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	school master	2	2.00
17	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	shoemaker	3	3.00
18	YER/001/rose	YER/001	rose	Acklam	CH	Stainton	1813-1820	195	0.00	1	8	1.00	butcher	1	1.00
