id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	shoemaker	8	8.00
2	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	husbandman	10	10.00
3	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	farmer	19	19.00
4	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	labourer	58	58.00
5	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	tailor	6	6.00
6	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	gardener	4	4.00
7	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	collier	5	5.00
8	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	soldier	1	1.00
9	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	cartwright	1	1.00
10	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	cordwainer	1	1.00
11	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	illegitimate	14	14.00
12	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	merchant	4	4.00
13	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	blacksmith	2	2.00
14	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	drainer	1	1.00
15	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	carpenter	8	8.00
16	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	grocer	1	1.00
17	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	wheelwright	6	6.00
18	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	turner	3	3.00
19	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	clerk	2	2.00
20	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	weaver	1	1.00
21	YNR/001/rose	YNR/001	rose	Ainderby Steeple	AP	Ainderby Steeple	1813-1820	156	0.00	1	8	1.00	esquire	1	1.00
22	YNR/003/rose	YNR/003	rose	Allerston	CH	Pickering	1813-1820	58	1.85	1	8	1.00	miller	3	3.00
23	YNR/003/rose	YNR/003	rose	Allerston	CH	Pickering	1813-1820	58	1.85	1	8	1.00	farmer	22	22.00
24	YNR/003/rose	YNR/003	rose	Allerston	CH	Pickering	1813-1820	58	1.85	1	8	1.00	labourer	24	24.00
25	YNR/003/rose	YNR/003	rose	Allerston	CH	Pickering	1813-1820	58	1.85	1	8	1.00	joiner	2	2.00
26	YNR/003/rose	YNR/003	rose	Allerston	CH	Pickering	1813-1820	58	1.85	1	8	1.00	blacksmith	1	1.00
27	YNR/003/rose	YNR/003	rose	Allerston	CH	Pickering	1813-1820	58	1.85	1	8	1.00	illegitimate	4	4.00
28	YNR/003/rose	YNR/003	rose	Allerston	CH	Pickering	1813-1820	58	1.85	1	8	1.00	no occupation specified	1	1.00
29	YNR/003/rose	YNR/003	rose	Allerston	CH	Pickering	1813-1820	58	1.85	1	8	1.00	shoemaker	1	1.00
30	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	wheel wright	14	14.00
31	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	bricklayer	5	5.00
32	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	innkeeper	9	9.00
33	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	shoemaker	11	11.00
34	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	labourer	145	145.00
35	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	illegitimate	12	12.00
36	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	farmer	80	80.00
37	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	miller	8	8.00
38	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	button hole maker	2	2.00
39	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	weaver	8	8.00
40	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	carrier	1	1.00
41	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	joiner	1	1.00
42	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	tailor	5	5.00
43	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	shopkeeper	1	1.00
44	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	wright	1	1.00
45	YNR/004/rose	YNR/004	rose	Alne	AP	Alne	1813-1820	333	0.00	1	8	1.00	mantua maker	1	1.00
