id	porID	ruID	por	runame	utype	parish	window	numevents	pcs	sr	numyears	iratio	occ	n	adjn
1	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	joiner	9	9.00
2	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	steward	3	3.00
3	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	wheelwright	6	6.00
4	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	labourer	93	93.00
5	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	baker	5	5.00
6	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	innkeeper	6	6.00
7	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	tailor	6	6.00
8	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	farmer	18	18.00
9	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	master of the charity school	1	1.00
10	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	butler	3	3.00
11	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	wire worker	4	4.00
12	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	stonemason	2	2.00
13	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	cordwainer	15	15.00
14	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	gardener	2	2.00
15	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	carrier	6	6.00
16	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	keeper of toolbar	1	1.00
17	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	butcher	6	6.00
18	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	saddler	4	4.00
19	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	ostler	1	1.00
20	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	illegitimate	16	16.00
21	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	miller	9	9.00
22	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	millwright	2	2.00
23	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	milller	1	1.00
24	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	bread baker	1	1.00
25	YWR/001/rose	YWR/001	rose	Aberford	AP	Aberford	1813-1820	272	0.00	1	8	1.00	gamekeeper	2	2.00
