id,porID,ruID,por,runame,utype,parish,window,numevents,pcs,sr,numyears,iratio,occ,n,adjn
1,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,farmer,36,36
2,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,labourer,32,32
3,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,mason,5,5
4,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,carpenter,8,8
5,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,illegitimate,7,7
6,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,gardener,3,3
7,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,sawyer,1,1
8,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,servant,3,3
9,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,husbandman,3,3
10,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,esquire,4,4
11,DEV/001/rose,DEV/001,rose,Abbotsham,AP,Abbotsham,1813-1820,103,0,1,8,1,clerk,1,1
12,DEV/002/rose,DEV/002,rose,Abbotts Bickington,AP,Abbotts Bickington,1813-1820,23,0,1,8,1,labourer,18,18
13,DEV/002/rose,DEV/002,rose,Abbotts Bickington,AP,Abbotts Bickington,1813-1820,23,0,1,8,1,yeoman,1,1
14,DEV/002/rose,DEV/002,rose,Abbotts Bickington,AP,Abbotts Bickington,1813-1820,23,0,1,8,1,gentleman,3,3
15,DEV/002/rose,DEV/002,rose,Abbotts Bickington,AP,Abbotts Bickington,1813-1820,23,0,1,8,1,carpenter,1,1
16,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,farmer and shoemaker,2,2
17,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,sailor,1,1
18,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,thatcher,3,3
19,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,farmer,18,18
20,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,labourer,30,30
21,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,cordwainer,8,8
22,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,mariner,12,12
23,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,illegitimate,4,4
24,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,mason,8,8
25,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,gentleman's servant,1,1
26,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,carpenter,14,14
27,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,tailor,11,11
28,DEV/003/rose,DEV/003,rose,Abbotskerswell,AP,Abbotskerswell,1813-1820,114,0,1,8,1,paper maker,2,2
29,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,labourer,190,190
30,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,gent,13,13
31,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,publican,1,1
32,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,yeoman,26,26
33,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,carpenter,9,9
34,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,mason,5,5
35,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,miller,2,2
36,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,excise officer,1,1
37,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,thatcher,6,6
38,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,blacksmith,6,6
39,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,surgeon,1,1
40,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,tailor,6,6
41,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,butcher,3,3
42,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,tanner,1,1
43,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,esquire,5,5
44,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,gardener,1,1
45,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,no occupation specified,1,1
46,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,illegitimate,4,4
47,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,parish clerk,2,2
48,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,purser of a man of war,1,1
49,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,spirit merchant,1,1
50,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,baker,2,2
51,DEV/004/rose,DEV/004,rose,Alpington,AP,Alpington,1813-1820,288,0.35,1,8,1,saddler,1,1
52,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,farmer,18,18
53,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,husbandman,12,12
54,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,gardener,1,1
55,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,carpenter,5,5
56,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,illegitimate,6,6
57,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,basket maker,1,1
58,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,mason,5,5
59,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,labourer,19,19
60,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,yeoman,4,4
61,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,butcher,2,2
62,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,victualler,1,1
63,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,farm servant,1,1
64,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,parish clerk,1,1
65,DEV/005/rose,DEV/005,rose,Alverdiscott,AP,Alverdiscott,1813-1820,77,0,1,8,1,shoemaker,1,1
66,DEV/006/rose,DEV/006,rose,Alwington,AP,Alwington,1813-1820,78,0,1,8,1,illegitimate,6,6
67,DEV/006/rose,DEV/006,rose,Alwington,AP,Alwington,1813-1820,78,0,1,8,1,labourer,35,35
68,DEV/006/rose,DEV/006,rose,Alwington,AP,Alwington,1813-1820,78,0,1,8,1,yeoman,2,2
69,DEV/006/rose,DEV/006,rose,Alwington,AP,Alwington,1813-1820,78,0,1,8,1,carpenter,4,4
