runame	ruID	por	dstart	dend	xyears	sr	archive	ref	tsource	denter	res	ttaken	notes	year	occ	com
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1813	weaver	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1813	husbandman	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1813	joiner	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1813	husbandman	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1813	farmer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1813	carpenter	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1813	farmer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1813	aaillegitimate	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1813	farmer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1814	labourer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1814	farmer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1814	labourer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1814	aaillegitimate	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1814	labourer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1814	farmer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1814	joiner	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1814	joiner	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1815	labourer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1815	farmer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1815	wheelwright	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1815	labourer	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1816	weaver	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1816	husbandman	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1816	merchant	
Thelwall	CHR/132	rose	14 Feb 1813	05 Nov 1820		1	Cheshire Record Office	MF 335/2	MF OR	17 Jan 2005	MW	5		1816	husbandman	
