runame	ruID	por	dstart	dend	xyears	sr	archive	ref	tsource	denter	res	ttaken	notes	year	occ	com
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1813	gardener	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1813	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1813	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1813	shoemaker	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1813	carpenter	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1813	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1813	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1813	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1813	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	shoemaker	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1814	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	carpenter	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	gardener	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	gardener	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1815	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	cottager	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	aaillegitimate	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	soldier	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1816	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1817	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1817	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1817	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1817	farmer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1817	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1817	labourer	
Abbots Ripton	HNT/001	rose	28 Mar 1813	26 Nov 1820		1	Cambridgeshire Record Office	214	MF OR	11 Jan 2005	JB	8		1817	labourer	
