runame	ruID	por	dstart	dend	xyears	sr	archive	ref	tsource	denter	res	ttaken	notes	year	occ	com
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	labourer	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	labourer	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	labourer	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	coachman	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	basket maker	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	tailor	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	fellmonger	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	wheelwright	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	butcher	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	labourer	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	labourer	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	butcher	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	labourer	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	labourer	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	parish clerk	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	butcher	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	labourer	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	labourer	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	labourer	
Acton	MID/001	rose	31 Jan 1813	10 Dec 1820		1	London Metropolitan Archive	X077/042	MF OR	26 Jul 2005	NM	45		1813	baker	
