runame	ruID	por	dstart	dend	xyears	sr	archive	ref	tsource	denter	res	ttaken	notes	year	occ	com
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	labourer	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	labourer	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	labourer	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	grazier	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	shoemaker	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	labourer	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	labourer	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	labourer	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	labourer	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	grazier	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1813	labourer	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1814	grazier	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1814	aaillegitimate	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1814	labourer	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1814	labourer	
Ashwell	RUT/001	rose	10 Jan 1813	19 Oct 1820		1	Northamptonshire Record Office		BT	24 May 2005	JB			1814	labourer	
