runame	ruID	por	dstart	dend	xyears	sr	archive	ref	tsource	denter	res	ttaken	notes	year	occ	com
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1782	labourer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1782	labourer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1782	miller	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1782	labourer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1782	farmer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1782	farmer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1782	farmer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1782	farmer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1782	labourer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1782	farmer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	labourer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	carpenter and parish clerk	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	labourer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	aaillegitimate	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	farmer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	labourer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	labourer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	farmer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	labourer	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	miller	
Acaster Malbis	YCA/001	2	12 Jan 1782	18 Oct 1799	1785/1787/	1	Borthwick Institute of Historical Research	PR AC/M 2	OR	01 Feb 2005	MJ	38		1783	farmer	
