parish,hundred,hundred_num,page_1524,second_page_1524,third_page_1524,fourth_page_1524,page_1543,second_page_1543,third_page_1543,fourth_page_1543,page_1581,second_page_1581,third_page_1581,fourth_page_1581,page_1674,second_page_1674,third_page_1674,fourth_page_1674,page_list_1524,page_list_1543,page_list_1581,page_list_1674
Abbots Bickington,Black Torrington,3,156,,,,129,,,,60,133,,,142,,,,[156],[129],"[60, 133]",[142]
Abbotsham,Shebbear,23,129,,,,118,,,,37,146,,,113,,,,[129],[118],"[37, 146]",[113]
Abbotskerswell,Haytor,16,224,,,,202,,,,79,,,,212,,,,[224],[202],[79],[212]
Exeter Allhallows Goldsmith St.,Wonford,33,,,,,,,,,126,,,,,,,,[],[],[126],[]
Exeter Allhallows On The Wall,Wonford,33,,,,,,,,,124,,,,,,,,[],[],[124],[]
Alphington,Wonford,33,85,,,,56,,,,107,199,,,74,,,,[85],[56],"[107, 199]",[74]
Alverdiscott,Fremington,12,141,,,,,,,,32,,,,119,,,,[141],[],[32],[119]
Alwington,Shebbear,23,129,,,,116,,,,37,147,,,110,,,,[129],[116],"[37, 147]",[110]
Arlington,Shirwell,24,125,,,,108,,,,44,,,,,,,,[125],[108],[44],[]
Ashburton,Teignbridge,28,250,,,,208,,,,119,,,,234,,,,[250],[208],[119],[234]
Ashbury,Black Torrington,3,161,,,,122,,,,56,134,,,141,,,,[161],[122],"[56, 134]",[141]
Ashcombe,Exminster,11,240,,,,193,,,,121,221,,,223,,,,[240],[193],"[121, 221]",[223]
Ashford,Braunton,4,121,,,,103,,,,30,,,,104,,,,[121],[103],[30],[104]
Ashprington,Coleridge,6,213,,,,164,,,,70,170,,,205,,,,[213],[164],"[70, 170]",[205]
Ashreigney,North Tawton,19,143,,,,87,,,,48,,,,129,,,,[143],[87],[48],[129]
Ashton,Exminster,11,241,,,,191,,,,120,221,,,232,,,,[241],[191],"[120, 221]",[232]
Ashwater,Black Torrington,3,153,,,,125,,,,58,128,,,137,,,,[153],[125],"[58, 128]",[137]
Atherington,North Tawton,19,145,,,,85,,,,47,,,,126,,,,[145],[85],[47],[126]
Aveton Gifford,Ermington,10,193,,,,171,,,,75,155,,,184,,,,[193],[171],"[75, 155]",[184]
