SURNAME,FORENAME,PLACE,"DAY, MONTH & YEAR",ADMINISTRATION GRANTED,ADDITIONAL NOTES
ARSKOTT,Edmund,"Dunsland, Devon",13 December 1565,to mother Phillippa A. & bro. John A.,Edmund - son & legatee of John A. of Dunsland (Devon)
ARUNDELL,George,Holcombe Rogus,18 August 1565,to relict Christiana A.,
ATHERTON,Richard,city of Exeter (died in Ireland),9 March 1570/1,"to bro John A., clerk",
AVERYE,Richard,Newton St Ciriac (Cyres),4 July 1571,to relict Agnes A.,
BARNEHOUSE,John,Marsh (Devon),18 February 1560/1,to Thomas SOUTHCOTT father of Mary S. & Elizabeth S. next of kin,d.b.n.a.by relict Margaret B. the extrix dur. min. sd Mary S. & Elizabeth S. (A line through this but apptly not revoked)
BASTARD,John,West Alvington,(after 27th) June 1560,to son John B.,
BICKFORD,Nicholas,Plymouth,10 March 1570/1,to relict Johanna B.,
BODLEY,Roger,Totnes,21 August 1563,to bro. William B.,
BOURNE,Gilbert D.D.,died in Silverton,23 October 1569,to bro Richard B.,
BROKE als BUTSON,Nicholas,Rill in Uffculme,31 March 1570,to son Matthew BROKE als BUTSON,
BUCKNALL,John,Farway,20 March 1561/2,to bro. Christopher B.,
BULL,Hugh,South Tavistock,21 January 1567/8,to Agnes WETHER next of kin,
BULLER,Laurence,city of Exeter,6 November 1562,to bro. John B.,
BUTSON see BROKE,,,,,
CARPINTER,Thomas,"""Buckfords Cleve"" Devon",9 December 1570,to dau Mabel BARCLE,
CHAPELL,Jaquetta,Chittlehampton,3 May 1561,to bro. William C.,
CHAUNDELER,John,Exeter,19 February 1568/9,to sister Johanna CHAFFE als CHAUNDELER & to William CHAFFE her husband,
CHOPE,Emota,Malborough,9 August 1560,to sister Catherine DYER,
COFFIN,Martin,city of Exeter,5 February 1561/2,to son Martin C.,
COLE,Elizabeth,Cullompton,24 October 1564,to John MANNYNGE & John COCKERAN of Crediton afsd,"dur. min. of John C., Gertrude, Joanna & Mary C. children of dec"
COLROGER,Henry,of [blank] co Devon,11 May 1562,"to John C. & Martha C, als RAYSHELEGH bro. & sister",
COLROGER,Michael,[blank] co Devon,11 May 1562,"to John C. & Martha C, als RAYSHELEGH bro. & sister",
COLSON,Walter,South Brent,19 March 1568/9,to bro. William C.,dur min of Julian & Wilmot C. daus of dec. {Brought in & new grant 12 May 1569)
COLSON,Walter,South Brent,12 May 1569,to relict Johanna C.,
COLWICK,"Richarda, widow",Tiverton,10 May 1571,to son John GOVER,
CONSETT,John,"clerk, one of vicars choral of Exeter Cathedral",7 April 1562,to sister Johanna REYNOLDES als C. wid.,Revoked by Sentence 26 Feb. 1562 & will proved
COTTLE,Robert,Plymouth,25 November 1570,to relict Joanna C.,
COURTNEY,Dorothy,Colebrook,7 August 1565,to son Edward C.,
COURTNEY,Edward,Ugbrook,28 January 1566/7,to relict Frances C.,
DAVYE,Walter,Bideford,14 February 1567/8,"to ""nepoti"" Christopher DAVYE",
ESTON,Richard,"city of Sarum, Wilts (died in diocese of Exon [Exeter])",8 August 1571,to bro. John E. & sisters Alice DEWY als E. Shollis YONGE als E. & Johanna als E. widow,"the sd John E. personally & sd DEWY, YONGE & CARTER (sic) in person of Thomas BLACKMORE N.P."
FOWELL,Thomas,Torr,18 November 1560,to sister Margery WILLIAMS als CHOLWELL,
GALE,Thomas,Kingswear,2 September 1560,to sister Eliz. HUTCHINGS als G(ALE),
GARDNER,John,Paignton,10 November 1570,to relict Izod G.,
GOLDE,Thomas,Staverton,6 July 1571,to son William G.,
HARRIS,John,Crediton,28 September 1565,to bro. Henry H.,
HARRIS,Thomas,Crediton,28 September 1565,to bro. Henry H.,Anor. grant 8 July 1568 to Gilbert HARRIS with sd. Henry
HARRYS,Thomas,Crediton,8 July 1568,to eldest son Gilbert H. & Henry H. son & admr,
HARTE,William senior,Cullompton,14 March 1568/9,to John COURTNEY of Ottery St Mary esq,dur. min. of William HARTE junior
HARTE,William,Cullompton,28 June 1569,"to Henry TROKE of Cullompton, merchant",dur min of William H. junior son of dec Admin c.t.a. 9 Oct 1577
HARTELOND,Nicholas,Sampford Peverell,7 February 1564/5,to relict Elizabeth H.,
HAULSE,William,city of Exeter (died abroad),4 January 1566/7,to sister Rose HAULSE als HARDWICKE,
HILL,John,Burlescombe,27 August 1569,"to Johanna, relict, & John LUTLEY, clerk, son of sd Johanna",
HUBBARD see RATCLIFE,,,,,
KELLEY see TELLIER,,,,,
KEYFFE,Benedict,Cullompton,21 February 1559/60,to Leonard EMERY of Cullompton,dur. min of Agnes K & Mary K. next of kin
KNIGHT,John,Totnes,21 ?April 1570,to relict Agnes K.,
LAKE,Peter,[Diocese of Exeter],1 August 1565,to relict Margery L.,
LAKE,Peter,city of Exeter,12 October 1566,to John WOTTON overseer named in will of Margery L. late relict & admx,"d.b.n.a. by sd Margery also dec. dur. min. of William HACKEWELL, the exor named in will of sd Margery revoked"
LAKE,Peter,city of Exeter,12 May 1571,to uterine bro. John ILCOMBE,former grant to one WOTTON 12 October 1566
LAKE,William,Plymouth,13 December 1561,to relict Joanne L.,
LAMBELL,Robert,city of Exeter,2 October 1570,"to Gilbert YARDE ""avunculo"" of children of dec.","dur min of John, Gilbert, Juliana, Elizabeth & Mary L. the children of sd dec"
LITLEJOHN,John,Cullompton,(after 28th) May 1560,to relict Alice L.,
MANNYNG,Henry,city of Exeter,24 May 1570,to bro. Christopher M.,
MARRYK,Thomas,city of Exeter,26 January 1562/3,"to ""neptibus"" Agnes GEFFREY, wife of Thomas G. & Beton PATENDEN wife of John P.",
MARSHALL,John,Uffculme,23 August 1567,to relict Alice M.,
