SURNAME,FORENAME,OCCPN/STATUS,PLACE,TYPE,YEAR   ,FOLIO   ,REGISTER
,,,,,,,
1635 SADLER,,,,,,,
,,,,,,,
ATWILL,Thomas,clerk,Woodbury,,1635,1,Sadler
AVERY,Thomas,,Dolton,Admon 18 Jul 1634,1635,114,Sadler
BAKER als,Robert,merchant,Plymouth,,1635,27,Sadler
MILLER,,,,,,,
BASKERVILLE,Margaret,widow,Exeter,Admon 4 Nov,1635,16,Sadler
BASSETT,Eleanor,dau of Sir Robert,Heaton Punchardon,,1635,8,Sadler
BEARE,George,gent,Copplestone,,1635,70,Sadler
,,,p. Colebrooke,,,,
BIDGOOD,John,,Tiverton,,1635,72,Sadler
BLAGDON,John,,Tiverton,,1635,86,Sadler
BOWRIDGE,Thomas,merchant,Exeter,,1635,111,Sadler
BROOME,Robert,,"Stockland, Dor.",,1635,116,Sadler
BYDWOOD,Humfry,,Woolsery,,1635,131,Sadler
,,,(Woolfadisworthy),,,,
CLARKE,Alexander,,Halberton,,1635,10,Sadler
CLODE,Christoper,,Ottery St Mary,,1635,131,Sadler
COLLEMORE,Thomas,,"Luscott, nr Braunton",,1635,45,Sadler
CORNISH,James,the elder,Tiverton,,1635,116,Sadler
CREMER,Thomas,,Down St Mary,,1635,104,Sadler
CROSSING,Nicholas,,Staverton,,1635,16,Sadler
CULVERWILL,Henry,,Stoke Rivers,,1635,48,Sadler
DRIVER,John,gent,Cullompton,,1635,113,Sadler
FRANCKLYN,Thomas,the elder,Colyton,,1635,48,Sadler
FRENCH,Thomazin,widow,Northam,,1635,47,Sadler
GAPPAH,Robert,,Membury,,1635,105,Sadler
GAYER,William,,Plymouth,,1635,111,Sadler
GIBBONS,Lawrence,,Tawstock,,1635,102,Sadler
GILBERT,Raley,,"Greeneway, Brixham",,1635,9,Sadler
GOVE,Joan,,Woodbury,,1635,62,Sadler
GOVER,Stephen,,Burlescombe,,1635,2,Sadler
HAM,Achilles,,Ashwater,,1635,111,Sadler
HARRELL,Nicholas,,Plymouth,,1635,93,Sadler
HARRIS,George,merchant,Exeter,,1635,87,Sadler
HARTLY,John,gent,Swimbridge,,1635,88,Sadler
HAYDON,Robert,Esq,"Farwood, Colyton",,1635,47,Sadler
HEYWOOD,Edward,,Barnstaple,Admon with will,1635,52,Sadler
,,,,New grant 14 Aug,,,
,,,,New grt 21 Dec 1638,,,
HILL,Rose,spinster,Bishops Tawtton,,1635,70,Sadler
HODGE,Thomas,gent,Stokenham,,1635,108,Sadler
HUTCHINGS,Joan,widow,"Aller, Upawtery",,1635,17,Sadler
HYNE,Robert,tailor,"St Mary Major, Exeter",,1635,92,Sadler
JARMAN,Richard,,"Holy Trinity, exeter",Admon w. will,1635,46,Sadler
KELLEY,Richard,,Brixham & Kingswear,,1635,75,Sadler
KNIGHT,Humfrey,,Uffculme,,1635,101,Sadler
LAKE,George,,will pvd by widow of,Admon w.will,1635,56,Sadler
,,,Abbotsham; died abroad,,,,
,,,"(of the ""Exchange"" 1632)",,,,
LANE,William,,"Stockland, Dor.",,1635,115,Sadler
LUCKES,THomas,,Doddiscombleigh,,1635,13,Sadler
MACY,Richard,merchant,Totnes,,1635,87,Sadler
MAINWARING,Randolph,M.A. Vicar of,Sidmouth,,1635,101,Sadler
MARCHENT,Walter,,Braunton,Admon w.will,1635,84,Sadler
MARSHALL,Richard,merchant,Exeter,,1635,88,Sadler
MAYNARD,Christopher,,Totnes,,1635,54,Sadler
MILLES,John,,Colebrooke,,1635,125,Sadler
MOOREMAN,William,,North Molton,,1635,93,Sadler
NORCOTT,William,,Aishwater,,1635,77,Sadler
NORTHLEIGH,George,,Woodbury,Admon w. will to,1635,8,Sadler
,,,,William GERMAN,,,
,,,,exor of relict Joan,,,
NORTHLEIGH,Joan,widow,Woodbury,,1635,8,Sadler
PAULE,Abraham,merchant,Exeter,,1635,24,Sadler
PEIRCE,Peter,,Branscombe,,1635,101,Sadler
PRINGE,Francis,Vicar of,Salcombe,,1635,25,Sadler
PULSFORD,Marian,spinster,Puddington,Admon w. will,1635,1,Sadler
SAMPSON,Robert,,"Stockland, Dor.",,1635,105,Sadler
SAUNDERS,Thomas,,Sampford Peverell,,1635,25,Sadler
SEAWARD,Richard,,"Ware, Uplyme",,1635,129,Sadler
SHILSTON,Christian,widow,Hatherleigh,,1635,75,Sadler
SNOWE,Lewes,,Swimbridge,,1635,46,Sadler
SPARKE,Margaret,widow,Exeter,,1635,55,Sadler
SQUIRELL,Robert,,Swimbridge,,1635,69,Sadler
STONE,Thomas,,Clayhanger,,1635,36,Sadler
STREAMER,Richard,,Plymouth,,1635,42,Sadler
STREAMER,Reynold,merchant,Plymouth,,1635,87,Sadler
SUTCLIFFE,Anne,widow of Matthew,Efford,,1635,22,Sadler
,,Dean of Exeter LLD,,,,,
SWEETE,Gilbert,Alderman of,Exeter,,1635,86,Sadler
SYMONS,William,gent,Exeter,,1635,16,Sadler
TAPPER,Oliver,merchant,Exeter,,1635,93,Sadler
TOBOWE,Jane,,Churston Ferrers,,1635,93,Sadler
TRACEY,Richard,,Uffculme,Admon w. will,1635,77,Sadler
TREMAYNE,Arthur,Esq,"Collacombe,p. Lamerton",,1635,86,Sadler
TREND,Martin,,Tenton Drewe,,1635,29,Sadler
,,,(Drewsteignton),,,,
TUCKER,Nicholas,,Clayhanger,,1635,48,Sadler
TUCKERMAN,Samuel,mariner,"Plymouth, decd abroad",,1635,56,Sadler
,,,"unmarr (of the ""Dolphin"")",,,,
VERIARD,Edward,,Salcombe,,1635,86,Sadler
WATSON,John,,Dartmouth,,1635,74,Sadler
WESTBROOKE,Sarah,,Collampton,,1635,13,Sadler
WOLFE,Richard,gent,Totnes,,1635,73,Sadler
WOODYATES,Elizabeth,,Shobrooke,Admon w. will,1635,123,Sadler
WYSE,John,yeoman,Dunsford,,1635,49,Sadler
,,,,,,,
1636 PILE,,,,,,,
,,,,,,,
ABRAHAM,Joan,widow,Staverton,,1636,119,Pile
ATWELL,Robert,,Walkhampton,,1636,93,Pile
BARTLETT als,William,,Coombe Martin,Admon w. will,1636,107,Pile
BARTLAT,,,but decd in Ireland,,,,
BAYLIE,Richard,,Langsford/Weeke als,Admon w. will,1636,30,Pile
,,,Germans Week,,,,
BENNETT,William,,Yarcombe,,1636,85,Pile
BERRY,John,,Cullompton,,1636,29,Pile
BIGILSTONE,Robert,gent,Exeter,,1636,31,Pile
BLACKALL,Mary,widow,Exeter,,1636,18,Pile
BROOKING,Christopher,merchant,Totnes,,1636,34,Pile
CAME,Thomas,,Plymouth,,1636,34,Pile
CARKETT,William,mariner,Plymouth,Admon 20 Jan 1639/40,1636,111,Pile
CHICHESTER,Bartholomew,gent,Braunton,,1636,16,Pile
CLAPHAM,Raleigh,,Barnstaple,,1636,114,Pile
CLAPP,John,the elder,Otterton,,1636,115,Pile
CLARKE,Richard,the elder,"Bridwell, Halberton",,1636,8,Pile
CLARKE,John,merchant,Exeter,,1636,60,Pile
CLIFFORD,Henry,Esq,Kingsteignton,,1636,62,Pile
COLCOTT,Christopher,,"Newton Abbot,",,1636,78,Pile
,,,P. Wolborough,,,,
COLLIER,Frideswide,widow,"Stockland, Dor.",,1636,73,Pile
COMYNS,Peter,,Morchard Bishop,,1636,36,Pile
DENBAND,Alfred,,Ashburton,,1636,108,Pile
FLUTE,Anne,widow,Dartmouth,Will not regd,,,
,,,,pvd 22 Mar 1635/6,,,
FORD,Thomas,Esq,Ashburton,Admon w. will,1636,78,Pile
,,,,Admon 4 Jan 1666/7,,,
FORD,John,,Beer Ferrers,,1636,93,Pile
FRAUNCEIS,John,Esq,"East Chevithorne, Tiverton",,1636,57,Pile
GIDLEY,George,the elder gent,"St Thomas Apostle,",,1636,31,Pile
,,,Exeter,,,,
GOULD,Henry,merchant,"St Thomas Apostle,",,1636,119,Pile
,,,Exeter,,,,
HANGER,William,sailor,Abbotsham,,1636,60,Pile
HAWKER,Zachary,,Cotleigh,,1636,57,Pile
HELE,Alice,widow,Exeter,,1636,109,Pile
HELE,Elize,Esq,Exeter,pvd by relict,1636,2,Pile
,,,,Admon 29 July to,,,
,,,,neph(ews) d.b.n.,,,
,,,,relict Alice decd,,,
HELLIAR,Christian,widow of Henry,Clovelly but later of,,1636,18,Pile
,,HELLIAR of Coker,"Petersham, Surrey",,,,Pi;e
HILMAN,Roger,,Lamerton,,1636,18,Pile
HORE,Barbara,widow,Buckfastleigh,Probate to son John,1636,,Pile
,,,,24 Mar 1635 now of,,,
,,,,full age,,,
,,,,will pvd,1630,53,Scroope
HUSSEY,William,,"Stockland, Dor.",,1636,15,Pile
HUTCHIN,John,mariner,died abroad,,1636,43,Pile
,,,of Beeer Ferrers 1632,,,,
ISAAKE,Roger,gent,"Polesloe, Heavitree",,1636,85,Pile
JOYCE,Thomas,,Exeter College. Univ of,,1636,63,Pile
,,,Oxford,pvd by bro Nicholas,,,
KISTE,William,gent,Exeter,,1636,98,Pile
LONG,Thomas,gent,North Molton,,1636,85,Pile
LOSKEY,Bartholomew,merchant,Totnes,Admon 3 Aug 1647 to,1636,17,Pile
,,,,Margaret relict of exor,,,
,,,,son John,,,
LYMBEARE als,John,,Tawstock,,1636,84,Pile
LYMBERRY,,,,,,,
MAJOR,Richard,,Plymouth,Probate 9 Feb 1635,,,
,,,,to son Richard now,,,
,,,,of age,,,
,,,,Admon w. will,1617,125,Weldon
MOLFORD,William,,Burrington,,1636,16,Pile
MUNDAY,Malachy,,"St David, Exeter",Admon w.will,1636,29,Pile
NORTHCOTT,Susanna,widow,"Hayne, Newton St Cyres",,1636,14,Pile
NOSEWORTHY,John,,Ashburton,,1636,61,Pile
OSBORNE,Christopher,miller,Totnes,Admon w. will,1636,118,Pile
PARSONS,Jonas,,Black Torrington,,1636,13,Pile
PASMORE,John,,"Heasill, North Molton",,1636,81,Pile
PERRIN,Philip,,Heaaton Punchardon,,1636,61,Pile
PERRYMAN,William,,"of Teddington, Middx",Will pvd,1619,44,Parker
,,,(one of Ordinary Yeomen,Admon 19 Jan 1628/9,,,
,,,H.M's Chamber),Admin 24 Jan 1635/6,,,
,,,,Wm PERRYMAN of,,,
,,,,Whimple,,,
PEY,Thomas,mariner,Plymouth,,1636,85,Pile
POTTLE,Christopher,merchant,Totnes,,1636,94,Pile
PRYDHAM,Laurence,,Newton St Cyres,,1636,94,Pile
RAYMOND,William,gent,"Hawkchurch, Dor.",Admon w. will,1636,56,Pile
SAFFYN,John,gent,"Swetton, Halberton",,1636,119,Pile
