NAME,FORENAME,OCCPN/STATUS,PLACE,P.A.B./NOTE,YEAR,FOLIO
AISHWEEK,Thomas,merchant,Plymouth,-76,1698,92
ALDEN,William,mar.,Plymouth,-21,1695,16
,,,"(ship ""Providence"")",,,
ALFORD,George,,"Chardstock, Dorset",-152,1695,125
ALLAND,Sarah,wid,city of Exeter,-107,1694,114
ALLEIN,Toby,merchant,city of Exeter,-100,1696,87
ALSTONE,John,clothier,Tiverton,-82,1696,59
AMERY,Robert (senr),husbandman,Burlescumbe,-63,1699,53
AMERY,Robert (junr),yeo,Burlescumbe,-63,1699,53
ANDREWS,James,,(wife of Plymouth),,,
,,"master of and (d. in) HMS ""York""",,-155,1694,187
ANTHONY,Phinehas,merchant,city of Exeter,-135,1691,107
AVERAY,Robert,--,"Pitheridge, Dev",--,1694,p11
,,,[Witheridge],will registered 131 Exton (1688),,
AVERY,Ann,wife of Robert A.,(Uffculme),-29,1694,23
AVERY,Isaac,mar,Plymouth,-105,1697,107
AVERY,John,mar,Topsham,-59,1696,43
,,,"(d. in H.M.S. ""Bredah"")",,,
BABB,"John,",gent,Doddiscombleigh,(229G),1697,268
BACHALLER,"Patience,",wid.,"Honiton, Dev",-207,1694,225
BAKER,William,fuller,city of Exeter,-12,1700,3
BALLYMAN,"John, junr",yeo,Uffculme,-92,1699,69
BAMPFIELD,Edward,grocer,Exeter,(100 171),1696,87
BANKS,John,merchant,city of Exeter,-204,1700,164
,,,"(d. St Andrew Undershaft, London)",,,
BANTON,"Grace,",wid,Collumpton,-34,1698,29
BANTON,John,---,Collumpton,-155,1694,188
BARBER,Daniel,---,Plymouth,Sentence,1695,199
BARKER,Daniel,merchant,Plymouth,-12,1694,43
BARNE,William,yeo,East Anstie,-107,1694,115
,,,,,,
BARWICK,"John,","bach, mar.",Pilton,-122,1694,115
,,,"(d. H.M.S. ""Sceptre"")",,,
BASS,George,mar,Withicombe Rawley,-129,1698,157
BASSETT,Francis,esq.,Heaton Punchardon,-66,1694,70
BAWDEN,Humphrey,esq.,city of Exeter,-213,1700,164
,,,,Sentence,1700,195
BECKETT,John,vintner,city of Exeter,-73,1700,50
BELLIVOE,James,mar,Dartmouth,-71,1695,43
,,,"(d. H.M.S. ""Sandwich"" at sea)",,,
BISHOP,Walter,mar,"Plympton St Mary, nr Plymouth",,,
,,,,-210,1697,224
,,,"(d. in H.M.S. ""Chichester"")",,,
BLOCK,Hendrick,--,Plymouth,,1698,p203
,,,,will registered 81 Cole (1669),,
BLUET,John,esq.,Holcombe Rogus,-212,1700,163
BOND,John,velmonger,"Stockland, Dorset",-45,1700,43
,,,"(Buckland, Dorset)",,,
BOND,Joseph,mar,Drue Stenton,-82,1698,94
,,,"(H.M.S. ""Lyme"")",,,
,,,[Drewsteignton],,,
BOOTH,"Wilmot,",wid.,Tavistock,-100,1696,87
BOWEN,Thomas,clerk,Walkhampton,(229G),1697,268
BREMAN,James,mar,Plymouth,-107,1694,116
,,,"(a French Pylott in H.M.S. ""Brittania"", in Torbay (d. at sea))",,,
BRETT,Samuel,mercer,Plymouth,-167,1695,214
BRODRIDGE,Christopher,merchant,Exeter,-68,1697,69
BROOKEING,John (senr),merchant,Totnes,-28,1696,3
BROUGHTON,Nicholas,,"Dalwood, Dorset",-209,1700,123
BROWNE,Nicholas,taylor,Plymouth,-31,1699,18
BROWSE,Nicholas,esq,"Doseley, Harberton",-190,1696,241
,,,,Sentence,1697,208
BRUEN,"Susanna,",spr,Exeter,-28,1697,25
,,,"(d. in St Benet Finch, London)",,,
BUSH,John,"captain of HMS ""St Michael""",,-13,1699,2
,,,"(H.M.S. ""Mermaid"" (d. Plymouth, Devon)",,,
,,"(wife of Portsmouth, Hants)",,,,
BUTLER,Simeon,,"St Olave, Southwark, Lond.",-153,1696,178
,,,"(d. at Kingsbridge, Devon)",,,
CALMADY,"John,",esq,Bridiston,-189,1695,167
,,,[Bridestow],,,
CAREW,"Sir Henry,",bt,Larcombe (Hasscombe),-232,1695,231
,,,[Haccombe],,,
,,,,,,
CAREW,Henry,"Esq, bach",St Thomas the Apostle,-105,1699,89
,,,,Sentence,1699,205
,,,"[St Thomas Apostle, Exeter]",,,
CARTER,Peter,seaman,"(d. in H.M.S. ""Content"" at Plymouth)",,,
,,,"(exix of St Katherine by Tower, Lond.)",,,
,,,,-118,1696,110
CARY,"Dame Martha,",wid.,Cannonting,-129,1698,210
,,,[Canonteign],,,
CHADDER,John,mar,(bro. of Brixham),-99,1697,91
,,,"(H.M.S. 'Berwick"")",,,
,,,"(d.in) H.M.S. ""Hampton Court""",,,
CHAPELMAN,John,mar,"Millbrook, Devon",-85,1698,118
,,,"(ship ""Monarch"")",,,
,,,"[Millbrook - chapelry, par of Maker]",,,
CHEARS,John,father,St Leonards,-34,1698,33
,,,"[St Leonard, Exeter]",,,
CHEEKE,John,chirurgeon,City of Exeter,-81,1696,61
CLARKE,Henry,clerke,"Stockland, Dorset",-63,1698,67
CLARKE,"Richard,",gent,Halberton,-210,1697,228
CLIFT,"Richard,",bach mar,East Allington,-122,1694,116
,,,"(ship ""Rupert"")",,,
CLOBERY,John,esq,Bradstone,-85,1700,69
COATES,John,mar,Branton,-111,1698,138
,,,[Braunton],,,
,,,"(d. in H.M.S. ""Hampshire"")",,,
COLE,Richard,,Barnestaple,-111,1695,91
COLLIN(G)S,"Joseph,",bach mar,Chidley,-67,1696,45
,,,"(d. in H.M.S. ""Assistance"")",,,
,,,[Chudleigh],,,
COLLINS,Robert,clerke,Ottery St Mary,-94,1698,116
COMER,Joseph,mar,Bittheford,-47,1700,45
,,,[Bideford],,,
CONEBEARE,"Samuell,",bach wool-comber,Barnstable,-118,1696,110
,,,"(d. in ship ""Cornwall"")",,,
COOKE,John,merchant,"Kenbury, Exminster",-194,1695,144
COOKE,Mathew,clothier,Ufenline,-111,1698,138
,,,[Uffculme],,,
CORNELL,Joseph,mar,Isle of Jersey,-23,1695,19
,,,"(T.M.S. ""Assistance"")",,,
,,,"(Stepney, Mdx; H.M.S. ""Weymouth"", d. Plymouth)",,,
COURTNEY,"Margaret,",wid.,West Molland,-113,1697,114
CROW,"William. senr.,",yeo,"Dalwood, Dorset",-71,1700,53
CRYMES,"Elize (?Ellis),",esq,Buckland Monachorum,-120,1696,110
CUDMORE,"Samuel,",gent,Barnstable,-218,1695,173
,,,,,,
CURLE,Edward,,(wife of Plymouth),-233,1697,276
,,,"(d. in H.M.S. ""Hampshire"")",,,
DARKER,Edward,confectioner,"St Sydwell, Exeter",-144,1698,159
,,,now in Lond. (d. overseas),,,
DARRECOTT,William,,Yannton (Heaton),-224,1694,246
,,,"(H.M.S. ""Chatham"" )",,,
,,,[Heaton Punchardon],,,
DAVIS (signs DAVIDS),Thomas,mar,Bitteford,-129,1697,138
,,,"(d. in H.M.S. ""Canterbury"" )",,,
,,,[Bideford],,,
DAY(S),Robert,mar,Exmouth,-169,1696,200
,,,"(ship ""Sovereign"")",,,
,,,"(d. in H.M.S. ""St Andrew"")",,,
DEACON,Edward,chirurgeon,"St Paul, Shadwell, Midx (132)",1695,113,
,,,"(T.M.S. ""Prudence"" (d. Plymouth))",,,
DEERE,"William, senr",,Burlescombe,will registered 161 Penn (1670),1696,p220
DENHAM,"Eleanor,",spin.,Tyverton,-231,1694,246
DEWSTOW,William,mar,"St Paul, Shadwell, Midx (0)",,1697,6
,,,(d. Plymouth),,,
DODGE,Thomas,master gunner of,,-208,1699,171
