FISK	Surname
EGLN	Egleton
ELRK	Elrick
EVRD	Evershed
FLFD	Fallofield
FLKR	Faraker
FLKR	Faulker
FSK	Fiske
FLNT	Flint
GDNS	Giddons
GLS	Glass
GLN	Gollen
GRMY	Grimsby
GRMY	Grimsley
HNLY	Hanley
HRDK	Hardwick
HRN	Harms
HWLY	Hawley
HBRN	Haybourn
HDN	Haydon
HWD	Hayward
HNRY	Henry
HWTN	Hewetson
HGS	Higgs
HLBN	Holburn
HLDY	Holdway
HLWY	Hollway
HPR	Hooper
HNSW	Hounslow
HWRT	Howarth
INGS	Inglis
IV	Ive
JKS	Jack
JGRD	Jaggard
JHN	John
KRKD	Kirkland
LNSN	Lansdown
LNSN	Lansdowne
LBRN	Laybourn
NRMN	Le Norman
LMNG	Lemmings
LDNN	Liddington
LTFT	Lightfood
LTFT	Lightfoot
LMNG	Limings
LMNG	Limming
LMNG	Limmings
LND	Lind
LSLY	Loosey
LWNS	Lownes
LND	Lund
MDK	Maddock
MLN	Malone
MLNY	Maloney
MNR	Manier
MNNG	Manning
MR	Mear
MRN	Meerin
MRK	Merrick
NND	Nind
ORPN	Orpen
OSMD	Osmond
OSTN	Ostrehan
PRGR	Pargiter
PRK	Park
PLM	Plim
PLM	Plimm
PWR	Powers
PTK	Puttock
PM	Pymm
RNDL	Randle
RDN	Riden
SNDS	Sands
STCL	Satchell
SRS	Sear
SRS	Sears
SLDN	Seldon
SLF	Self
SLF	Selfe
SYMR	Seymours
SN	Shann
SLND	Shillingford
SNG	Snagge
SNWN	Snowdon
SNS	Soanes
STM	Sotham
SPNR	Spence
SQR	Squire
SMRY	Summerhayes
SMRY	Summersby
SWDG	Swadling
TT	Taite
TRY	Tarry
TRFT	Thrift
TMS	Tims
TKWL	Tuckwell
UPSN	Upstone
VRTN	Vertigan
WKFD	Wakefield
WKHM	Wakeham
WNMN	Wenham
WLR	Wheller
WML	Whimmell
WTLK	Whitlock
WNFR	Wonfer
WLFD	Woolford
WSTR	Wooster
RTN	Wroughton
WKHM	Wykeham-Musgrave
YLDM	Yeldham
BNR	Banner
BLR	Bouler
.…	---
....	?
....	??ope
....	???deb
....	??hel??
....	??mapp
ABNT	Abunt
ACL	Accle
ACL	Acclee
ACL	Acle
ACL	Aclee
ADLY	Adals
ADMS	Adames
ADMS	Adams
ADMS	Addam
ADMS	Addames
ADMS	Addams
ADRN	Aderton
ATKN	Adkens
ATKN	Adkins
ADLY	Adly
ARS	Aeris
ALF	Ailife
ARS	Aires
DBNN	Albinson
ACL	Alce
ALDG	Aldridge
ALN	Alen
ACL	Ales
ALKR	Alexander
ALKR	Alexsander
ACL	Alice
ALN	Alin
ADLY	Allday
ALN	Allen
ALN	Allenn
ALN	Allern
ALN	Alley
ALN	Allin
ALMN	Allman
ALMN	Allmon
ALMN	Allmond
ALNT	Allnet
ALNT	Allnett
ALNT	Allnot
ALNT	Allnott
ALNT	Allnut
ALNT	Allnutt
ALWY	Alloway
ALMN	Alman
ALMN	Almon
ALMN	Almond
ALMN	Almonde
ALNT	Alnat
ALNT	Alnet
ALNT	Alnett
ALNT	Alnnott
ALNT	Alnot
ALNT	Alnott
ALNT	Alnotte
ALNT	Alnut
ALNT	Alnutt
AMBG	Ambridge
AMDY	Amdelay
AMS	Ames
AMR	Amgur
AMS	Amis
AMR	Amor
ANCR	Anceter
ANFD	Andfelde
ANDT	Andlet
ANDW	Andrew
ANDW	Andrewes
ANDW	Andrews
AMS	Annis
ANSW	Anslowe
ANSL	Anstill
EDWD	Ap Edwardes
EVNS	Ap Evan
PWL	Apewell
APLT	Aplegate
PWL	Apowell
APLB	Applebee
APLT	Applegate
APLN	Appleton
APLB	Appletree
PWL	Appowel
PWL	Appowell
RBRS	Ap Roberts
TMS	Ap Thomas
ARCR	Archer
ARS	Ares
ARND	Arnold
BRNN	Arrington
ASBN	Asborne
ASCT	Ascott
ASBN	Ashborne
ASR	Asher
ASTN	Ashton
ASRT	Ashurst
ASWL	Ashwell
ASWL	Askwell
ASTN	Aston
ASTY	Astray
ATKN	Atkins
ATKN	Atkinson
ATKN	Atkyns
ALF	Atlife
ATKN	Attkins
AVRY	Aubery
ADLY	Audley
ADLY	Audry
ASTN	Austen
ANSL	Austill
ASTN	Austin
ASTN	Austine
AVRY	Avery
AVRY	Avory
ASTN	Axton
ALSY	Aylesbury
ALF	Ayliffe
ALNG	Ayling
ALST	Aylsworth
INT	Aynette
INT	Aynott
ARS	Ayres
INT	Ayrnotte
ARS	Ayrs
BK	Back
BK	Backs
BGR	Badgare
BGR	Badger
BG	Bagget
BLY	Baies
BLYY	Bailey
BLYY	Baily
BTS	Baite
BKR	Baker
BLDN	Balden
BLDN	Baldwin
BLDN	Baldwine
BLYY	Baley
BLL	Ball
BLRD	Ballard
BLL	Balle
BLW	Ballow
BLW	Ballowe
BLTN	Baltone
BMTN	Bampton
BMTN	Bamton
BNKS	Bankes
BNKS	Banks
BNSR	Bannister
BNN	Bannon
BNKS	Banse
BRBR	Barbar
BRBR	Barber
BRD	Barde
RNDF	Bardolph
BRDN	Bareadine
BRNL	Barenscale
BRKR	Barker
