INVID	PROID	InvValue	No of rooms	£InvValue	Crops	£Crops	Animals	£Animals	Money	£Money	Debts	£Debts	Leases	£Leases	Shop goods/Tools	£Shopgoods	Clothes	£Clothes	Household goods	£Household	Hearths	Notes
2	1.00	33.43	1.00	£33  8s 8d	0.00	0	0.00	0	0.00	0	0.00	0	10.00	£10 0s 0d	4.00	£4 0s 0d	1.50	£1 10s od	5.78	£5 15s 8d	0.00	
3	2.00	113.71	6.00	£113 14s 2d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	1.00	
5	4.00	218.12		£218  1s 4d	0.00	0	4.00	£4 0s 0d	0.00	0	0.00	0	115.00	£115 0s 0d	0.00	0	5.00	£5 0s 0d	94.06	£94 1s 4d	0.00	
6	5.00	11.23	2.00	£11  4s 8d	0.00	0	0.00	0	9.50	£9 10s 0d	0.00	0	0.00	0	0.00	0	0.00	0	1.73	£1 14s 8d	0.00	
7	6.00	29.66	7.00	£29 17s 2d	0.60	£0 12s 0d	0.00	0	1.65	£1 13s 0d	0.00	0	0.00	0	3.87	£3 17s 6d	8.70	£8 14s 0d	5.33	£5 6s 8d	0.00	
10	9.00	25.75		£25 15s 0d	0.66	£0 13s 4d	0.83	£0 16s 8d	0.00	0	0.00	0	0.00	0	0.00	0	1.00	£1 0s 0d	23.25	£23 5s 0d	0.00	
11	10.00	11.24	7.00	£11  4s 8d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	11.23	£11 4s 8d	2.00	
12	11.00	78.23	9.00	£78  4s 8d	13.95	£13 19s 0d	6.00	£6 0s 0d	20.00	£20 0s 0d	0.00	0	20.00	£20 0s 0d	6.05	£6 1s 0d	2.00	£2 0s 0d	24.48	£24 9s 8d	1.00	
13	492.00	210.90		£201 18s 0d	0.00	0	0.00	0	26.90	£26 18s 0d	0.00	0	16.00	£16 0s 0d	130.00	£130 0s 0d	5.00	£5 0s 0d	40.00	£40 0s 0d	0.00	
14	13.00	55.84	3.00	£55 16s 8d	23.00	£23 0s 0d	19.23	£19 4s 8d	0.00	0	0.00	0	0.00	0	0.00	0	4.00	£4 0s 0d	8.70	£8 14s 0d	1.00	
16	493.00	48.27	4.00	£48  5s 4d	8.00	£8 0s 0d	6.66	£6 13s 4d	17.60	£17 12s 0d	0.85	£0 17s 0d	16.25	£16 5s 0d	0.00	0	2.00	£2 0s 0d	8.75	£8 15s 0d	1.00	
19	494.00	32.07	5.00	£32  1s 6d	0.00	0	1.80	£1 16s 0d	0.00	0	0.00	0	0.00	0	8.62	£8 12s 5d	2.00	£2 0s 0d	21.17	£21 3s 6d	1.00	
20	496.00	68.83		£68 16s 8d	1.20	£1 4s 0d	1.00	£1 0s 0d	19.60	£19 12s 0d	1.50	£1 10s 0d	15.00	£15 0s 0d	0.00	0	0.00	0	45.53	£45 10s 8d	0.00	
22	495.00	8.60		£8 12s 0d	0.00	0	5.00	£5 0s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.80	£0 16s 2d	3.00	£3 0s 0d	0.00	
25	497.00	248.98	4.00	£248 19s 8d	128.60	£128 12s 0d	72.45	£72 9s 0d	0.00	0	0.00	0	0.00	0	2.95	£2 19s 0d	5.00	£5 0s 0d	28.71	£28 14s 4d	1.00	
26	498.00	482.14	11.00	£482  2s 11d	151.65	£151 13s 0d	0.00	0	252.80	£252 16s 0d	194.32	£194 6s 5d	30.00	£30 0s 0d	21.00	£21 0s 0d	3.00	£3 0s 0d	48.19	£48 3s 11d	1.00	
27	499.00	97.50		£97 10s 0d	0.00	0	5.50	£5 10s 0d	67.00	£67 0s 0d	67.00	£67 0s 0d	0.00	0	0.00	0	5.00	£5 0s 0d	20.50	£20 10s 0d	0.00	
